"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Not Funded","Submitted to Sponsor","Under Consideration","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date"
"24-0703-P0002","Investigating Molecular Interactions in Deep Eutectic Solvents: Exploring Bulk and Interfacial Nanostructures in the Presence of Water","Soheil Saraji","Not Funded","Office of Science/U.S. Department of Energy",NA,"Energy & Petroleum Engineering","9/1/2024","8/31/2028","Resubmission",NA,"24-0703","Energy & Petroleum Engineering","U.S. Federal Government",NA,"2/20/2024 12:05:12 pm","999366","2/28/2024","Investigating Molecular Interactions in Deep Eutectic Solvents: Exploring Bulk and Interfacial Nanostructures in the Presence of Water","Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Under Review to Approved > Proposal Created > Status was changed from: In Development to Under Review > Form was edited in 'Submitted to Sponsor' status > Certified > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","John Ruess > Tashina Lemons > Farrell Jean Rapp > Soheil Saraji","2/28/2024 03:45:13 pm > 2/26/2024 09:11:22 am > 2/28/2024 10:15:48 am > 2/20/2024 12:05:12 pm > 2/27/2024 03:35:32 pm > 8/22/2024 02:38:41 pm > 2/27/2024 04:29:56 pm > 8/22/2024 02:39:03 pm","see confirmation > Not selected for funding.",NA,"Not Funded",NA,"2/27/2024 04:29:56 pm > 2/28/2024 10:15:48 am > 2/27/2024 03:35:44 pm > 2/27/2024 04:36:26 pm > 2/28/2024 08:54:25 am","Certified > Approved",NA,"818028","181338","999366",NA,"Yes",2024-08-22 14:38:41,NA,"FY2025","240703A0002",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"08/04/2023","03/13/2024"
"25-0258-P0001","Investigating Ribosomal Dysregulation as a Mechanism Distinguishing Suicide from Depression","Rammohan Shukla","Submitted to Sponsor","ADD NEW",NA,"Zoology & Physiology","10/1/2025","9/30/2027","New",NA,"25-0258","Zoology & Physiology","Non-Profit Organizations",NA,"10/24/2024 12:46:09 pm","152173","11/15/2024","Investigating Ribosomal Dysregulation as a Mechanism Distinguishing Suicide from Depression","Status was changed from: Under Review to Approved > Certified > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Proposal Created > Assigned to SP Proposal Administrator: John Ruess","Farrell Jean Rapp > Rammohan Shukla > John Ruess > Janissa Marie Analissia Martinez","11/13/2024 09:25:45 am > 11/12/2024 08:58:36 am > 11/15/2024 09:38:01 am > 11/12/2024 08:50:07 am > 10/24/2024 12:46:09 pm > 10/25/2024 09:54:31 am","submitted",NA,NA,"AP approved Sponsor Indirect Cost Limitation. > No College IDC distribution listed","11/13/2024 09:25:45 am > 11/12/2024 09:00:03 am > 11/12/2024 09:00:08 am > 11/12/2024 08:50:15 am > 11/12/2024 08:58:36 am","Approved > Certified",NA,"140000","12173","151200",NA,"Yes",2024-11-15 09:38:01,NA,"FY2025","250258A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"02/23/2024","07/05/2024"
"25-0394-P0001","Investigating Ribosomal Heterogeneity in Stress-Related Mood Disorder","Rammohan Shukla","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",NA,"Zoology & Physiology","12/1/2025","11/30/2030","New",NA,"25-0394","Zoology & Physiology","U.S. Federal Government",NA,"1/1/2025 09:42:16 am","3149615","2/5/2025","Role of Ribosomal Heterogeneity in Stress-Related Mood Disorder","Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Certified > Status was changed from: In Development to Under Review > Proposal Created","Farrell Jean Rapp > John Ruess > Rammohan Shukla","2/3/2025 12:29:44 pm > 2/4/2025 03:37:30 pm > 2/3/2025 10:05:24 am > 1/31/2025 11:38:45 am > 1/1/2025 09:42:16 am","submitted",NA,NA,"Passes pre-award checks.","2/3/2025 11:04:43 am > 2/3/2025 12:29:44 pm > 2/3/2025 11:04:48 am > 2/3/2025 10:05:24 am > 2/3/2025 09:34:42 am","Approved > Certified",NA,"2198142","951473","3149615",NA,"Yes",2025-02-04 15:37:30,NA,"FY2025","250394A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"02/23/2024","07/05/2024"
"23-1904-P0001","Investigating Townsend's big-eared bat response to environmental change","Riley Fehr Bernard","Funded","Wyoming Game and Fish Department",NA,"Zoology & Physiology","7/1/2023","12/31/2025","New",NA,"23-1904","Zoology & Physiology","Wyoming State Governmental Entities",NA,"6/29/2023 10:55:22 am","20817","1/31/2023","Investigating the ecology and behavior of Townsend’s big-eared bats (Corynorhinus townsendii) in response to environmental change","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Tashina Lemons > Farrell Jean Rapp","6/29/2023 10:55:21 am > 8/10/2023 11:47:19 am > 8/10/2023 11:47:29 am","Legacy. > Awarded.",NA,NA,NA,"8/10/2023 11:46:59 am","Not Yet Active > Cancelled",NA,"20817","0","20817",NA,"Yes",2023-08-10 11:47:19,"2023-08-10 11:47:29","FY2024","231904A0001",20817,"NONE","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"08/10/2023","09/04/2023"
"23-1564-P0001","Investigating bats in the Black Hills of South Dakota","Riley Fehr Bernard","Funded","Bureau of Land Management/Department of the Interior",NA,"Zoology & Physiology","9/1/2023","12/31/2026","New",NA,"23-1564","Zoology & Physiology","U.S. Federal Government",NA,"6/5/2023 03:44:03 pm","75261","5/1/2023","Understanding survival, roost selection, and habitat use of white-nose syndrome susceptible bat species in the Northern Black Hills of  South Dakota","Assigned to SP Proposal Administrator: Shauna Bury > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Submitted to Sponsor > Proposal Created","Tashina Lemons > Farrell Jean Rapp > Bryce Howard","6/12/2023 02:01:28 pm > 9/4/2023 03:00:31 pm > 9/4/2023 03:00:23 pm > 6/5/2023 03:44:02 pm","Funded. > Legacy. Greensheet.",NA,NA,NA,"9/4/2023 02:57:23 pm","Not Yet Active > Cancelled","17428","64548","10712","92689",NA,"Yes",2023-09-04 15:00:23,"2023-09-04 15:00:31","FY2024","231564A0001",143855.03,"175MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"08/10/2023","09/04/2023"
"24-0111-P0001","Investigating effects of climate change on aspen and conifer communities on the Greys River RD","Paige Elise Parry","Funded","Forest Service/Department of Agriculture",NA,"Wyo Natural Diversity Database","9/1/2023","8/31/2027","New",NA,"24-0111","Wyo Natural Diversity Database","U.S. Federal Government",NA,"7/26/2023 03:16:18 pm","9500","8/1/2023","Investigating effects of climate change on aspen and conifer communities on the Greys River RD","Assigned to SP Proposal Administrator: Kasi Smart > Proposal Created > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Certified > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Consideration to Funded > Status was changed from: Submitted to Sponsor to Under Consideration","Bryce Howard > Paige Parry > Farrell Jean Rapp > Paige Elise Parry","7/27/2023 04:23:25 pm > 7/26/2023 03:16:18 pm > 9/19/2023 11:29:11 am > 7/26/2023 03:43:00 pm > 9/18/2023 08:49:54 am > 9/19/2023 11:30:17 am > 10/18/2023 08:55:20 am > 9/19/2023 11:30:31 am","No submission by Pre-Award Office. > Funded. > Under Consideration.",NA,NA,NA,"9/19/2023 10:26:54 am > 9/19/2023 11:29:11 am > 9/17/2023 04:44:48 pm > 9/19/2023 10:27:51 am > 9/18/2023 08:49:54 am","Approved > Certified","4825.38","8085.11","1414.89","16179.79",NA,"Yes",2023-09-19 11:30:17,"2023-10-18 08:55:20","FY2024","240111A0001",NA,NA,"Research",1,0,0,0,1,"08/29/2023","08/29/2023"
"23-1286-P0002","Investigating how combining intensive professional development and modest support affects rural, elementary teachers science and engineering practice","Martha C. Inouye","Funded","University of North Dakota","National Science Foundation","Science & Math Teaching Center","6/18/2025","6/17/2030","New",NA,"23-1286","Science & Math Teaching Center","Institutions of Higher Education",NA,"10/18/2024 09:39:29 am","434064","10/29/2024","Examining the multi-year impacts of online professional learning coupled with modest supports on rural elementary teachers’ enactment of science and engineering practices","Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Certified > Proposal Created > Form was edited in 'Approved' status > Assigned to SP Proposal Administrator: Thomas Abraham Lentner","Farrell Jean Rapp > Thomas Abraham Lentner > Janissa Marie Analissia Martinez > Martha C. Inouye","10/28/2024 04:57:06 pm > 11/13/2024 08:21:53 am > 10/28/2024 11:46:48 am > 10/28/2024 02:34:09 pm > 10/18/2024 09:39:29 am > 10/28/2024 04:57:33 pm > 10/21/2024 12:07:51 pm","Submitted to prime 11/1/2024 - subrecipient commitment forms underway",NA,NA,"Passes pre-award checks.  Subaward on NSF grant.","10/28/2024 04:57:06 pm > 10/28/2024 04:42:48 pm > 10/28/2024 02:41:30 pm > 10/28/2024 01:29:19 pm > 10/28/2024 02:34:09 pm","Approved > Certified",NA,"307043","127021","434064","A Subrecipient","No",2024-11-13 08:21:53,NA,"FY2025","231286A0002",NA,NA,"College of Education",1,0,0,0,1,"10/01/2024",NA
"24-0473-P0001","Investigating the Effect of Forestry Management Practices on Bat Habitat Selection and Use in a Fire Prone Ecosystem","Riley Fehr Bernard","Funded","Bureau of Land Management/Department of the Interior",NA,"Zoology & Physiology","5/13/2024","12/31/2027","New",NA,"24-0473","Zoology & Physiology","U.S. Federal Government",NA,"10/9/2023 11:52:15 am","323664.82","3/18/2024","Investigating the Effect of Forestry Management Practices on Bat Habitat Selection and Use in a Fire Prone Ecosystem","Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Submitted to Sponsor to Funded > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Under Review to Approved > Status was changed from: Under Review to In Development","John Ruess > Riley Fehr Bernard > Kristi Hargis Stockdale > Tashina Lemons > Courtney Peatross","3/18/2024 12:17:15 pm > 10/9/2023 11:52:15 am > 2/12/2024 10:37:19 am > 3/12/2024 09:58:38 am > 9/23/2024 08:37:10 am > 10/9/2023 12:21:14 pm > 3/12/2024 10:22:10 am > 10/9/2023 12:10:12 pm > 3/12/2024 08:56:32 am > 10/20/2023 10:12:01 am > 3/12/2024 08:17:28 am","see submission confirmation > Funded. > per review edits > add budget attch\n",NA,NA,"See note re: cost share > Please note only 15% of credit has been allocated","3/12/2024 08:57:09 am > 3/12/2024 10:22:11 am > 3/12/2024 10:02:50 am > 3/12/2024 09:58:38 am > 3/12/2024 10:02:58 am","Approved > Certified","74374.04","275459.42","48205.4","398038.86",NA,"Yes",2024-03-18 12:17:15,"2024-09-23 08:37:10","FY2024","240473A0001",176671.62,"175MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"08/10/2023","09/04/2023"
"25-0351-P0001","Investigating the Impacts of Short-Range Order and Quasi-Long-Ranger Order on the Mechanical Behavior of Multi-Principal Element Alloys","TeYu Chien","Submitted to Sponsor","U.S. Department of Energy",NA,"Physics & Astronomy","8/1/2025","7/31/2028","New",NA,"25-0351","Physics & Astronomy","U.S. Federal Government",NA,"12/3/2024 10:27:19 am","830679","12/23/2024","Investigating the Impacts of Short-Range Order and Quasi-Long-Ranger Order on the Mechanical Behavior of Multi-Principal Element Alloys","Status was changed from: Under Review to Approved > Status was changed from: Under Review to In Development > Status was changed from: In Development to Under Review > Proposal Created > Assigned to SP Proposal Administrator: Janissa Marie Analissia Martinez > Status was changed from: Approved to Submitted to Sponsor > Certified","Farrell Jean Rapp > Thomas Abraham Lentner > TeYu Chien > Janissa Marie Analissia Martinez","12/19/2024 01:39:32 pm > 12/4/2024 08:18:43 am > 12/16/2024 10:36:55 am > 12/3/2024 10:27:18 am > 12/16/2024 11:32:25 am > 12/3/2024 11:07:29 am > 12/3/2024 11:30:34 am > 12/20/2024 02:18:32 pm > 12/3/2024 11:05:08 am > 12/19/2024 10:36:17 am > 12/3/2024 10:46:37 am > 12/19/2024 08:34:13 am","updating form fields\n > updated forms > Submitted 12/20/2024 > Updating form fields",NA,NA,"Passes pre-award checks.","12/19/2024 10:35:25 am > 12/19/2024 10:48:24 am > 12/19/2024 01:39:32 pm > 12/19/2024 01:14:12 pm > 12/19/2024 10:36:17 am","Approved > Certified",NA,"725023","105656","830679",NA,"Yes",2024-12-20 14:18:32,NA,"FY2025","250351A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"07/06/2023","07/06/2023"
"23-1605-P0001","Investigating the origins of non-coplanar spin textures including magnetic skyrmions in DMI-free highly correlated magnetic materials","Jinke Tang","Not Funded","National Science Foundation",NA,"Physics & Astronomy","9/1/2023","8/31/2026","New",NA,"23-1605","Physics & Astronomy","U.S. Federal Government",NA,"6/8/2023 04:13:53 pm","752124","2/28/2023","Investigating the Origins of Non-Coplanar Spin Textures Including Skyrmions in DMI-Free Highly Correlated Magnetic Materials","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Not Funded > Assigned to SP Proposal Administrator: Shauna Bury","Bryce Howard > Bryce William Howard > Tashina Lemons","6/8/2023 04:13:53 pm > 9/1/2023 02:07:46 pm > 6/12/2023 12:25:50 pm","Received notification of NSF Denial of funding on 9.1.2023",NA,"Not Funded",NA,"6/9/2023 02:44:18 pm","Not Yet Active > Cancelled",NA,"563661","188463","752124",NA,"Yes",NA,NA,NA,"231605A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"07/06/2023","07/06/2023"
"25-0123-P0001","Investigation of the Bioactive Properties of Biopolymers Derived from a Sugar Beet By-Product","Roberta Maia Sabino","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"Chemical & Biomedical Engineering","6/1/2025","5/31/2027","Resubmission",NA,"25-0123","Chemical & Biomedical Engineering","U.S. Federal Government",NA,"9/9/2024 05:00:59 pm","299970","10/3/2024","Investigation of the Bioactive Properties of Biopolymers Derived from a Sugar Beet By-Product","Form was edited in 'Under Review' status > Certified > Unassigned from SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Proposal Created > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Approved to Submitted to Sponsor","Farrell Jean Rapp > Roberta Maia Sabino > Karen E. Wawrousek > John Ruess","10/2/2024 10:14:12 am > 10/1/2024 04:14:21 pm > 10/1/2024 06:17:37 pm > 10/2/2024 10:15:08 am > 9/30/2024 03:52:32 pm > 9/24/2024 02:27:43 pm > 9/17/2024 09:37:30 am > 9/9/2024 05:00:58 pm > 10/2/2024 10:15:38 am > 9/10/2024 02:47:42 pm > 9/30/2024 01:39:33 pm > 10/3/2024 03:53:25 pm > 10/2/2024 10:13:45 am","per PI > submitted",NA,NA,NA,"10/2/2024 10:15:38 am > 10/2/2024 08:36:04 am > 10/2/2024 08:57:45 am > 10/1/2024 04:14:21 pm > 10/1/2024 04:06:30 pm > 10/1/2024 06:17:37 pm > 10/2/2024 08:57:30 am","Approved > Certified",NA,"222127","77843","299970",NA,"Yes",2024-10-03 15:53:25,NA,"FY2025","250123A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"10/05/2023","10/05/2023"
"25-0219-P0001","Investigation of the phonon thermal behavior at the interface between nuclear fuels and fission products during nano to mesostructural evolution","Laura Rita de Sousa Oliveira","Submitted to Sponsor","National Renewable Energy Laboratory/U.S. Department of Energy",NA,"Chemistry","9/1/2025","8/31/2027","New",NA,"25-0219","Chemistry","U.S. Federal Government",NA,"10/11/2024 01:39:08 pm","2297763","1/29/2025","Investigation of the phonon thermal behavior at the interface between nuclear fuels and fission products during nano to mesostructural evolution","Status was changed from: Closed to In Development > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to In Development > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Funded (Project Complete) > Proposal Created > Certified > Status was changed from: Under Review to Approved > Status was changed from: Under Review to Submitted to Sponsor > Status was changed from: Approved to Submitted to Sponsor","Thomas Abraham Lentner > Janissa Marie Analissia Martinez > Laura Rita de Sousa Oliveira > Farrell Jean Rapp > Kayleigh Ann Edgar","1/28/2025 01:04:31 pm > 1/28/2025 01:05:09 pm > 10/29/2024 09:00:43 am > 10/29/2024 08:59:40 am > 1/28/2025 01:04:18 pm > 10/28/2024 02:37:03 pm > 10/11/2024 01:39:07 pm > 1/28/2025 01:25:49 pm > 1/28/2025 02:29:58 pm > 1/28/2025 11:30:51 am > 1/28/2025 01:04:00 pm > 2/5/2025 05:12:23 pm","Updating status to route for review > update form fields. > Updating status to route for review\n > 2/5/25 Submitted via S2S GRANT14357945",NA,NA,"Passes pre-award checks\n","1/28/2025 01:33:06 pm > 1/28/2025 01:51:15 pm > 1/28/2025 01:25:49 pm > 1/28/2025 01:05:31 pm > 1/28/2025 02:29:58 pm","Approved > Certified","1240000","1969566","328197","2297763",NA,"Yes",2025-02-05 17:12:23,"2025-01-28 13:04:18","FY2025","250219A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"06/15/2023","06/15/2023"
"24-0700-P0001","Investigation of the phonon thermal behavior at the interface between nuclear fuels and fission products during nano- to micro-structural evolution","Laura Rita de Sousa Oliveira","Submitted to Sponsor","Office of Science/U.S. Department of Energy",NA,"Chemistry","9/1/2024","8/31/2028","Pre-proposal",NA,"24-0700","Chemistry","U.S. Federal Government",NA,"1/16/2024 01:52:51 pm","964424","2/28/2024","Investigation of the phonon thermal behavior at the interface between nuclear fuels and fission products during nano- to micro-structural evolution","Assigned to SP Proposal Administrator: Kasi Smart > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Unassigned from SP Proposal Administrator: Kasi Smart > Proposal Created > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved","Thomas Abraham Lentner > Laura Rita de Sousa Oliveira > Farrell Jean Rapp","1/17/2024 10:07:30 am > 2/21/2024 10:34:47 am > 2/21/2024 10:34:50 am > 1/16/2024 01:52:51 pm > 2/28/2024 04:33:33 pm > 2/27/2024 10:38:51 am > 2/27/2024 10:41:59 am > 2/28/2024 10:14:49 am","Submitted on 02/28/2024 at 4:30pm",NA,NA,"Minor revisions pending to technical narrative.  Otherwise, pre-award review complete.","2/27/2024 10:41:59 am > 2/27/2024 02:59:02 pm > 2/28/2024 08:52:43 am > 2/27/2024 10:39:45 am > 2/28/2024 10:14:49 am","Certified > Approved",NA,"680871","283553","964424",NA,"Yes",2024-02-28 16:33:33,NA,"FY2024","240700A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"06/15/2023","06/15/2023"
"25-0556-P0001","Isolation and Analysis of Microplastics and PFAS in Soil and Groundwater","Caleb Matthew Hill","Submitted to Sponsor","Wyonics, LLC","U.S. Department of Energy","Chemistry","9/1/2025","5/31/2026","New",NA,"25-0556","Chemistry","Industry",NA,"2/19/2025 07:15:14 am","29082","2/26/2025","Isolation and Analysis of Microplastics and PFAS in Soil and Groundwater","Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Certified > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review","Marissa K. Gannon > Caleb Matthew Hill > Farrell Jean Rapp","2/27/2025 09:55:19 am > 2/19/2025 07:15:13 am > 2/24/2025 07:50:16 pm > 2/27/2025 09:05:58 am > 2/24/2025 02:47:02 pm","submitted",NA,NA,"Passes pre-award checks","2/27/2025 09:05:59 am > 2/24/2025 04:57:17 pm > 2/25/2025 09:01:30 am > 2/24/2025 08:35:00 pm > 2/24/2025 07:50:16 pm","Approved > Certified",NA,"20126","8956","29082","A Subrecipient","No",2025-02-27 09:55:19,NA,"FY2025","250556A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"08/08/2023","08/08/2023"
"24-0102-P0002","Jackson Hole Travel and Tourism Board SDMP","Daniel Phipps McCoy","Funded","Jackson Hole Travel and Tourism Joint Powers Board",NA,"Haub School of Environment & Natural Resources","8/1/2024","6/30/2025","New",NA,"24-0102","Haub School of Environment & Natural Resources","Wyoming Local Governmental Entities","Local Government","7/5/2024 08:41:38 am","172638","8/1/2024","Jackson Hole Travel and Tourism Joint Powers Board Sustainable Destination Management Plan UW WORTH Initiative 2024-2025","Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Status was changed from: Under Consideration to Funded > Certified > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to Approved > Form was edited in 'Under Review' status","Thomas Abraham Lentner > Farrell Jean Rapp > Daniel Phipps McCoy > Taylor Kruger > Inna Willis","7/30/2024 01:55:45 pm > 7/5/2024 08:41:37 am > 8/8/2024 01:35:12 pm > 7/22/2024 10:40:52 am > 7/30/2024 01:55:58 pm > 7/12/2024 04:27:37 pm > 7/29/2024 10:39:06 am > 7/8/2024 12:19:34 pm > 7/29/2024 12:23:57 pm > 7/22/2024 10:25:08 am","PE agreement delivered by sponsor in July.  Agreement review pending > Funded. > PE agreement attached. > Happy to be a part of this project.",NA,NA,"Agreement PE. > Happy to be a part of this project.","7/22/2024 10:31:07 am > 7/29/2024 10:42:18 am > 7/22/2024 10:40:52 am > 7/29/2024 12:23:57 pm > 7/29/2024 10:39:06 am > 7/29/2024 10:43:17 am","Approved > Certified",NA,"143865","28773","172638",NA,"Yes",2024-07-30 13:55:45,"2024-08-08 13:35:12","FY2025","240102A0002",142769.6,"20TDC","Haub School of Environment & Natural Resources",1,0,0,0,1,"07/30/2024",NA
"23-1930-P0001","Jackson Moose - MBRWF","Matthew Kauffman","Not Funded","Meg and Bert Raynes Wildlife Fund",NA,"Wyoming Coop Unit","3/1/2023","2/28/2024","New",NA,"23-1930","Wyoming Coop Unit","Non-Profit Organizations",NA,"6/29/2023 04:26:22 pm","9000","2/1/2023","Jackson Moose Calf Survival and Development of Migration Patterns","Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Proposal Created > Status was changed from: In Development to Submitted to Sponsor","Farrell Jean Rapp > Tashina Lemons","4/5/2024 02:55:09 pm > 6/29/2023 04:26:22 pm > 4/5/2024 02:54:47 pm","Declined. Per notice from Sponsor. > Legacy. Greensheet.",NA,"Not Funded",NA,NA,"Not Completed",NA,"9000","0","9000",NA,"Yes",2024-04-05 14:54:47,NA,"FY2024","231930A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,1,"07/06/2023","07/06/2023"
"23-1916-P0001","Jackson Moose - WGBGLC","Matthew Kauffman","Funded","Wyoming Game and Fish Department",NA,"Wyoming Coop Unit","7/1/2023","12/31/2025","New",NA,"23-1916","Wyoming Coop Unit","Wyoming State Governmental Entities",NA,"6/29/2023 12:17:33 pm","40000","1/31/2023","Jackson Moose Calf Survival and Development of Migration Patterns","Proposal Created > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Submitted to Sponsor","Tashina Lemons > Farrell Jean Rapp","6/29/2023 12:17:32 pm > 8/11/2023 01:25:29 pm > 8/11/2023 01:25:21 pm","Funded. > Legacy.",NA,NA,NA,"7/25/2023 07:49:10 am","Not Yet Active > Cancelled",NA,"40000","0","40000",NA,"Yes",2023-08-11 13:25:21,"2023-08-11 13:25:29","FY2024","231916A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"07/06/2023","07/06/2023"
"25-0467-P0001","Jackson Moose Calf (WGBGLC)","Matthew Kauffman","Submitted to Sponsor","Wyoming Game and Fish Department",NA,"Wyoming Coop Unit","7/1/2025","3/1/2027","New",NA,"25-0467","Wyoming Coop Unit","Wyoming State Governmental Entities",NA,"1/21/2025 03:46:03 pm","40000","1/31/2025","Jackson Moose Calf Survival and Development of Migration Patterns","Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Janissa Marie Analissia Martinez > Status was changed from: Under Review to Approved > Proposal Created > Status was changed from: In Development to Under Review > Certified","Janissa Marie Analissia Martinez > Farrell Jean Rapp > Vanessa Danielle Simoneau > Matthew Kauffman","1/31/2025 09:42:14 am > 1/28/2025 12:36:22 pm > 1/29/2025 10:11:42 am > 1/21/2025 03:46:02 pm > 1/28/2025 12:36:58 pm > 1/29/2025 09:39:45 am","Submitted to sponsor via email 1/30/25. Proposal 043.",NA,NA,"AP approves WGBGLC indirect cost limitation of 0% > Passes pre-award checks","1/29/2025 09:39:45 am > 1/29/2025 10:11:42 am > 1/29/2025 09:22:11 am > 1/29/2025 09:43:16 am > 1/29/2025 09:39:52 am","Certified > Approved",NA,"40000","0","40000",NA,"Yes",2025-01-31 09:42:14,NA,"FY2025","250467A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"07/06/2023","07/06/2023"
"24-0589-P0001","Jackson Moose Calf - WGFD","Matthew Kauffman","Funded","Wyoming Game and Fish Department",NA,"Wyoming Coop Unit","7/1/2023","6/30/2028","New",NA,"24-0589","Wyoming Coop Unit","Wyoming State Governmental Entities",NA,"11/17/2023 02:57:17 pm","30000","11/29/2023","Jackson Moose: Quantifying Juvenile Survival and Learned Migration Behavior","Status was changed from: In Development to Submitted to Sponsor > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: Approved to Closed. Resolution set to: Withdrawn > Certified > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to Approved > Status was changed from: Submitted to Sponsor to Funded > Proposal Created > Status was changed from: Closed to In Development","Tashina Lemons > Vanessa Danielle Simoneau > Bryce William Howard > Matthew Kauffman > Thomas Abraham Lentner > Farrell Jean Rapp","12/6/2023 01:52:08 pm > 11/20/2023 10:33:34 am > 11/21/2023 01:56:34 pm > 12/6/2023 01:47:49 pm > 12/4/2023 11:16:25 am > 12/18/2023 11:35:17 am > 12/4/2023 11:37:49 am > 12/18/2023 03:27:42 pm > 11/17/2023 02:57:16 pm > 12/6/2023 01:49:13 pm","Proposal was previously submitted to sponsor > Updates to IDC on budget tab > Processed fully executed state contract on 12/18/2023 > update to proposal form",NA,NA,"project awarded, JH working on award review and negotiation","12/4/2023 11:37:49 am > 12/4/2023 11:26:23 am > 11/25/2023 08:35:03 am > 12/4/2023 11:16:34 am > 12/4/2023 11:16:25 am > 12/6/2023 01:50:42 pm","Not Yet Active > Approved > Certified > Cancelled",NA,"30000","0","30000",NA,"Yes",2023-12-06 13:52:08,"2023-12-18 15:27:42","FY2024","240589A0001",90000,"NONE","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"07/06/2023","07/06/2023"
