"PI Unit","College (Subdivision)","Proposal #","Project Title","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month"
"Chemical & Biomedical Engineering","College of Engineering & Physical Sciences","24-0465-P0001","Development of AI-Enhanced Electrospun Nanofiber Membranes for Rare Earth Recovery from Wastewater","Saman Aryana",2023-10-04,"10/10/2023 9:26",NA,"Not Funded Yet","2023","October"
"Chemical & Biomedical Engineering","College of Engineering & Physical Sciences","23-0524-P0001","Development of a rapid, highly sensitive, handheld Raman-based device for detection of SARS-CoV-2 and serological responses against SARS-CoV-2","Patrick A. Johnson",2023-04-27,NA,NA,"Funded","2023","April"
"Chemical & Biomedical Engineering","College of Engineering & Physical Sciences","23-1048-P0001","STTR Phase I: Allogeneic Stem Cell Delivery for Efficacy-Enhanced Equine Biotherapeutics","John S. Oakey",2023-04-27,NA,NA,"Funded","2023","April"
"Chemical & Biomedical Engineering","College of Engineering & Physical Sciences","25-0183-P0001","LLPS-mediated cooperative mechanisms directing the landscape and function of chromatin across scales","Utkarsh Kapoor",2024-09-30,NA,NA,"Not Funded Yet","2024","September"
"Chemical & Biomedical Engineering","College of Engineering & Physical Sciences","25-0114-P0001","ERI","Juhyeon Ahn",2024-09-06,"10/9/2024 16:57",NA,"Not Funded Yet","2024","September"
"Chemical & Biomedical Engineering","College of Engineering & Physical Sciences","24-0945-P0001","EPSCoR Research Fellows: NSF - Unravelling Mechanisms of Simultaneous Growth and Lipid Accumulation in Rhodococcus opacus using a Systems Biology Approach","Karen E. Wawrousek",2024-04-15,"4/22/2024 11:39","11/27/2024 13:38","Funded","2024","April"
"Chemistry","College of Engineering & Physical Sciences","24-0532-P0001","Rare Earth Separations","John O. Hoberg",2023-10-31,"11/20/2023 16:10",NA,"Not Funded Yet","2023","October"
"Chemistry","College of Engineering & Physical Sciences","24-0621-P0001","Instrumentation and Method Development for Sensitive Detection of Airborne Viruses","Debashis Dutta",2023-12-04,NA,NA,"Not Funded Yet","2023","December"
"Chemistry","College of Engineering & Physical Sciences","23-0824-P0001","New Chemical Tools for Optically Controlled Protein Modification","Michael Thompson Taylor",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-0716-P0001","REU Site: A Community College Based REU in the Wyoming Region","Brian M. Leonard",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","24-0178-P0001","REU Site: A Community College Based REU Site for the Wyoming Region","Elliott B. Hulley",2023-08-17,"10/11/2023 9:08","3/22/2024 9:26","Funded","2023","August"
"Chemistry","College of Engineering & Physical Sciences","23-0001-P0001","Studies of Photoinduced Electron Transfer from Dyes, Polymers and Quantum Confined Systems into Semiconducting Single Crystals","Bruce Alan Parkinson",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","25-0219-P0001","Investigation of the phonon thermal behavior at the interface between nuclear fuels and fission products during nano to mesostructural evolution","Laura Rita de Sousa Oliveira",2024-10-11,NA,NA,"Not Funded Yet","2024","October"
"Chemistry","College of Engineering & Physical Sciences","25-0238-P0001","Machine Learning Accelerated Design of Proton Conductors Based on Phonon Band Theory","Laura Rita de Sousa Oliveira",2024-10-20,NA,NA,"Not Funded Yet","2024","October"
"Chemistry","College of Engineering & Physical Sciences","23-0903-P0001","DMREF: GOALI: Salt Separation Membranes Based on Modifiable Two-Dimensional Covalent Organic Frameworks","John O. Hoberg",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-1633-P0001","MRI Track-3","David Todd Anderson",2023-06-13,NA,NA,"Not Funded Yet","2023","June"
"Chemistry","College of Engineering & Physical Sciences","23-0522-P0001","STTR Phase I: COF-based Membrane for Refrigeration","John O. Hoberg",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","24-0950-P0001","EPSCoR Research Fellows: NSF: Exploring and benchmarking semi-empirical approaches to calculate water permeance and salt rejection of covalent organic frameworks","Laura Rita de Sousa Oliveira",2024-04-16,NA,NA,"Not Funded Yet","2024","April"
"Chemistry","College of Engineering & Physical Sciences","23-1810-P0001","Capture of Expiratory Aerosols and Droplets on Water-Soluble Fibers for Point-of-Care Diagnostics of Viral Respiratory Infections","Debashis Dutta",2023-06-26,NA,NA,"Not Funded Yet","2023","June"
"Chemistry","College of Engineering & Physical Sciences","23-0051-P0001","Removal of time and fidelity constraints in MALDI-MS imaging of proteins in tissue - Year 1","Francisco Basile",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","24-0875-P0001","Low Temperature Production of High Value Nanomaterials from Coal","Caleb Matthew Hill",2024-03-05,"3/11/2024 8:47","11/22/2024 14:30","Funded","2024","March"
"Chemistry","College of Engineering & Physical Sciences","24-0909-P0001","An Instrumental Platform for the Isolation and Characterization of Nano and Microplastics and Other Health-Relevant Particles","Caleb Matthew Hill",2024-03-28,"4/4/2024 12:15",NA,"Not Funded Yet","2024","March"
"Chemistry","College of Engineering & Physical Sciences","25-0267-P0001","Establishing a catalysis research core: Unravel the atomic structure, active site, and catalytic behavior of multi-principal element alloys for CO2 conversion","Jing Zhou",2024-10-28,NA,NA,"Not Funded Yet","2024","October"
"Chemistry","College of Engineering & Physical Sciences","23-0299-P0001","Topochemical synthesis of functional 2D materials","Brian M. Leonard",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","24-0700-P0001","Investigation of the phonon thermal behavior at the interface between nuclear fuels and fission products during nano- to micro-structural evolution","Laura Rita de Sousa Oliveira",2024-01-16,"2/28/2024 16:33",NA,"Not Funded Yet","2024","January"
"Chemistry","College of Engineering & Physical Sciences","25-0457-P0001","Collaborative Research: DMREF: Accelerating the Design of Sodium Superionic Conductors Through the Integration of Phonon Band Theory, Machine Learning, and Experiments","Laura Rita de Sousa Oliveira",2025-01-19,NA,NA,"Not Funded Yet","2025","January"
"Chemistry","College of Engineering & Physical Sciences","24-0873-P0001","Antiviral Filtration Materials and Textiles from Sustainable Biomass","Caleb Matthew Hill",2024-03-05,"3/11/2024 8:48",NA,"Not Funded Yet","2024","March"
"Chemistry","College of Engineering & Physical Sciences","24-0444-P0001","Infrastructure Innovation for Biological Research: imaging-Mass Spectrometry","Francisco Basile",2023-09-26,"4/30/2024 15:28",NA,"Not Funded Yet","2023","September"
"Chemistry","College of Engineering & Physical Sciences","24-0633-P0001","TBD","Caleb Matthew Hill",2023-12-11,NA,NA,"Not Funded Yet","2023","December"
"Chemistry","College of Engineering & Physical Sciences","24-0976-P0001","AI Institute for Discovery of Extreme Advanced MateriaLs (IDEAL)","Laura Rita de Sousa Oliveira",2024-04-24,"4/30/2024 15:01",NA,"Not Funded Yet","2024","April"
"Chemistry","College of Engineering & Physical Sciences","23-1063-P0001","Investigating the Mobility of Rare Earth Element Ligand Complexes in an Electric Field for Selective Separation","Caleb Matthew Hill",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-1719-P0001","Development of a Sensitive Platform and Process for Monitoring Airborne Viruses in Indoor Spaces”","Debashis Dutta",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Chemistry","College of Engineering & Physical Sciences","25-0087-P0001","Development of Nasal Swabs with a Dissolvable Sample Collection Surface for Improving the Sensitivity of Rapid Influenza Diagnostic Tests","Debashis Dutta",2024-08-26,"10/16/2024 14:37","10/16/2024 14:38","Funded","2024","August"
"Chemistry","College of Engineering & Physical Sciences","24-0613-P0001","BWXT | Master Research Agreement","Caleb Matthew Hill",2023-11-30,"4/1/2024 12:08","4/1/2024 12:08","Funded","2023","November"
"Chemistry","College of Engineering & Physical Sciences","24-0654-P0001","FECM Critical Materials","Caleb Matthew Hill",2023-12-18,"12/20/2023 14:11",NA,"Not Funded Yet","2023","December"
"Chemistry","College of Engineering & Physical Sciences","24-0776-P0001","Ab initio investigation of the gas-adsorption electronic response in 2D metal organic frameworks for gas sensing applications","Laura Rita de Sousa Oliveira",2024-01-31,"2/6/2024 10:42",NA,"Not Funded Yet","2024","January"
"Chemistry","College of Engineering & Physical Sciences","25-0045-P0001","Suneco Collaboration","Takashi L. Suyama",2024-08-05,NA,NA,"Not Funded Yet","2024","August"
"Chemistry","College of Engineering & Physical Sciences","23-0688-P0001","NSF Phase 1: COF-based membranes for refrigeration","John O. Hoberg",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-1084-P0001","Surface Science Studies of Ni-based Bimetallic Particles Supported on CeO2(111) for Dry Reforming of Methane","Jing Zhou",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","25-0049-P0001","Development of novel methane and nitrous oxide sensors for continuous monitoring of individual cattle health","Debashis Dutta",2024-08-06,"10/3/2024 13:17",NA,"Not Funded Yet","2024","August"
"Chemistry","College of Engineering & Physical Sciences","25-0128-P0001","Complexity building strategy through tandem ring-opening / ring-closing / cross metathesis for total synthesis of millipede indolizidine alkaloids and biological studies","Takashi L. Suyama",2024-09-11,"9/30/2024 12:09",NA,"Not Funded Yet","2024","September"
"Chemistry","College of Engineering & Physical Sciences","23-0743-P0001","Hydrolysis Kinetics and H/D Exchange of Aromatic Esters of Psilocin","Elliott B. Hulley",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-0195-P0001","Syntheses, Characterizations, and Applications of Heli-Viologens and Heli-Twisted Acenes","Edward L. Clennan",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-1863-P0001","Ab initio prediction of electron transport in 2D metal–organic frameworks via machine learning","Laura Rita de Sousa Oliveira",2023-06-27,NA,NA,"Not Funded Yet","2023","June"
"Chemistry","College of Engineering & Physical Sciences","23-0189-P0001","Development of Sensitive Electrochemiluminescent Immunoassays through Electric Field Assisted Rapid Analyte Capture and Rational Design of the Reporter Catalyst/Reaction System","Debashis Dutta",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-1658-P0001","CAREER: Uncovering High Thermoelectric Performance in 2D Metal-Organic Frameworks Through Ab Initio Atomistic Modeling","Laura Rita de Sousa Oliveira",2023-06-15,NA,NA,"Not Funded Yet","2023","June"
"Chemistry","College of Engineering & Physical Sciences","24-0270-P0001","An Instrumental Platform for Identifying, Collecting, and Analyzing Particles with Micron and Submicron Dimensions","Caleb Matthew Hill",2023-08-18,NA,NA,"Funded","2023","August"
"Chemistry","College of Engineering & Physical Sciences","23-1231-P0001","Collaborative Research: Elucidation of the Role of Atomic Structures of CeO2(111) on the Nucleation and Growth of Metal Clusters through in situ STM and Theory","Jing Zhou",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","24-0874-P0001","2.	Direct Utilization of Coal for Lithium-Ion Battery Anodes","Caleb Matthew Hill",2024-03-05,"3/11/2024 8:48",NA,"Not Funded Yet","2024","March"
"Chemistry","College of Engineering & Physical Sciences","24-0551-P0001","Modifiable Graphene-like Covalent Organic Frameworks (COFs) for Rare Earth separations","John O. Hoberg",2023-11-07,"12/4/2023 13:18",NA,"Not Funded Yet","2023","November"
"Chemistry","College of Engineering & Physical Sciences","23-0109-P0001","Why do Bacteria Make Sterols?","Francisco Basile",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-0636-P0001","CAREER: Optically Controlled Protein Proximity Labelling","Michael Thompson Taylor",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","23-1758-P0001","Studies of Single-Site Electrocatalysis in Two-Dimensional Covalent Organic Frameworks","Caleb Matthew Hill",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Chemistry","College of Engineering & Physical Sciences","24-0114-P0001","Extraction of Critical Materials from Coal Feedstocks using Ionic Liquids","Caleb Matthew Hill",2023-07-27,"8/8/2023 16:15",NA,"Not Funded Yet","2023","July"
"Chemistry","College of Engineering & Physical Sciences","23-1026-P0001","Fundamental Studies of Psilocin and Derivatives","Elliott B. Hulley",2023-04-27,NA,NA,"Funded","2023","April"
"Chemistry","College of Engineering & Physical Sciences","24-0302-P0001","Design and Evaluation of Water Electrolysis System","Caleb Matthew Hill",2023-08-18,NA,NA,"Funded","2023","August"
"Chemistry","College of Engineering & Physical Sciences","25-0437-P0001","Discovery of novel anti-fungal metabolites protecting tardigrades during prolonged biostasis","Takashi L. Suyama",2025-01-14,"1/28/2025 9:48",NA,"Not Funded Yet","2025","January"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0420-P0001","Wyoming Technology Transfer Center (T2) 2020 - Federal Portion","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0080-P0001","Development of an Ultra-Accelerated Test to Evaluate ASR Potential in Concrete (Federal)","Jennifer Elaine Tanner Eisenhauer",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-1082-P0001","Development of construction case studies","Ahmed Fathy Abdelaty Ahmed",2024-06-11,"7/10/2024 8:04",NA,"Not Funded Yet","2024","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0724-P0001","Wyoming Technology Transfer Center 2021","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0757-P0001","Utilization of Alternative Supplementary Cementitious Materials in Highway Applications","Kam Weng Ng",2024-01-26,"2/15/2024 16:32",NA,"Not Funded Yet","2024","January"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0528-P0001","Effectiveness of Speed Reduction in Work Zones","Ahmed Fathy Abdelaty Ahmed",2023-10-30,"11/30/2023 10:35",NA,"Not Funded Yet","2023","October"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0097-P0001","Implementation of the SHRP2 Naturalistic Driving Study Research Results into Connected Variable Speed Limit System (Federal)","Mohamed M. Ahmed",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0576-P0001","Multiscale Electricity Modeling for Evaluating Carbon Capture and Sequestration technologies (MEME-CCS)","Haibo Zhai",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0416-P0001","RII Track-4: Adaptive Fault Detection and Diagnosis Based on Growing Gaussian Mixture Regressions for High-Performance HVAC Systems","Liping Wang",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1691-P0001","CO2 to NaHCO3 Using Geo-Brine from CO2 Injection Site","Jonathan A. Brant",2023-06-20,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1867-P0001","Cost Estimating Practices for Highway Projects","Ahmed Fathy Abdelaty Ahmed",2023-06-27,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1009-P0001","Wyoming High Risk Rural Roads Program - 2022","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0607-P0001","UNLV University Transportation Centers Program DOT Subaward","Khaled Ksaibati",2023-11-29,NA,NA,"Not Funded Yet","2023","November"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1708-P0001","Center for Transformative Mobility and Traffic Management C(TM)2","Milan Zlatkovic",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-1057-P0001","Developing a Prototype System for Measuring Intersection Sight Distances","Khaled Ksaibati",2024-05-31,"6/12/2024 14:00","8/29/2024 7:42","Funded","2024","May"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1707-P0001","Center for Safe, Equitable, and Effective Design","Milan Zlatkovic",2023-06-21,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0295-P0001","The investigation of utilizing recycled rubber fills in the infrastructure-Phase I","Kam Weng Ng",2024-11-06,NA,NA,"Not Funded Yet","2024","November"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0430-P0002","Strategic Analysis (SA) Support Services","Haibo Zhai",2024-01-24,NA,"1/24/2024 16:41","Funded","2024","January"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0615-P0001","A Systems and Transdisciplinary Approach to Improving Sustainability of Indoor Farming","Liping Wang",2023-11-30,"3/29/2024 15:21",NA,"Not Funded Yet","2023","November"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0506-P0001","Assessment of Motorcycle Safety in Wyoming, Phase 2: Crash Hotspot Locations, Characteristics and Improvements","Milan Zlatkovic",2023-10-24,"10/30/2023 13:25",NA,"Not Funded Yet","2023","October"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0384-P0001","Utah Motorcycle Safety Study","Milan Zlatkovic",2023-09-08,NA,NA,"Funded","2023","September"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0834-P0001","Synthesis: Carbon Capture and Repurposing By-Products","Ahmed Fathy Abdelaty Ahmed",2024-02-19,"3/12/2024 12:06",NA,"Not Funded Yet","2024","February"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0967-P0001","CO2 to NaHCO3 Using Geo-Brine from CO2 Injection Site","Jonathan A. Brant",2024-04-22,NA,NA,"Not Funded Yet","2024","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0053-P0001","Application Development, Human Use Approval, and Participants Training - Connected Vehicle Pilot Deployment Program","Mohamed M. Ahmed",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1832-P0001","REDUCING THE ENERGY CONSUMPTION OF INLAND DESALINATION SYSTEMS WITH MAGNETICALLY ASSISTED REVERSE OSMOSIS","Jonathan A. Brant",2023-06-26,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0698-P0001","Rural Autonomous Vehicle (RAV) Program","Milan Zlatkovic",2024-01-16,NA,NA,"Not Funded Yet","2024","January"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0102-P0001","Assessing and Monitoring the Carbon Sequestration Potential of Forested Areas in Colorado and Wyoming Using Advanced LiDAR and Drone Technologies","Chengyi Zhang",2024-08-30,"9/13/2024 14:11",NA,"Not Funded Yet","2024","August"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-1083-P0001","County Paved Roads 2024","Khaled Ksaibati",2024-06-11,NA,NA,"Not Funded Yet","2024","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0125-P0001","ERI: Quantifying Community-Level Damage Risk to Hazard-Induced Wood Rot","Garrett Andrew Tatum",2024-09-10,"10/9/2024 15:20",NA,"Not Funded Yet","2024","September"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0207-P0001","Integrating Multiscale Computing and Experiments with Additive Manufacturing for Advancing Low-Carbon Hydrogen Production, Transportation and Storage","Haibo Zhai",2024-10-08,NA,NA,"Not Funded Yet","2024","October"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0452-P0001","Developing WYDOT Road Weather Information Systems (RWIS)-based Smart Tools for Black Ice Detection and Real-Time Warning Systems","Khaled Ksaibati",2025-01-17,NA,NA,"Not Funded Yet","2025","January"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0721-P0001","Updating and Implementing the Grade Severity Rating System (GSRS) for Wyoming Mountain Passes, Phase 2","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0413-P0001","Characterization of Soil and Rock for Transportation Infrastructure Using Seismic Methods in Wyoming - Federal Portion","Shawn C. Griffiths",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0453-P0001","Strategies and Technologies for Warning, Detection, and Prevention of Trespassing in the Vicinity of Highway-Rail Grade Crossings: State of the Practice and Research Needs","Ahmed Fathy Abdelaty Ahmed",2023-09-28,NA,NA,"Not Funded Yet","2023","September"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0365-P0001","Implementing an Unmanned Aerial Systems (UAS) Program for Transportation Systems in Wyoming","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0319-P0004","Wyoming Local Technical Assistance Program (LTAP) Center","Khaled Ksaibati",2024-12-13,"1/29/2025 15:36",NA,"Funded","2024","December"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1514-P0001","Developing Tools to Mitigate the Impact of Design Errors and Omissions","Ahmed Fathy Abdelaty Ahmed",2023-05-09,NA,"5/10/2023 9:17","Funded","2023","May"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0337-P0002","Expanding Industrial Markets for Mass Timber through Novel Insulated CLT Panels","Garrett Andrew Tatum",2024-11-21,NA,NA,"Not Funded Yet","2024","November"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1335-P0001","NPS-FY22-IMR-NCPTT Grants","Chengyi Zhang",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1392-P0001","Evaluation and Forecasting of Winter Road Conditions Associated with Blowing Snow for the Wyoming Highway System - Federal","Noriaki Ohara",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0491-P0001","Construction Workforce Training","Gideon Francois Jacobs",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0827-P0001","Characterizing Spatio-Temporal patterns of Plant-Available Water after Wildfire in Headwater Catchments","Ryan Webb",2024-02-15,NA,NA,"Not Funded Yet","2024","February"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0347-P0001","Global CEnters: Track 2: Cross-Sectoral Infrastructure Research and Education for Communities (CIREC)","Liping Wang",2023-08-27,NA,NA,"Not Funded Yet","2023","August"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0833-P0001","Leverage AI for Asset Inventories & Management","Ahmed Fathy Abdelaty Ahmed",2024-02-19,"3/6/2024 15:51",NA,"Not Funded Yet","2024","February"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0539-P0001","MRI: Acquisition of a High Pressure and Temperature True Triaxial Testing Equipment with a Multiphase Fluid Flow System","Kam Weng Ng",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0103-P0002","Technology Transfer Center's County Road Inventory Program","Khaled Ksaibati",2024-06-11,"6/26/2024 7:30","1/14/2025 15:35","Funded","2024","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1540-P0001","Critical Minerals and Materials Recovery from Oil and Gas Produced Water","Jonathan A. Brant",2023-06-01,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1161-P0001","Assessment of Motorcycle Safety in Wyoming: Fatal and Severe Crashes, Contributing Factors and Potential Countermeasures","Milan Zlatkovic",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0452-P0001","State and Local Suspension and Debarment Programs of Contractors","Ahmed Fathy Abdelaty Ahmed",2023-09-28,NA,NA,"Not Funded Yet","2023","September"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1902-P0001","NCHRP Signal Timing Manual Update","Milan Zlatkovic",2023-06-29,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0190-P0001","Collaborative Research: Causes and Consequences of Catastrophic Thermokarst Lake Drainage in an Evolving Arctic System","Noriaki Ohara",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0117-P0001","dddd","Aysegul Demir",2024-09-06,NA,NA,"Not Funded Yet","2024","September"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0894-P0001","Biochar-derived graphene oxide for block pavers","Kam Weng Ng",2024-03-18,"3/21/2024 17:04","8/13/2024 8:33","Funded","2024","March"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0335-P0001","Multi-Scale Modeling of Wood Degradation for Civil Infrastructure","Garrett Andrew Tatum",2024-11-21,"12/16/2024 10:46",NA,"Not Funded Yet","2024","November"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0502-P0001","ASC grant fund program region 6 and 7","Ahmed Fathy Abdelaty Ahmed",2023-10-23,NA,NA,"Not Funded Yet","2023","October"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0730-P0001","Wyoming Local Technical Assistance Center 2021","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0048-P0001","Framework for Knowledge Management and Transfer","Ahmed Fathy Abdelaty Ahmed",2024-08-06,"10/16/2024 14:36",NA,"Funded","2024","August"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1602-P0001","CAREER:  Defining the Role of Snow in Storing and Transmitting Liquid Water to Generate Streamflow","Ryan Webb",2023-06-08,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1242-P0001","Technology Transfer Program's County Road Inventory Program 2023","Khaled Ksaibati",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","24-0319-P0003","Wyoming Local Technical Assistance Program (LTAP) Center","Khaled Ksaibati",2024-03-03,"3/19/2024 12:25","9/6/2024 11:34","Funded","2024","March"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0230-P0001","Quantum-Driven Resilience: Enhancing Security in Smart Energy Grids and Emergency Response Planning","Chengyi Zhang",2024-10-16,NA,NA,"Not Funded Yet","2024","October"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-1626-P0001","NOVEL COAL-DERIVED CHAR-BASED AGGREGATES FOR HIGHWAY APPLICATIONS","Kam Weng Ng",2023-06-12,NA,NA,"Not Funded Yet","2023","June"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","25-0170-P0001","Recycled aggregate concrete","Kam Weng Ng",2024-09-25,"10/10/2024 12:43",NA,"Not Funded Yet","2024","September"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0261-P0001","Characterization of Blowover Risk in the Wyoming Highway System - Federal Portion","Noriaki Ohara",2023-04-27,NA,NA,"Funded","2023","April"
"Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","23-0613-P0001","Mission Execution and Strategic Analysis Support","Haibo Zhai",2023-04-27,NA,NA,"Funded","2023","April"
