"Year","Month","PI Unit","Number of Proposal Submitted","Number of Proposal Funded"
"2024","May","VP of Global Engagement",1,0
"2024","May","Veterinary Science",2,1
"2024","May","Wyo Natural Diversity Database",4,2
"2024","May","Wyoming Geographic Information Science Center",2,1
"2024","May","Wyoming Institute for Disabilities WIND",1,1
"2024","May","Wyoming Public Media",1,0
"2024","May","Wyoming Survey & Analysis Center",5,4
"2024","May","Zoology & Physiology",2,0
"2024","May",NA,2,0
"2024","November","Atmospheric Science",7,0
"2024","November","Biodiversity Institute",1,0
"2024","November","Botany",2,1
"2024","November","Chemical & Biomedical Engineering",3,0
"2024","November","Chemistry,School of Energy Resources Department",1,0
"2024","November","Civil & Architectural Engineering & Construction Management",5,1
"2024","November","Counseling Leadership Advocacy & Design",1,0
"2024","November","Criminal Justice & Sociology",1,0
"2024","November","EPSCoR/IDEA Office",1,0
"2024","November","Ecosystem Science & Management",1,1
"2024","November","Electrical Engineering & Computer Science",2,0
"2024","November","Geology & Geophysics",2,0
"2024","November","Haub School of Environment & Natural Resources",3,0
"2024","November","Kinesiology & Health",1,0
"2024","November","Mechanical Engineering",2,0
"2024","November","Molecular Biology",4,0
"2024","November","Physics & Astronomy",5,0
"2024","November","Plant Sciences",1,0
"2024","November","R&E Center Laramie",1,0
"2024","November","Research & Economic Development Division",1,0
"2024","November","School of Computing",4,0
"2024","November","School of Energy Resources Directors Office",1,1
"2024","November","School of Pharmacy",2,0
"2024","November","School of Teacher Education",2,0
"2024","November","UW Extension",1,1
"2024","November","VP of Global Engagement",1,0
"2024","November","Veterinary Science",3,0
"2024","November","Wyo Natural Diversity Database",1,0
"2024","November","Wyoming Coop Unit",2,0
"2024","November","Wyoming Institute for Disabilities WIND",3,1
"2024","November","Wyoming State Veterinary Laboratory",1,1
"2024","November","Wyoming Survey & Analysis Center",1,1
"2024","November","Zoology & Physiology",1,0
"2024","November",NA,2,0
"2024","October","Animal Science",4,0
"2024","October","Atmospheric Science",5,0
"2024","October","Botany",5,1
"2024","October","Center of Innovation for Flow through Porous Media",1,1
"2024","October","Chemical & Biomedical Engineering",4,0
"2024","October","Chemistry",3,0
"2024","October","Civil & Architectural Engineering & Construction Management",3,0
"2024","October","Counseling Leadership Advocacy & Design",1,0
"2024","October","Economics",1,1
"2024","October","Ecosystem Science & Management",2,0
"2024","October","Electrical Engineering & Computer Science",9,1
"2024","October","Energy & Petroleum Engineering",1,1
"2024","October","Geology & Geophysics",5,3
"2024","October","Haub School of Environment & Natural Resources",2,0
"2024","October","Kinesiology & Health",1,1
"2024","October","Mathematics & Statistics",3,0
"2024","October","Mechanical Engineering",5,0
"2024","October","Molecular Biology",6,1
"2024","October","Physics & Astronomy",5,0
"2024","October","Plant Sciences",4,0
"2024","October","Politics Public Affairs & International Studies",1,0
"2024","October","School of Computing",2,0
"2024","October","School of Energy Resources Subdivision",2,0
"2024","October","School of Nursing",2,0
"2024","October","School of Pharmacy",3,0
"2024","October","School of Teacher Education",1,0
"2024","October","Social Work",1,0
"2024","October","UW Extension",4,1
"2024","October","University Art Museum",1,0
"2024","October","VP for Research & Economic Development Office",1,0
"2024","October","Veterinary Science",1,0
"2024","October","Wyo Natural Diversity Database",3,0
"2024","October","Wyoming Coop Unit",1,0
"2024","October","Wyoming Geographic Information Science Center",1,0
"2024","October","Wyoming Institute for Disabilities WIND",2,2
"2024","October","Wyoming Survey & Analysis Center",2,1
"2024","October","Zoology & Physiology",4,1
"2024","October",NA,3,0
"2024","September","Agricultural Experiment Station",2,2
"2024","September","Agriculture & Applied Economics",1,0
"2024","September","Animal Science",3,0
"2024","September","Anthropology",1,0
"2024","September","Applications & Customer Relations",1,0
"2024","September","Atmospheric Science",2,1
"2024","September","Botany",1,0
"2024","September","Chemical & Biomedical Engineering",6,0
"2024","September","Chemistry",1,0
"2024","September","Civil & Architectural Engineering & Construction Management",7,1
"2024","September","College of Education Deans Office",1,0
"2024","September","Ecosystem Science & Management",5,1
"2024","September","Electrical Engineering & Computer Science",5,0
"2024","September","Engineering & Physical Sciences Deans Office",1,0
"2024","September","Family & Consumer Sciences",1,0
"2024","September","Geology & Geophysics",1,0
"2024","September","Haub School of Environment & Natural Resources",1,1
"2024","September","Kinesiology & Health",3,1
"2024","September","Life Science Program",1,1
"2024","September","Mechanical Engineering",4,0
"2024","September","Modern & Classical Languages",1,0
"2024","September","Music",2,2
"2024","September","Physics & Astronomy",1,0
"2024","September","Plant Sciences",2,0
"2024","September","Psychology",2,0
"2024","September","Research & Economic Development Division",1,0
"2024","September","Rural Health",1,0
"2024","September","School of Computing",2,0
"2024","September","School of Energy Resources Directors Office",3,3
"2024","September","School of Energy Resources Subdivision",2,1
"2024","September","School of Nursing",1,0
"2024","September","School of Pharmacy",5,2
"2024","September","Science & Math Teaching Center",1,0
"2024","September","UW Extension",2,2
"2024","September","Veterinary Science",1,0
"2024","September","Wyoming Coop Unit",1,1
"2024","September","Wyoming Geographic Information Science Center",2,1
"2024","September","Wyoming Institute for Disabilities WIND",2,1
"2024","September","Wyoming State Veterinary Laboratory",1,0
"2024","September","Wyoming Survey & Analysis Center",1,0
"2024","September","Zoology & Physiology",4,1
"2024","September",NA,2,0
"2025","January","Agricultural Experiment Station",1,0
"2025","January","American Heritage Center",1,0
"2025","January","Atmospheric Science",4,0
"2025","January","Botany",1,0
"2025","January","Chemical & Biomedical Engineering",1,0
"2025","January","Chemistry",2,0
"2025","January","Civil & Architectural Engineering & Construction Management",1,0
"2025","January","College of Arts & Sciences Deans Office",1,1
"2025","January","Economics",1,1
"2025","January","Ecosystem Science & Management",3,0
"2025","January","Electrical Engineering & Computer Science",3,0
"2025","January","Energy & Petroleum Engineering",1,0
"2025","January","Engineering & Physical Sciences Deans Office",1,0
"2025","January","Geology & Geophysics",2,0
"2025","January","Haub School of Environment & Natural Resources",11,0
"2025","January","Kinesiology & Health",3,0
"2025","January","Mathematics & Statistics",2,0
"2025","January","Mechanical Engineering",2,0
"2025","January","Molecular Biology",4,0
"2025","January","Physics & Astronomy",4,0
"2025","January","Plant Sciences",2,0
"2025","January","Politics Public Affairs & International Studies",1,0
"2025","January","Psychology",3,0
"2025","January","R&E Center Laramie",1,0
"2025","January","School of Computing",1,0
"2025","January","School of Energy Resources Directors Office",7,2
"2025","January","School of Nursing",1,0
"2025","January","School of Pharmacy",2,0
"2025","January","School of Teacher Education",1,0
"2025","January","UW Casper",1,0
"2025","January","UW Extension",2,0
"2025","January","UW Medical Residency",1,0
"2025","January","Veterinary Science",2,0
"2025","January","Wyo Natural Diversity Database",4,0
"2025","January","Wyoming Coop Unit",20,0
"2025","January","Wyoming Geographic Information Science Center",1,0
"2025","January","Wyoming Institute for Disabilities WIND",2,0
"2025","January","Wyoming Survey & Analysis Center",1,1
"2025","January","Zoology & Physiology",11,0
"2025","January",NA,5,0
