"Project Title","Proposal #","PI Unit","College (Subdivision)","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month","Status","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","Obligated Amount in Award Data","Total Expected Amount in Award Data","Direct Costs in Award Data","expected direct in Award Data","expected indirect in Award Data","Indirect Costs in Award Data","Total Project Cost in Award Data"
"Loco Creek Noxious Weed Control","24-0334-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Tyler Joe Carroll",2024-04-30,"6/25/2024 12:19","8/28/2024 15:21","Funded","2024","April","Funded","15000","14286","714","15000","15000","15000",14286,"14286","714",714,"15000"
"Loggerhead Shrike - WGBGLC","23-1932-P0002","Wyoming Coop Unit","College of Agriculture, Life Sciences & Natural Resources","Anna Lisa D. Chalfoun",2024-01-12,"2/19/2024 13:46","8/6/2024 11:46","Funded","2024","January","Funded","10200","10200","0","10200","10200","10200",10200,"10200","0",0,"10200"
"Loggerhead Shrike - WGBGLC","23-1932-P0002","Wyoming Coop Unit","College of Agriculture, Life Sciences & Natural Resources","Anna Lisa D. Chalfoun",2024-01-12,"2/19/2024 13:46","8/6/2024 11:46","Funded","2024","January","Funded","10200","10200","0","10200","9000","9000",9000,"9000","0",0,"9000"
"Loggerhead Shrike - WGBGLC","23-1932-P0002","Wyoming Coop Unit","College of Agriculture, Life Sciences & Natural Resources","Anna Lisa D. Chalfoun",2024-01-12,"2/19/2024 13:46","8/6/2024 11:46","Funded","2024","January","Funded","9000","9000","0","9000","10200","10200",10200,"10200","0",0,"10200"
"Loggerhead Shrike - WGBGLC","23-1932-P0002","Wyoming Coop Unit","College of Agriculture, Life Sciences & Natural Resources","Anna Lisa D. Chalfoun",2024-01-12,"2/19/2024 13:46","8/6/2024 11:46","Funded","2024","January","Funded","9000","9000","0","9000","9000","9000",9000,"9000","0",0,"9000"
"Low Temperature Production of High Value Nanomaterials from Coal","24-0875-P0001","Chemistry","College of Engineering & Physical Sciences","Caleb Matthew Hill",2024-03-05,"3/11/2024 8:47","11/22/2024 14:30","Funded","2024","March","Funded","80011","58721","21290","80011","80011","80011",58721,"68721","21290",21290,"80011"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","40851","34767","6084","40851","62000","62000",52766,"52766","9234",9234,"62000"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","40851","34767","6084","40851","102851","102851",87533,"87533","15318",15318,"102851"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","40851","34767","6084","40851","62000","62000",52766,"52766","9234",9234,"62000"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","40851","34767","6084","40851","40851","40851",34767,"34767","6084",6084,"40851"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","62000","52765.96","9234.04","62000","62000","62000",52766,"52766","9234",9234,"62000"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","62000","52765.96","9234.04","62000","102851","102851",87533,"87533","15318",15318,"102851"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","62000","52765.96","9234.04","62000","62000","62000",52766,"52766","9234",9234,"62000"
"Macroinvertebrate Monitoring at Agate Fossil Beds NM","24-0350-P0002","Wyo Natural Diversity Database","Research","Lusha Marguerite Tronstad",2024-02-27,"2/29/2024 11:36","3/25/2024 9:56","Funded","2024","February","Funded","62000","52765.96","9234.04","62000","40851","40851",34767,"34767","6084",6084,"40851"
"Mapping Canada Lynx and Big Game Habitat from LiDAR in the Southern Rocky Mountains","24-0737-P0001","Wyo Natural Diversity Database","Research","Paige Elise Parry",2024-01-23,NA,"3/12/2024 12:47","Funded","2024","January","Submitted to Sponsor","20000","20000","0","20000","20000","20000",20000,"20000","0",0,"20000"
"Mapping Canada Lynx and Big Game Habitat from LiDAR in the Southern Rocky Mountains","24-0737-P0001","Wyo Natural Diversity Database","Research","Paige Elise Parry",2024-01-23,NA,"3/12/2024 12:47","Funded","2024","January","Submitted to Sponsor","19904.15","19904.15","0","19904.15","20000","20000",20000,"20000","0",0,"20000"
"Material preparations under high-temperature conditions","25-0186-P0001","Energy & Petroleum Engineering","College of Engineering & Physical Sciences","So Tie Tjeng",2024-10-01,"10/4/2024 16:22","10/17/2024 10:50","Funded","2024","October","Funded","10000","7310","2690","10000","10000","10000",7310,"7310","2690",2690,"10000"
"McGregor Dry Bean Treatment 2024 Powell","24-1018-P0001","Plant Sciences","College of Agriculture, Life Sciences & Natural Resources","James J. Heitholt",2024-05-09,"5/29/2024 10:56","7/2/2024 15:38","Funded","2024","May","Funded","5400","4909","490.9","5400","5400","5400",4909,"4909","490.9",490.9,"5400"
"Measure in Total Function Complexity Classes","24-0985-P0001","Electrical Engineering & Computer Science","College of Engineering & Physical Sciences","John Hitchcock",2024-04-29,"5/10/2024 12:10","7/22/2024 16:26","Funded","2024","April","Funded","438709","327819","110890","438709","460755","460755",342418,"342418","118337",118337,"460755"
"Mechanisms of right ventricular dysfunction in type 2 diabetes","24-1043-P0001","Kinesiology & Health","College of Health Sciences","Danielle R Bruns",2024-05-24,"6/6/2024 10:17","9/25/2024 10:47","Funded","2024","May","Funded","2113472","1555782","555690","2113472","323277","323277",227403,"227403","95874",95874,"323277"
"Monitoring an Endangered Bat Population in Wyoming","24-0724-P0001","Wyo Natural Diversity Database","Research","Ellen Whittle",2024-01-22,"3/28/2024 14:27","8/15/2024 11:41","Funded","2024","January","Funded","17833.6","17833.6","0","17833.6","17834","17834",17834,"17834","0",0,"17834"
"Monitoring bat communities in Wyoming with emphasis on habitat use and individual species distribution","24-0904-P0001","Wyo Natural Diversity Database","Research","Ian M. Abernethy",2024-03-26,"4/11/2024 15:35","9/17/2024 13:11","Funded","2024","March","Funded","66000","56170.21","9829.79","66000","66000","66000",56170.21,"56170.21","9829.79",9829.79,"66000"
"Monitoring the Yermo xanthocephalus (desert yellowhead) using high resolution UAS data and novel AI/ML workflows","24-0747-P0001","Wyoming Geographic Information Science Center","College of Engineering & Physical Sciences","Austin Madson",2024-01-25,"2/23/2024 17:05","8/14/2024 10:59","Funded","2024","January","Funded","63173.77","53847.57","9326.2","63289.86","63173.77","63173.77",53847.57,"53847.57","23715.19",23715.19,"77562.76"
"Montana CMS Survey","24-0783-P0001","Wyoming Survey & Analysis Center","Research","Michael D. Dorssom",2024-02-01,"4/11/2024 13:58","10/11/2024 11:42","Funded","2024","February","Funded","30549.09","27154.75","3394.34","30549.09","32800","32800",29156,"29156","3644",3644,"32800"
"Moose Habitat Project-WGBGLC 2024","24-0738-P0001","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Kevin L. Monteith",2024-01-24,NA,"7/3/2024 8:23","Funded","2024","January","Funded","40000","40000","0","40000","40000","40000",40000,"40000","0",0,"40000"
"MPSG Facilitation and Engagement","24-0956-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-08-26,"8/28/2024 19:59","9/9/2024 11:29","Funded","2024","August","Funded","49997.43","42551","7446.43","74005.43","0","0",0,"0","0",0,"74005.43"
"MPSG Facilitation and Engagement","24-0956-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-08-26,"8/28/2024 19:59","9/9/2024 11:29","Funded","2024","August","Funded","49997.43","42551","7446.43","74005.43","191300","191300",162808.51,"162808.51","28491.49",28491.49,"191300"
"MPSG Facilitation and Engagement","24-0956-P0001","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-04-17,"6/26/2024 10:40","9/9/2024 15:30","Funded","2024","April","Funded","191300","162808.51","28491.49","266458.74","0","0",0,"0","0",0,"74005.43"
"MPSG Facilitation and Engagement","24-0956-P0001","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-04-17,"6/26/2024 10:40","9/9/2024 15:30","Funded","2024","April","Funded","191300","162808.51","28491.49","266458.74","191300","191300",162808.51,"162808.51","28491.49",28491.49,"191300"
"MPSG Facilitation and Engagement","24-0956-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-08-26,"8/28/2024 19:59","9/9/2024 11:29","Funded","2024","August","Funded","191300","162808.51","28491.49","266458.74","0","0",0,"0","0",0,"74005.43"
"MPSG Facilitation and Engagement","24-0956-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-08-26,"8/28/2024 19:59","9/9/2024 11:29","Funded","2024","August","Funded","191300","162808.51","28491.49","266458.74","191300","191300",162808.51,"162808.51","28491.49",28491.49,"191300"
"MPSG Facilitation and Engagement","24-0956-P0001","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-04-17,"6/26/2024 10:40","9/9/2024 15:30","Funded","2024","April","Funded","49997.43","42551","7446.43","74005.43","0","0",0,"0","0",0,"74005.43"
"MPSG Facilitation and Engagement","24-0956-P0001","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Melanie Armstrong",2024-04-17,"6/26/2024 10:40","9/9/2024 15:30","Funded","2024","April","Funded","49997.43","42551","7446.43","74005.43","191300","191300",162808.51,"162808.51","28491.49",28491.49,"191300"
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","40000","33333","6667",NA,"40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","40000","33333","6667",NA,"21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","21907","21907","0","21907","40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","21907","21907","0","21907","21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","56141","47134.87","9006.13","216963","40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","56141","47134.87","9006.13","216963","21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","5000","5000","0","10000","40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","5000","5000","0","10000","21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","21907","21907","0","21907","40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","21907","21907","0","21907","21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","5000","5000","0","10000","40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","5000","5000","0","10000","21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","56141","47134.87","9006.13","216963","40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0001","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-18,"2/9/2024 11:56","5/6/2024 10:29","Funded","2024","January","Funded","56141","47134.87","9006.13","216963","21907","21907",21907,"21907","0",0,"21907"
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","40000","33333","6667",NA,"40000","40000",33333,"33333","6667",6667,NA
"NABat","24-0712-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","Riley Fehr Bernard",2024-01-22,"3/4/2024 11:31","8/6/2024 11:50","Funded","2024","January","Funded","40000","33333","6667",NA,"21907","21907",21907,"21907","0",0,"21907"
"NAHLN Infrastructure","24-0407-P0002","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","Berit Bangoura",2024-05-06,"5/17/2024 12:27","6/19/2024 15:12","Funded","2024","May","Funded","287870","261700","26170","287870","287870","287870",261700,"261700","26170",26170,"287870"
"NAHLN Infrastructure","24-0407-P0002","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","Berit Bangoura",2024-05-06,"5/17/2024 12:27","6/19/2024 15:12","Funded","2024","May","Funded","287870","261700","26170","287870","256300","256300",224573,"224573","31727",31727,"256300"
"NAHLN Infrastructure","24-0407-P0002","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","Berit Bangoura",2024-05-06,"5/17/2024 12:27","6/19/2024 15:12","Funded","2024","May","Funded","287870","261700","26170","287870","287870","287870",261700,"261700","26170",26170,"287870"
"NAHLN Infrastructure","24-0407-P0002","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","Berit Bangoura",2024-05-06,"5/17/2024 12:27","6/19/2024 15:12","Funded","2024","May","Funded","256300","224573","31727","256300","287870","287870",261700,"261700","26170",26170,"287870"
"NAHLN Infrastructure","24-0407-P0002","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","Berit Bangoura",2024-05-06,"5/17/2024 12:27","6/19/2024 15:12","Funded","2024","May","Funded","256300","224573","31727","256300","256300","256300",224573,"224573","31727",31727,"256300"
"NAHLN Infrastructure","24-0407-P0002","Veterinary Science","College of Agriculture, Life Sciences & Natural Resources","Berit Bangoura",2024-05-06,"5/17/2024 12:27","6/19/2024 15:12","Funded","2024","May","Funded","256300","224573","31727","256300","287870","287870",261700,"261700","26170",26170,"287870"
"National Deaf-Blind Equipment Distribution Program (NDBEDP) ""iCanConnect"" Annual Allocation","24-0381-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-12-17,"1/24/2025 10:56",NA,"Funded","2024","December","Funded","61736","57980","3755","61736","61734","61734",53682,"53682","8052",8052,"61734"
"National Deaf-Blind Equipment Distribution Program (NDBEDP) ""iCanConnect"" Annual Allocation","24-0381-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-12-17,"1/24/2025 10:56",NA,"Funded","2024","December","Funded","61736","57980","3755","61736","61736",NA,57980,NA,NA,3755,"61736"
"National Deaf-Blind Equipment Distribution Program (NDBEDP) ""iCanConnect"" Annual Allocation","24-0381-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-12-17,"1/24/2025 10:56",NA,"Funded","2024","December","Funded","61734","55560.6","6173.4","61734","61734","61734",53682,"53682","8052",8052,"61734"
"National Deaf-Blind Equipment Distribution Program (NDBEDP) ""iCanConnect"" Annual Allocation","24-0381-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-12-17,"1/24/2025 10:56",NA,"Funded","2024","December","Funded","61734","55560.6","6173.4","61734","61736",NA,57980,NA,NA,3755,"61736"
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration",NA,NA,NA,NA,"107870","107870",89892,"89892","17978",17978,"107870"
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration",NA,NA,NA,NA,"203437",NA,NA,NA,NA,NA,NA
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration",NA,NA,NA,NA,"310637","310637",258864,"258864","51773",51773,"310637"
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration",NA,NA,NA,NA,"203437",NA,NA,NA,NA,NA,NA
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration","107870","89892","17978","107870","107870","107870",89892,"89892","17978",17978,"107870"
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration","107870","89892","17978","107870","203437",NA,NA,NA,NA,NA,NA
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration","107870","89892","17978","107870","310637","310637",258864,"258864","51773",51773,"310637"
"National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration","107870","89892","17978","107870","203437",NA,NA,NA,NA,NA,NA
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","200000",NA,NA,NA,NA,NA,NA
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","45000","45000",33582,"33582","11418",11418,"65000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","65000","48507.46","16492.54","65000","65000","65000",48507.46,"48507.46","16492.54",16492.54,"65000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"200000",NA,NA,NA,NA,NA,NA
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"45000","45000",33582,"33582","11418",11418,"65000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded",NA,NA,NA,NA,"65000","65000",48507.46,"48507.46","16492.54",16492.54,"65000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","85000","63432.84","21567.16","85000","200000",NA,NA,NA,NA,NA,NA
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","85000","63432.84","21567.16","85000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","85000","63432.84","21567.16","85000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","85000","63432.84","21567.16","85000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
"New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","23-0861-P0004","Wyoming Survey & Analysis Center","Research","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded","85000","63432.84","21567.16","85000","85000","85000",63432.84,"63432.84","21567.16",21567.16,"85000"
