Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0216-A0001-0,Research and Monitoring of Wyoming Toad Reintroductions,162478.42,,,,,,
23-0216-A0001-1,Research and Monitoring of Wyoming Toad Reintroductions,156137.81,,,,,,162478.42
23-1195-A0001-0,RII Track-1: Anticipating the Climate-Water Transition and Cascading Challenges to Socio-Environmental Systems in America's Headwaters,2691640,,,,,,
23-1195-A0001-1,RII Track-1: Anticipating the Climate-Water Transition and Cascading Challenges to Socio-Environmental Systems in America's Headwaters,7442888,20000000,5471235,14822932,5177068,1971653,20000000
23-1195-A0001-2,RII Track-1: Anticipating the Climate-Water Transition and Cascading Challenges to Socio-Environmental Systems in America's Headwaters,7442888,20000000,5471235,14822932,5177068,1971653,20000000
23-1195-A0001-3,RII Track-1: Anticipating the Climate-Water Transition and Cascading Challenges to Socio-Environmental Systems in America's Headwaters,12557488,20000000,9268866,14822932,5177068,3288622,20000000
24-0009-A0001-0,Challenge Grant to Fund the Wyoming Migration Initiative,490000,490000,450000,450000,40000,40000,490000
24-0009-A0001-1,Challenge Grant to Fund the Wyoming Migration Initiative,490000,490000,450000,450000,40000,40000,490000
24-0485-A0001-0,Hatch-Multistate Capacity,308604,308604,308604,308604,0,0,617208
24-0485-A0001-1,Hatch-Multistate Capacity,774148,774148,774148,774148,0,0,617208
24-0485-A0001-2,Hatch-Multistate Capacity,774148,774148,774148,774148,0,0,617208
23-1208-A0001,Red Desert to Hoback Mule Deer Project - Southwest WY Chapter,10000,,,,,,
24-0341-A0001,UW Extension Contribution: Region 8 Thriving Communities Technical Assistance Center,,,,,,,1009043
23-0656-A0001,2021 Pesticide Safety Education Funds Management Program (PSEFMP),16975,,,,,,
23-0759-A0001-0,Parahydrogen Matrix Isolation Infrared Spectroscopy and Kinetics,499999,,,,,,
23-0759-A0001-1,Parahydrogen Matrix Isolation Infrared Spectroscopy and Kinetics,499999,499999,371580,371580,128419,128419,499999
24-0019-A0001-0,Perturbation Training on Reactive Balance Control,21316,21316,19737,19737,1579,1579,21316
24-0019-A0001-1,Perturbation Training on Reactive Balance Control,21316,21316,19737,19737,1579,1579,21316
23-1833-A0001-0,Specialty Crop Block Grant Program,99906,99906,99906,99906,0,0,124883
23-1833-A0001-1,Specialty Crop Block Grant Program,99906,99906,99906,99906,0,0,124883
24-0488-A0001-0,Relation of individual differences in fMRI-Assessed Satiation Signaling to Obesity Risk and Future Weight Gain,22000,138469,15424,95139,43330,6796,22200
24-0488-A0001-1,Relation of individual differences in fMRI-Assessed Satiation Signaling to Obesity Risk and Future Weight Gain,45205,138469,31206,95139,43330,13819,45205
23-0745-A0001-0,Developing Pavement Marking Management Plans for Accommodating Advanced Vehicle Technologies in Wyoming - FEDERAL,115582,,,,,,
23-0745-A0001-1,Developing Pavement Marking Management Plans for Accommodating Advanced Vehicle Technologies in Wyoming - FEDERAL,115582,115582,96318,96318,19264,19264,115582
24-0203-A0001,Investigations in disease management for Wyoming crops,54000,,,,,,
23-0410-A0001,Evaluation of Opioid Affected Youth Project for Clackamas County 2019,150000,,,,,,
23-0046-A0001,Medicare Cost Report Payments for the Casper and Cheyenne Residency Programs to Encounter Rate of Services Provided on their Annual Clinic Costs Reports,6593274.73,,,,,,
24-0222-A0001,Barenbrug Crested and Intermediate Wheatgrass Cross Stock Seed Research,500,,,,,,
23-0618-A0004,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,929030.50,920030.5,888258.67,888258.67,40771.83,40771.83,929030.5
23-1099-A0001-0,"Metrics, Management and Monitoring: An Investigation of Rangeland and Pasture Soil Health and its Drivers",649132.98,,,,,,
23-1099-A0001-1,"Metrics, Management and Monitoring: An Investigation of Rangeland and Pasture Soil Health and its Drivers",649132.98,699132.99,629674.23,629674.23,69458.75,69458.75,699132.99
23-1099-A0001-2,"Metrics, Management and Monitoring: An Investigation of Rangeland and Pasture Soil Health and its Drivers",854619,699132.99,769157,629674.23,69458.75,85462,854619
23-1099-A0001-3,"Metrics, Management and Monitoring: An Investigation of Rangeland and Pasture Soil Health and its Drivers",854619,699132.99,769157,629674.23,69458.75,85462,854619
23-1099-A0001-4,"Metrics, Management and Monitoring: An Investigation of Rangeland and Pasture Soil Health and its Drivers",904619.01,699132.99,814611.55,629674.23,69458.75,90007.46,854619
23-0616-A0001,A Bioeconomic Approach to Managing Spatial Wildlife-Livestock Disease Risks and Valuing Ecosystem (dis-) Services,234548.72,,,,,,
23-0990-A0001,Developing 2022 Prevailing Wage Estimates for Wyoming Department of Workforce Services,46560,,,,,,
23-0348-A0001,CPS: Medium: Collaborative Research: Collective Intelligence for Proactive Autonomous Driving (CI-PAD),236187,,,,,,
23-0720-A0001,COVID-19 Statistical Data Analysis and Data Science Support for the State of Wyoming,659643,,,,,,
23-0484-A0001-0,Residency Training in Primary Care,1281522,,,,,,
23-0484-A0001-1,Residency Training in Primary Care,1692380,2103238,1664812,2072553,30685,27568,1692380
23-0484-A0001-2,Residency Training in Primary Care,1739999,2103238,1708622,2072553,30685,31377,1739999
23-0484-A0001-3,Residency Training in Primary Care,2150857,2150857,2117055,2117055,33802,33802,2150857
23-0628-A0001,Efficacy of treatment for Moose Habitat,19948.67,,,,,,
23-1281-A0001,2022 Wage Gap in Wyoming,7000,,,,,,
24-0276-A0001,Mid-scale RI-1 (M1:IP): A Deep Soil Ecotron facility to explore belowground communities and ecosystem processes,383102,,,,,,
23-1250-A0001,Red Canyon Ranch,11500,,,,,,
23-1491-A0001,Using Elk and Big Game GPS Data for Private Lands Conservation in Wyoming 2023,20000,,,,,,
23-0007-A0001,Biology and Management of Invasive Weeds in Rangelands,58500,,,,,,
23-0556-A0001,Title III D Disease Prevention and Health Promotion (DPHP) Evidence-based Program,10936.87,,,,,,
23-0334-A0001,"Moose demography, browsing interactions: Bighorns FY20",40000,,,,,,
23-0580-A0001-0,"Network Cluster: Patterns and controls of ecohydrology, CO2 fluxes, and nutrient availability in pedogenic carbonatedominated dryland critical zones",207319,,,,,,
23-0580-A0001-1,"Network Cluster: Patterns and controls of ecohydrology, CO2 fluxes, and nutrient availability in pedogenic carbonatedominated dryland critical zones",207319,207319,143473,,,63846,207319
24-0252-A0001,Catapult 2019-2022,70000,,,,,,
23-1554-A0001,Infection Rates and Fitness Effects of Ectoparasites on Declining Sagebrush Songbirds,1800,1800,1800,1800,0,0,1800
23-0091-A0001,Evaluating Various Herbicide Formulations for Management and Restoration of Weed-Infested Areas,10000,,,,,,
23-1409-A0001-0,Structure formation and baryonic cycling in the edge-on galaxy NGC891,19949,,,,,,
23-1409-A0001-1,Structure formation and baryonic cycling in the edge-on galaxy NGC891,39898,99747,27611,75044,24703,12287,99747
23-1409-A0001-2,Structure formation and baryonic cycling in the edge-on galaxy NGC891,59848,99747,41417,75044,24703,18431,99747
23-1409-A0001-3,Structure formation and baryonic cycling in the edge-on galaxy NGC891,99747,99747,75044,75044,24703,24703,99747
23-0898-A0001,Title III-D Funding for Evidence Based Program Delivery FY22,19016.21,,,,,,
23-1008-A0001,Fostering Resilience and Ecosystem Services in Landscapes by Integrating Diverse Perennial Circular Systems,307134,,,,,,
23-1532-A0001-0,Wyoming Translational Research Accelerator,6000000,6000000,4258357,4258357,1471643,1471643,6000000
23-1532-A0001-1,Wyoming Translational Research Accelerator,6000000,6000000,4258357,4258357,1471643,1471643,6000000
23-1532-A0001-2,Wyoming Translational Research Accelerator,6000000,6000000,4258357,4258357,1471643,1471643,6000000
23-1532-A0001-3,Wyoming Translational Research Accelerator,6261590,6261590,4709388,4709388,1552202,1552202,6261590
23-0400-A0001-0,Mechanisms of nuclear size regulation,2481149,2481149,1784665,1784665,696484,696484,2481149
23-0400-A0001-1,Mechanisms of nuclear size regulation,1682431,1682431,1026282,1026283,656148,656148,1682431
23-0400-A0001-2,Mechanisms of nuclear size regulation,1485280,1485280,1067291,1067291,417989,417989,1485280
23-0400-A0001-3,Mechanisms of nuclear size regulation,1745380,1745380,1247291,1247291,498089,498089,1745380
23-0400-A0001-4,Mechanisms of nuclear size regulation,1745380,1745380,1247291,1247291,498089,498089,1745380
23-0400-A0001-5,Mechanisms of nuclear size regulation,1800980,1745380,1285953,1247291,498089,515027,1745380
23-0400-A0001-6,Mechanisms of nuclear size regulation,1800980,1745380,1285953,1247291,498089,515027,1745380
23-0400-A0001-7,Mechanisms of nuclear size regulation,611235,1781685,423000,1233000,548685,188235,1745380
24-0343-A0001-0,North Dakota Oral Health Program Evaluation,1550,1550,1550,1550,0,0,1550
24-0343-A0001-1,North Dakota Oral Health Program Evaluation,27875,27875,20802.22,20802.22,7072.76,7072.76,27875
24-0343-A0001-2,North Dakota Oral Health Program Evaluation,27875,27875,20802.22,20802.22,7072.76,7072.76,27875
24-0978-A0001,Soil microbes in sagebrush restoration,48155,48155,42178,42178,5977,5977,48155
24-0204-A0001-0,Educational Health Center of Wyoming: New Access Point,6203800.79,,,,,,
24-0204-A0001-1,Educational Health Center of Wyoming: New Access Point,5723234,5723234,4769361,4769361,953873,953873,5723234
24-0204-A0001-2,Educational Health Center of Wyoming: New Access Point,6145834,6145834,5120528,5120528,1024306,1024306,6145834
24-0204-A0001-3,Educational Health Center of Wyoming: New Access Point,6182406,6182406,5151005,5151005,1030401,1030401,6145834
23-0195-A0001,"Syntheses, Characterizations, and Applications of Heli-Viologens and Heli-Twisted Acenes",528184,,,,,,
24-0102-A0002,Jackson Hole Travel and Tourism Board SDMP,173000,173000,144167,144167,28833,28833,172638
24-0055-A0001,GSA Grant,2500,2500,2500,2500,0,0,2500
24-0741-A0001,Rose Petal - WGBGLC 2024,5000,10000,5000,10000,0,0,10000
24-0979-A0001,The Office of Water Programs Biennium Budget ,175000,175000,175000,175000,0,0,175000
23-1215-A0001,Pesticide Safety Education Program as funded by product registration fees paid by industry for use of pesticides in the state,185000,,,,,,
24-0624-A0001,Microbial inoculants: evaluate their potential for improved hay production and soil health in high elevation meadows,29952,29952,27229,27229,2723,2723,29952
23-1065-A0001-0,SPROUTS - Child ages 6- and 7-years Assessments and Close-Out,48047,,,,,,
23-1065-A0001-1,SPROUTS - Child ages 6- and 7-years Assessments and Close-Out,65883,79856,45593,55263,24593,20290,79856
23-1065-A0001-2,SPROUTS - Child ages 6- and 7-years Assessments and Close-Out,79856,79856,55263,55263,24593,24593,79856
23-1526-A0001-0,Wyoming IDeA Networks for Biomedical Research Excellence,13738934,17156980,10000000,12500000,4656980,3738934,17156970
23-1526-A0001-1,Wyoming IDeA Networks for Biomedical Research Excellence,13738934,17156980,10000000,12500000,4656980,3738934,17156970
23-1526-A0001-2,Wyoming IDeA Networks for Biomedical Research Excellence,18474955,18474955,13884725,13514963,4959992,4590230,17156970
23-1401-A0001-0,NSF INCLUDES Alliance: Cultivating Indigenous Research Communities for Leadership in Education and STEM (CIRCLES) Alliance,378875,,,,,,
23-1401-A0001-1,NSF INCLUDES Alliance: Cultivating Indigenous Research Communities for Leadership in Education and STEM (CIRCLES) Alliance,378875,378875,346462,346462,32413,32413,378875
23-1401-A0001-2,NSF INCLUDES Alliance: Cultivating Indigenous Research Communities for Leadership in Education and STEM (CIRCLES) Alliance,607605,607605,555677,555677,51928,51928,607605
24-0622-A0001,F.E. Warren Threatened and Endangered Species ,30612.84,30612.84,26053.48,26053.48,4559.36,4559.36,30612.84
23-0172-A0001,3-Species Database and Application Development,105638.08,,,,,,
23-0502-A0001,Joint Appointment with NASA (IPA),232874.56,,,,,,
24-0097-A0003,Wyoming Wildlife Fellowship Program,264103.36,264103.36,264103.36,264103.36,0,0,264103.36
23-0408-A0001,2019 State Justice Statistics (SFS) Program - Wyoming Statistical Analysis Center,177689.08,,,,,,
23-0618-A0010,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,438276.19,438276.19,327071.71,327071.71,111204.48,111204.48,438276.19
24-0992-A0001-0,TNC - Acoustic Analysis,8000,8000,6957,6957,1043,1043,7960.76
24-0992-A0001-1,TNC - Acoustic Analysis,8000,8000,6957,6957,1043,1043,7960.76
24-0892-A0001,ROSES-2023 A.32: EMIT Observational dust direct radiative effect estimation,82234,270753,56909.34,197535.27,73217.73,25324.66,270753
25-0129-A0001,Program Development Collaboration,10105.06,10105.06,6993,6993,3112,3112,10135
24-0097-A0001,Wyoming Wildlife Fellowship Program,154536.3,154536.3,154536.3,154536.3,0,0,154536.3
24-0184-A0001,McIntire-Stennis Capacity FY23 - Plant Science,0,,,,,,
23-0565-A0001,Identifying Fertilizer and Water Requirements for Hops Varieties Grown in Wyoming,21363.21,,,,,,
24-1110-A0001,Science and analytical support to USDA migratory big game pilot project: Phase 2,294800,294800,268000,268000,26800,26800,294800
23-1108-A0001,Wyoming Range Mule Deer,2000,,,,,,
23-0124-A0001,Greater Sage-Grouse Winter Concentration Area Habitat Delineation,499983.06,,,,,,
23-0613-A0001,Mission Execution and Strategic Analysis Support,110429.34,,,,,,
23-0886-A0001,Statewide Elk CWD Genetic Susceptibility and Disease Ecology,9210,,,,,,
23-0678-A0001,Invertebrate taxonomy and ranking for Wyoming and Montana Natural Heritage Programs,20000,,,,,,
23-0443-A0001,WMI Pew FY20,51894,,,,,,
23-0242-A0001-0,Center for Mechanistic Control of Water-Hydrocarbon-Rock Interactions in Unconventional and Tight Oil Formation,1995750,,,,,,
23-0242-A0001-1,Center for Mechanistic Control of Water-Hydrocarbon-Rock Interactions in Unconventional and Tight Oil Formation,2080750,,,,,,2080750
23-0242-A0001-2,Center for Mechanistic Control of Water-Hydrocarbon-Rock Interactions in Unconventional and Tight Oil Formation,2080750,,,,,,2080750
23-0242-A0001-3,Center for Mechanistic Control of Water-Hydrocarbon-Rock Interactions in Unconventional and Tight Oil Formation,2080750,,,,,,2080750
23-1932-A0002,Loggerhead Shrike - WGBGLC,10200,10200,10200,10200,0,0,10200
23-0794-A0001-0,Wyoming Range Mule Deer: The Legacy of Long-Term Research,900000,,,,,,
23-0794-A0001-1,Wyoming Range Mule Deer: The Legacy of Long-Term Research,1200000,1200000,1200000,1200000,0,0,1200000
23-0794-A0001-2,Wyoming Range Mule Deer: The Legacy of Long-Term Research,1500000,1500000,1500000,1500000,0,0,1500000
23-1417-A0001,Developing and testing an eco-evolutionary theory for range limits,884862,,,,,,
23-0807-A0001,Transforming Student Success APLU 7.19.21 Funded At Start,15000,,,,,,
23-1326-A0002-0,"FY23 5311 Operating, Administration, and Maintenance Grant Request from WYDOT/FTA",200000,$1957202.00,200000,$1957202.00,0,0,$3180082.00
23-1326-A0002-1,"FY23 5311 Operating, Administration, and Maintenance Grant Request from WYDOT/FTA",1948402,1948402,1948402,1948402,0,0,$3180082.00
23-1326-A0002-2,"FY23 5311 Operating, Administration, and Maintenance Grant Request from WYDOT/FTA",1948402,1948402,1948402,1948402,0,0,$3180082.00
23-1326-A0002-3,"FY23 5311 Operating, Administration, and Maintenance Grant Request from WYDOT/FTA",1948402,1948402,1948402,1948402,0,0,$3180082.00
23-0598-A0001,Lamb Survival in NW Wyoming,50000,,,,,,
23-1179-A0001,"The Absaroka Fence Initiative, Fencing Project",11500,,,,,,
24-0013-A0001,Laramie RD Trail Construction ,30000,30000,30000,30000,0,0,30000
23-0266-A0001,Online Sustainability Ranch Management Framework: Rancher Self-Assessment and Scoring System to Track Improvement,191455.15,,,,,,
24-0243-A0001,University of Wyoming CARES ACT Higher Education Emergency Relief Fund - Institutional Costs,3306790,,,,,,
25-0365-A0001,Collaboration with Dr. Michelle Longworth,,,,,,,0
23-0959-A0001-0,"FY21 5339 Capital Assistance Grant - Vehicles, equipment, storage facility - Two ElDorado Passports",457600,,,,,,
23-0959-A0001-1,"FY21 5339 Capital Assistance Grant - Vehicles, equipment, storage facility - Two ElDorado Passports",457600,457600,457600,457600,0,0,457600
23-0555-A0001,ICP Web Viewer and Database Maintenance,17944.98,,,,,,
23-0335-A0001,Mapping and conserving big game migration in Wyoming FY20,20000,,,,,,
23-0300-A0001,Resource-selection Overlap Between Feral Horses and Pronghorn,2552,,,,,,
23-1190-A0002,Portable Assistance Program Funding Opportunity Number OSBDC-2020-03 Multi-Year (3) project Option Year 1- On Campus,100000,100000,83333,83333,16667,16667,100000
25-0034-A0001-0,Large-Scale Pilot Testing of Sorbent-based post combustion carbon capture,99621,99621,68942,68942,30679,30679,99621
25-0034-A0001-1,Large-Scale Pilot Testing of Sorbent-based post combustion carbon capture,99621,99621,68942,68942,30679,30679,99621
23-1297-A0001,Upward Bound Math Science (UBMS) at the University of Wyoming PY 2022-2023,353590,,,,,,
23-1557-A0001-0,Monitoring and continuing examination of climate influences,57831.06,57831.06,49217.92,49217.92,8613.14,8613.14,57831
23-1557-A0001-1,Monitoring and continuing examination of climate influences,57831.06,57831.06,49217.92,49217.92,8613.14,8613.14,57831
23-1557-A0001-2,Monitoring and continuing examination of climate influences,57831.06,57831.06,49217.92,49217.92,8613.14,8613.14,57831
24-0116-A0001,"Building next generation post-fire tree mortality models and examining interactions between drought, density, and fire severity on post-fire recovery trajectories",499500,499500,416250,416250,83250,83250,499500
23-0252-A0001-0,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,199848.63,,,,,,
23-0252-A0001-1,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,199848.63,199848.63,149140.77,149140.77,50707.86,50707.76,199848.63
23-0252-A0001-2,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,199848.63,221335,164010,164010,57325,57325,221335
23-0252-A0001-3,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,221335,221335,165175.37,165175.37,56159.63,56159.63,221335
23-0252-A0001-4,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,277027.5,277027.5,206736.94,206736.94,70290.56,70290.56,277027.5
23-0252-A0001-5,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,284909.3,284909.3,212618.88,212618.88,72290.42,72290.42,284909.3
23-0252-A0001-6,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,296732,296732,221441.79,221441.79,75290.21,75290.21,296732
23-0252-A0001-7,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,327367.83,327367.83,244304.35,244304.35,86063.48,83063.48,327367.83
23-0252-A0001-8,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,358020.04,358020.04,267179.13,267179.13,90840.91,90840.91,358020.04
24-0462-A0001,Williams’ MountainWest Overthrust Pipeline,20100,20100,15000,15000,5100,5100,20100
23-1024-A0001,Earth MRI - Phase 2: Central Laramie Range,6000,,,,,,
23-0321-A0001,Deer-Elk Ecology Research Project (WCF),10000,,,,,,
24-0159-A0001-0,Plant Community Composition and Production of Intermountain West Grazing Lands,15911,15911,15911,15911,0,0,15911
24-0159-A0001-1,Plant Community Composition and Production of Intermountain West Grazing Lands,35379,35379,35379,35379,0,0,35379
23-1916-A0001,Jackson Moose - WGBGLC,40000,40000,40000,40000,0,0,40000
24-0693-A0001,Boreal Toad,11485,11485,11485,11485,0,0,11485
24-0358-A0001,Innovation Wyrkshop Vocational Rehabilitation Program Development,115760,130689,96467,108908,21781,19293,115760
23-1347-A0001,Wyoming Health Worker Training Consortium,3000000,,,,,,
23-1253-A0001,Invasive Annual Grass Treatment Monitoring Network (WY G&F),45000,,,,,,
24-0418-A0001,Research to examine the optimal control of feral swine,46872.03,46872.03,42610.94,42610.94,4261.09,4261.09,46872.03
23-1383-A0001,IMPACT 307 Goshen County Start-Up Challenge WBC Sponsorship,25000,,,,,,
24-0319-A0002,Wyoming Local Technical Assistance Program (LTAP) Center,90000,90000,75000,,,15000,120000
25-0254-A0001,RAPID: Examining Recency of 2024 Wildfire Season Exposures as an Antidote to the Intangibility of Public Policy Dilemma,40000,40000,27682,27682,12318,12318,187476
23-0638-A0001-0,Updated SGCN Distribution Maps for the 2022 State Wildlife Action Plan,63000,,,,,,
23-0638-A0001-1,Updated SGCN Distribution Maps for the 2022 State Wildlife Action Plan,63000,,,,,,
23-0638-A0001-2,Updated SGCN Distribution Maps for the 2022 State Wildlife Action Plan,63000,63000,56700,56700,6300,6300,63000
23-0280-A0001,Use of CCTI Pristine (TM) Technology Solution for the Beneficiation of Wyoming PRB Coal,1000000,,,,,,
24-0333-A0001-0,Natrona County ,15000,15000,14286,14286,714,714,15000
24-0333-A0001-1,Natrona County ,15000,15000,14286,14286,714,714,15000
23-0681-A0001,Water Resources Data System [WRDS] 2021-2022,636190,,,,,,
23-0250-A0001,StateView Program Development and Operations for the State of Wyoming,117095.72,,,,,,
24-0413-A0001-0,Collaborative: CAS-SC: Investigating the mild ligand-based oxidative dissolution of e-waste metals and their reductive recovery,21834,,15110,,,6724,131914
24-0413-A0001-1,Collaborative: CAS-SC: Investigating the mild ligand-based oxidative dissolution of e-waste metals and their reductive recovery,131914,131914,97991,97991,33923,33923,131914
24-0413-A0001-2,Collaborative: CAS-SC: Investigating the mild ligand-based oxidative dissolution of e-waste metals and their reductive recovery,131914,131914,97991,97991,33923,33923,131914
23-0247-A0001,The DOE Exascale System Model â€“ NGD Phase 2: Atmospheric Physics Development â€œAerosol and Dust Physicsâ€�,2810.85,,,,,,
23-1555-A0001-0,The Status and distribution of the Narrow-footed Hygrotus Diving Beetle (Hygrotus diversipies) in Wyoming ,60000,60000,52558.71,52558.71,7441.29,7441.29,60000
23-1555-A0001-1,The Status and distribution of the Narrow-footed Hygrotus Diving Beetle (Hygrotus diversipies) in Wyoming ,60000,60000,52558.71,52558.71,7441.29,7441.29,60000
23-1555-A0001-2,The Status and distribution of the Narrow-footed Hygrotus Diving Beetle (Hygrotus diversipies) in Wyoming ,60000,60000,52558.71,52558.71,7441.29,7441.29,60000
23-1555-A0001-3,The Status and distribution of the Narrow-footed Hygrotus Diving Beetle (Hygrotus diversipies) in Wyoming ,60000,60000,52558.71,52558.71,7441.29,7441.29,60000
23-1280-A0001-0,Weed Science Research in Agronomic Crops 2022,6000,,,,,,
23-1280-A0001-1,Weed Science Research in Agronomic Crops 2022,18150,18150,15864.29,15864.29,2285.71,2285.71,18150
23-1280-A0001-2,Weed Science Research in Agronomic Crops 2022,23650,23650,21102.39,21102.39,2547.61,2547.61,23650
23-0079-A0001,"Evaluating Moose Demography, Habitat Use, and Browsing Interactions in the Bighorn Mountains, Wyoming",660420,,,,,,
23-0326-A0001,Identifying the recipe to maintaining a robust elk (Cervus elaphus) population in a high-desert ecosystem,3000,,,,,,
23-0271-A0001,Effects of Agrispon on Sugarbeet Grown at Two N Rates,6600,,,,,,
23-1600-A0001,CO2 capture,50000,50000,37000,37000,13000,13000,50000
25-0154-A0001,WCCC WIP/3D Visualization Project,140625,262500,117187.5,218750,43750,23437.5,140625
23-1141-A0001,Wyoming Case Manager Training Program for the Wyoming Department of Health - Home and Community Based Services (HCBS) Section,380000,,,,,,
23-0282-A0001,Applying Trait-Based Models to Achieve Restoration Targets in Rangelands,252685,,,,,,
23-1932-A0001,Loggerhead Shrike - WGBGLC,9000,9000,9000,9000,0,0,9000
24-0246-A0001,CARES Act Provider Relief Fund - Rural,103253.23,,,,,,
24-0046-A0001-0,IAG control in rangelands,10000,10000,9524,9524,476,476,10000
24-0046-A0001-1,IAG control in rangelands,10000,10000,9524,9524,476,476,10000
24-0750-A0001,Yermo population genomics and phylogenomics,75979.01,75979.01,66283.41,66283.41,9695.6,9695.6,75979.01
23-0104-A0001,University Center of Excellence in Developmental Disabilities (UCEDD),2836056.7,,,,,,
24-0999-A0001,WY GOV Passthrough to WYNDD,349254,349254,317504,317504,31750,31750,349254
24-0745-A0001,The Wyoming Range Mule Deer Project-WGBGLC 2024,10000,10000,10000,10000,0,0,15000
23-1614-A0001,Spillover of SARS-CoV-2 into wildlife from wastewater,1362664.6,1362664.6,1238786,1238786,123878.6,123878.6,1362664
23-0917-A0001,Evaluating The Influence of Wind Energy on Pronghorn,20000,,,,,,
23-0723-A0001-0,Reducing Shrinkage in Concrete Bridge Decks using Single and Double Ring Test Methods,116306,,,,,,
23-0723-A0001-1,Reducing Shrinkage in Concrete Bridge Decks using Single and Double Ring Test Methods,116306,116306,96922,,,19384,
23-1459-A0001-0,Addressing Social Isolation Among Rural Adults with Autism Spectrum Disorder: Creating Community and Improving Health,40380,,,,,,
23-1459-A0001-1,Addressing Social Isolation Among Rural Adults with Autism Spectrum Disorder: Creating Community and Improving Health,40380,40380,33650,33650,6730,6730,
23-1459-A0001-2,Addressing Social Isolation Among Rural Adults with Autism Spectrum Disorder: Creating Community and Improving Health,40380,40380,33650,33650,6730,6730,
24-0219-A0001,FFY19 Smith Lever 3(b) & (c) (2018-2023),1747739,,,,,,
23-1408-A0001,Enforcement of Underage Drinking Laws FY23,4806,,,,,,
23-1110-A0001,How do ungulates learn to migrate? A century-long case study with Yellowstone bison,2293,,,,,,
23-0536-A0001,WY Ute Ladies Tresses Survey and Monitoring - CESU,20000,,,,,,
23-0419-A0001-0,Impacts of Cooperative Automated Transportation on Wyoming Highway Infrastructure - Federal Portion,149809,,,,,,
23-0419-A0001-1,Impacts of Cooperative Automated Transportation on Wyoming Highway Infrastructure - Federal Portion,149809,149809,127223,127223,22586,22586,149809
23-0867-A0001-0,Rocky Mountain CESU (RMCEASU) WY the status and distribution of Regal Fritillary and Monarch butterflies in Wyoming.,42248,,,,,,
23-0867-A0001-1,Rocky Mountain CESU (RMCEASU) WY the status and distribution of Regal Fritillary and Monarch butterflies in Wyoming.,42248,42248,35956,35956,6292,6292,42248
24-0144-A0001-0,City of Redmond: Dry Canyon Use Survey,9631,9631,9631,9631,0,0,9631
24-0144-A0001-1,City of Redmond: Dry Canyon Use Survey,9631,9631,9631,9631,0,0,9631
23-0618-A0001-0,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,1539465.56,,,,,,
23-0618-A0001-1,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,314640,314640,234806,234806,79834,79834,314640
23-0618-A0001-2,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,314640,314640,234806,234806,79834,79834,314640
23-0618-A0001-3,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,314640,314640,234806,234806,79834,79834,314640
23-0618-A0001-4,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,314640,314640,234806,234806,79834,79834,314640
23-0618-A0001-5,Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,301185,301185,221351,221351,79834,79834,301185
23-1366-A0001,Evaluating Influence of Wind Energy on Pronghorn (WGBGLC),15000,,,,,,
23-0774-A0001,Evaluation of Papa Criolla Potato in Rotation with Pea in Wyoming,49739,,,,,,
23-0740-A0001,Big Game Disturbances Analysis,50000,,,,,,
23-1329-A0001,ATPH: Expanding the Public Health Workforce w/n the Disability Network: AT St. Grants,80000,,,,,,
23-0652-A0001,RII Track-4: Partnership Between the University of Wyoming and the Missoula Fire Sciences Laboratory in Multi-Scale Wildland Fire Research,190322,,,,,,
25-0055-A0001,Wyoming Humanities Council Spark Grant,2000,2000,2000,2000,0,0,4000
23-0473-A0001,Rotor Wake and Validation and Verification Activities for Wind Energy,413333,,,,,,
23-0070-A0001,Dow Sponsored Projects: Goss' Wilt Study and Deficit Irrigation Study in Corn,43684,,,,,,
23-0053-A0001,"Application Development, Human Use Approval, and Participants Training - Connected Vehicle Pilot Deployment Program",320449,,,,,,
