Award #,PI,Project Title,Sponsor,Prime Sponsor,Instrument Type,Award Start Date,Award End Date,Admin Unit,Obligated Amount,Project #,Total Expected Amount,Anticipated Amount,Status,Created Date,Award Type,Increment Amount,PI Unit,Modification Number,Modification Type,Modification Date,Modified By,activity type,Admin Unit Primary Code,Award Amount,Award Id,Award Title,college,Direct Costs,expected direct,expected indirect,full proposal title,History Action,History Action By,History Action Date,History Comment,Prime Sponsor Org Type,Prime Sponsor Primary Code,proposal type,proposal type if other,Routing Comment,Routing Date,Routing Status,Sponsor Org Type,sponsor type,sponsor type if other,Total Project Cost
25-0034-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: Evelyn Renee Kelley,Kristi Hargis Stockdale,9/26/2024 13:44,,,,,,,,,,,,
25-0034-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Evelyn Renee Kelley,9/30/2024 9:36,This agreement has been received for review and approval,,,,,,,,,,,
25-0034-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Evelyn Renee Kelley,10/15/2024 10:00,,,,,,,,,,,,
25-0034-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Evelyn Renee Kelley,10/15/2024 10:00,Funded.  The fully executed agreement has been received.,,,,,,,,,,,
25-0034-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Terms & Conditions Change,Farrell Jean Rapp,1/29/2025 16:13,Amendment No. 01 | Pause ALL work until further notice. ,,,,,,,,,,,
23-1297-A0001,Felicia Elizabeth Killworth,Upward Bound Math Science (UBMS) at the University of Wyoming PY 2022-2023,Department of Education,Department of Education,,11/1/2022,10/31/2023,Student Educational Opportunity,353590,23-1297,,,In Closeout,4/24/2023 19:32,,,Student Educational Opportunity,0,Original Award,,,Other Sponsored Activity,3.00E+14,,3f2faa45-c158-4e36-abf5-c80dbce73bda,,,,,,Upward Bound Math Science (UBMS) at the University of Wyoming PY 2022-2023,Award Created,Legacy Loader,4/24/2023 19:32,,,01-DOED,,,,,,,U.S. Federal Government,,
23-1297-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: John Ruess,Inna Willis,6/28/2024 15:44,,,,,,,,,,,,
23-1297-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Farrell Jean Rapp,7/1/2024 9:10,End date has past. ,,,,,,,,,,,
23-1557-A0001-0,Joy Carolyn Handley,Monitoring and continuing examination of climate influences,Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,10/1/2023,9/30/2025,Wyo Natural Diversity Database,57831.06,23-1557,57831.06,,Active,9/25/2023 9:16,,,Wyo Natural Diversity Database,0,Original Award,,,Basic Research,3.00E+14,,3f3741e8-9b23-4caa-bc96-f15e7f312da3,,Research & Economic Development,49217.92,49217.92,8613.14,Monitoring and continuing examination of climate influences on reproduction of Desert yellow head (Yermo xanthocephalus),,,,,,01-BLM,New,,,,,,U.S. Federal Government,,57831
23-1557-A0001-1,Lusha Marguerite Tronstad,Monitoring and continuing examination of climate influences,Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,10/1/2023,9/30/2025,Wyo Natural Diversity Database,57831.06,23-1557,57831.06,,Active,3/18/2024 8:19,,,Wyo Natural Diversity Database,1,PI Transfers,3/18/2024,Courtney Peatross,Basic Research,3.00E+14,,3f3741e8-9b23-4caa-bc96-f15e7f312da3,,Research & Economic Development,49217.92,49217.92,8613.14,Monitoring and continuing examination of climate influences on reproduction of Desert yellow head (Yermo xanthocephalus),,,,,,01-BLM,New,,,,,,U.S. Federal Government,,57831
23-1557-A0001-2,Lusha Marguerite Tronstad,Monitoring and continuing examination of climate influences,Bureau of Land Management/Department of the Interior,Bureau of Land Management/Department of the Interior,,10/1/2023,9/30/2025,Wyo Natural Diversity Database,57831.06,23-1557,57831.06,,Active,1/7/2025 16:34,,,Wyo Natural Diversity Database,2,Administrative Change,1/7/2025,Farrell Jean Rapp,Basic Research,3.00E+14,,3f3741e8-9b23-4caa-bc96-f15e7f312da3,,Research & Economic Development,49217.92,49217.92,8613.14,Monitoring and continuing examination of climate influences on reproduction of Desert yellow head (Yermo xanthocephalus),Award Created,Kristi Stockdale,9/25/2023 9:16,,,01-BLM,New,,,,,,U.S. Federal Government,,57831
23-1557-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,9/29/2023 12:24,,,,,,,,,,,,
23-1557-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,9/29/2023 12:24,,,,,,,,,,,,
23-1557-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,9/29/2023 12:24,Funded. ,,,,,,,,,,,
23-1557-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: PI Transfers,Courtney Peatross,3/18/2024 8:21,Joy Handley departed from UW on 03/08; sponsor approved Lusha Tronstad to assume role of PI.,,,,,,,,,,,
23-1557-A0001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Administrative Change,Farrell Jean Rapp,1/7/2025 16:35,Modification 01. Changes the PO. ,,,,,,,,,,,
24-0116-A0001,Tucker James Furniss,"Building next generation post-fire tree mortality models and examining interactions between drought, density, and fire severity on post-fire recovery trajectories",California Department of Forestry and Fire Protection,California Department of Forestry and Fire Protection,,1/17/2024,3/31/2028,Ecosystem Science & Management,499500,24-0116,499500,,Active,1/25/2024 12:46,,,Ecosystem Science & Management,0,Original Award,,,Basic Research,3.00E+14,,3f443297-4e34-4501-8536-8fcfc3c13949,,"Agriculture, Life Sciences,  & Natural Resources",416250,416250,83250,"Building next generation post-fire tree mortality models and examining interactions between drought, density, and fire severity on post-fire recovery trajectories",Award Created,Kristi Stockdale,1/25/2024 12:46,,Out-of-State Government,04-CALFIRE,New,,,,,Out-of-State Government,Other State and Local Governmental Entities,,499500
24-0116-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Hargis Stockdale,1/31/2024 13:09,,,,,,,,,,,,
24-0116-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: John Ruess,Inna Willis,7/25/2024 12:16,,,,,,,,,,,,
24-0116-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to Set Up In Progress,Bryce William Howard,8/1/2024 13:27,adding subaward,,,,,,,,,,,
24-0116-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subaward 24-0116-A0001-SUB01 Created,Bryce William Howard,8/1/2024 13:27,,,,,,,,,,,,
24-0116-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Bryce William Howard,8/1/2024 13:36,subaward added ,,,,,,,,,,,
23-0252-A0001-0,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/17/2018,4/6/2023,Atmospheric Science,199848.63,23-0252,,,Active,4/24/2023 18:32,,,Atmospheric Science,0,Original Award,,,,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,,,,,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,,,,,,,,,
23-0252-A0001-1,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/12/2018,6/29/2023,Atmospheric Science,199848.63,23-0252,199848.63,,Active,6/1/2023 10:48,,,Atmospheric Science,1,Sponsor Approved No Cost Extension,6/1/2023,Kristi Stockdale,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,149140.77,149140.77,50707.86,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,199848.63
23-0252-A0001-2,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,6/29/2023,Atmospheric Science,199848.63,23-0252,221335,,Active,8/21/2023 13:09,,,Atmospheric Science,2,New Funding Increment,8/21/2023,John Ruess,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,164010,164010,57325,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,221335
23-0252-A0001-3,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,9/6/2023,Atmospheric Science,221335,23-0252,221335,,Active,10/18/2023 7:15,,,Atmospheric Science,3,Administrative Change,10/18/2023,Kristi Stockdale,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,165175.37,165175.37,56159.63,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,221335
23-0252-A0001-4,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,6/30/2024,Atmospheric Science,277027.5,23-0252,277027.5,,Active,1/3/2024 14:07,,,Atmospheric Science,4,New Funding Increment,1/3/2024,Tashina Lemons,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,206736.94,206736.94,70290.56,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,277027.5
23-0252-A0001-5,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,6/30/2024,Atmospheric Science,284909.3,23-0252,284909.3,,Active,4/17/2024 15:34,,,Atmospheric Science,5,New Funding Increment,4/17/2024,Kristi Hargis Stockdale,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,212618.88,212618.88,72290.42,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,284909.3
23-0252-A0001-6,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,7/6/2024,Atmospheric Science,296732,23-0252,296732,,Active,6/21/2024 7:13,,,Atmospheric Science,6,New Funding Increment,6/21/2024,Kristi Hargis Stockdale,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,221441.79,221441.79,75290.21,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,296732
23-0252-A0001-7,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,3/31/2025,Atmospheric Science,327367.83,23-0252,327367.83,,Active,7/18/2024 16:36,,,Atmospheric Science,7,New Funding Increment,7/18/2024,Farrell Jean Rapp,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,244304.35,244304.35,86063.48,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,,,,,,01-NOAA,New,,,,,,Industry,,327367.83
23-0252-A0001-8,Antony R. Bergantino,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Synoptic Data Corp,National Oceanic and Atmospheric Administration/Department of Commerce,,1/11/2018,3/31/2025,Atmospheric Science,358020.04,23-0252,358020.04,,Active,9/16/2024 10:50,,,Atmospheric Science,8,New Funding Increment,9/16/2024,Farrell Jean Rapp,Basic Research,3.00E+14,,3f803dbf-6a4c-4b35-9efe-07a2a23f84d2,,Engineering & Physical Sciences,267179.13,267179.13,90840.91,Teaming Agreement between Synoptic Data Corporation and the Water Resources Data System at the University of Wyoming for the National Mesonet Program,Award Created,Legacy Loader,4/24/2023 18:32,,,01-NOAA,New,,,,,,Industry,,358020.04
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Sponsor Approved No Cost Extension,Kristi Stockdale,6/8/2023 12:34,"No Cost Extension
",,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,John Ruess,8/21/2023 13:17,Amendment 5 for 2020 Task order,,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Administrative Change,Kristi Stockdale,10/20/2023 8:19,Corrected end date and updated the amount awarded.  ,,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,Kristi Stockdale,1/9/2024 11:03,New funding increment.  ,,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,Kristi Hargis Stockdale,4/17/2024 15:40,New funding increment of $7881.80 to be paid out from 2/7/2024 through 4/6/2024.,,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,Kristi Hargis Stockdale,6/21/2024 7:17,"New funding $11,822.70 and extension ",,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,Farrell Jean Rapp,7/18/2024 16:41,"Amendment No. 9, Task Order S2020-148. $30,636.00",,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: John Ruess,Inna Willis,7/31/2024 14:32,,,,,,,,,,,,
23-0252-A0001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,Farrell Jean Rapp,9/16/2024 10:55,"Task 2K.2. Increase of $30,652.21.",,,,,,,,,,,
24-0462-A0001,Alexander Specht,Williamsí MountainWest Overthrust Pipeline,Williams Strategic Sourcing Company LLC,Williams Strategic Sourcing Company LLC,,9/18/2023,11/30/2023,COB Centers for Excellence,20100,24-0462,20100,,In Closeout,12/21/2023 8:00,,,COB Centers for Excellence,0,Original Award,,,Applied Research,3.00E+14,,3f8e9d2a-4a21-4bb5-a617-2325f64e3498,,Business,15000,15000,5100,Evaluating the Economic Impact of Williamsí MountainWest Overthrust Pipeline in Southwest Wyoming,Award Created,Kristi Stockdale,12/21/2023 8:00,,Industry,05-WILLSSC,New,,,,,Industry,Industry,,20100
24-0462-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,12/21/2023 12:57,,,,,,,,,,,,
24-0462-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,12/21/2023 12:57,,,,,,,,,,,,
24-0462-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,12/21/2023 12:57,Funded.  ,,,,,,,,,,,
24-0462-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/16/2024 15:28,"The award end date has passed as of 8/30/2024.
 ",,,,,,,,,,,
23-1024-A0001,Tyler Chandos Brown,Earth MRI - Phase 2: Central Laramie Range,Wyoming State Geological Survey,Wyoming State Geological Survey,,11/17/2021,3/31/2022,Geology & Geophysics,6000,23-1024,,,In Closeout,4/24/2023 19:16,,,Geology & Geophysics,0,Original Award,,,,3.00E+14,,3f9d5300-71a4-495b-8e64-d32b8b68e9da,,,,,,Earth MRI - Phase 2: Central Laramie Range,Award Created,Legacy Loader,4/24/2023 19:16,,,02-WSGS,,,,,,,Wyoming State Governmental Entities,,
23-1024-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:16,Status set by bulk loader,,,,,,,,,,,
23-1024-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/7/2023 14:08,Award End date has passed.,,,,,,,,,,,
23-0321-A0001,Kevin L. Monteith,Deer-Elk Ecology Research Project (WCF),Wyoming Community Foundation,Wyoming Community Foundation,,6/14/2019,12/31/2021,Haub School of Environment & Natural Resources,10000,23-0321,,,In Closeout,4/24/2023 18:36,,,Haub School of Environment & Natural Resources,0,Original Award,,,,3.00E+14,,3faeb488-0110-473b-b475-350da948ea4d,,,,,,Deer-Elk Ecology Research Project (WCF),Award Created,Legacy Loader,4/24/2023 18:36,,,07-WYCF,,,,,,,,,
23-0321-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:36,Status set by bulk loader,,,,,,,,,,,
23-0321-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/10/2023 11:10,Award End date has passed.,,,,,,,,,,,
24-0159-A0001-0,John Derek Scasta,Plant Community Composition and Production of Intermountain West Grazing Lands,Agricultural Research Service/Department of Agriculture,Agricultural Research Service/Department of Agriculture,,9/5/2023,9/4/2027,Ecosystem Science & Management,15911,24-0159,15911,,Active,9/25/2023 13:12,,,Ecosystem Science & Management,0,Original Award,,,Applied Research,3.00E+14,,3fc12970-9363-4591-b799-22f45d8c96d1,,"Agriculture, Life Sciences,  & Natural Resources",15911,15911,0,Plant Community Composition and Production of Intermountain West Grazing Lands,,,,,,01-ARS,New,,,,,,U.S. Federal Government,,15911
24-0159-A0001-1,John Derek Scasta,Plant Community Composition and Production of Intermountain West Grazing Lands,Agricultural Research Service/Department of Agriculture,Agricultural Research Service/Department of Agriculture,,9/5/2023,9/4/2027,Ecosystem Science & Management,35379,24-0159,35379,,Active,6/12/2024 11:10,,,Ecosystem Science & Management,1,New Funding Increment,6/12/2024,Farrell Jean Rapp,Applied Research,3.00E+14,,3fc12970-9363-4591-b799-22f45d8c96d1,,"Agriculture, Life Sciences,  & Natural Resources",35379,35379,0,Plant Community Composition and Production of Intermountain West Grazing Lands,Award Created,Kristi Stockdale,9/25/2023 13:12,,,01-ARS,New,,,,,,U.S. Federal Government,,35379
24-0159-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,9/26/2023 14:38,,,,,,,,,,,,
24-0159-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,9/26/2023 14:38,,,,,,,,,,,,
24-0159-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,9/26/2023 14:38,Funded.,,,,,,,,,,,
24-0159-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: New Funding Increment,Farrell Jean Rapp,6/12/2024 11:12,"Amendment No. 1. Increase $19,468",,,,,,,,,,,
23-1916-A0001,Matthew Kauffman,Jackson Moose - WGBGLC,Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2023,11/30/2023,Wyoming Coop Unit,40000,23-1916,40000,,In Closeout,7/25/2023 7:50,,,Wyoming Coop Unit,0,Original Award,,,Applied Research,3.00E+14,,3fc525e1-d65c-41b0-8773-faeae9bca72b,,"Agriculture, Life Sciences,  & Natural Resources",40000,40000,0,Jackson Moose Calf Survival and Development of Migration Patterns,Award Created,Kristi Stockdale,7/25/2023 7:50,,,02-WGAFD,New,,,,,,Wyoming State Governmental Entities,,40000
23-1916-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Stockdale,8/11/2023 13:09,,,,,,,,,,,,
23-1916-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Stockdale,8/11/2023 13:09,,,,,,,,,,,,
23-1916-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Stockdale,8/11/2023 13:09,Funded,,,,,,,,,,,
23-1916-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/16/2024 15:29,"The award end date has passed as of 8/30/2024.
 ",,,,,,,,,,,
24-0693-A0001,Anna Lisa D. Chalfoun,Boreal Toad,Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2024,12/31/2026,Wyoming Coop Unit,11485,24-0693,11485,,Active,3/26/2024 14:54,,,Wyoming Coop Unit,0,Original Award,,,Applied Research,3.00E+14,,3fe4dca6-dfd6-4ae4-97b3-6e71981211fa,,"Agriculture, Life Sciences,  & Natural Resources",11485,11485,0,Interactions between Habitat Selection and Disease in Boreal Toads,Award Created,Thomas Abraham Lentner,3/26/2024 14:54,,,02-WGAFD,New,,,,,,Wyoming State Governmental Entities,,11485
24-0693-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Farrell Jean Rapp,8/6/2024 11:39,,,,,,,,,,,,
24-0693-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Farrell Jean Rapp,8/6/2024 11:39,,,,,,,,,,,,
24-0693-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Farrell Jean Rapp,8/6/2024 11:40,"FE Award rec'd. $11,485",,,,,,,,,,,
24-0358-A0001,Rebecca Louise Austin,Innovation Wyrkshop Vocational Rehabilitation Program Development,Wyoming Workforce Services,Department of Education,,,9/30/2024,Engineering & Physical Sciences Deans Office,115760,24-0358,130689,,Closed,10/5/2023 16:05,,,Engineering & Physical Sciences Deans Office,0,Original Award,,,Other Sponsored Activity,3.00E+14,,3fea2ba1-ffe3-4de2-9077-cf5cc136a7fa,,Engineering & Physical Sciences,96467,108908,21781,Innovation Wyrkshop Vocational Rehabilitation Program Development ,Award Created,Farrell Jean Rapp,10/5/2023 16:04,,,01-DOED,Resubmission,,,,,,Wyoming State Governmental Entities,,115760
24-0358-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Closed. Resolution set to: Admin Closed,Kristi Hargis Stockdale,7/8/2024 17:11,This was set up under 24-0358-A0002,,,,,,,,,,,
23-1347-A0001,Kirbie Bryant Smalley,Wyoming Health Worker Training Consortium,Health Resources and Services Administration/Department of Health and Human Services,Health Resources and Services Administration/Department of Health and Human Services,,9/15/2022,9/14/2025,VP for Research & Economic Development Office,3000000,23-1347,,,Active,4/24/2023 19:35,,,VP for Research & Economic Development Office,0,Original Award,,,Instruction,3.00E+14,,3ff182d6-d44a-43c4-abc0-1c947907dcfb,,,,,,Wyoming Health Worker Training Consortium,Award Created,Legacy Loader,4/24/2023 19:35,,,01-HRSA,,,,,,,U.S. Federal Government,,
23-1347-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:35,Status set by bulk loader,,,,,,,,,,,
23-1253-A0001,Brian A Mealor,Invasive Annual Grass Treatment Monitoring Network (WY G&F),Wyoming Game and Fish Department,Wyoming Game and Fish Department,,7/1/2022,12/31/2025,R&E Center Sheridan,45000,23-1253,,,Active,4/24/2023 19:30,,,R&E Center Sheridan,0,Original Award,,,Applied Research,3.00E+14,,3ffaeb15-dab3-4c2f-a326-ed1356ed2de9,,,,,,Invasive Annual Grass Treatment Monitoring Network (WY G&F),Award Created,Legacy Loader,4/24/2023 19:30,,,02-WGAFD,,,,,,,Wyoming State Governmental Entities,,
23-1253-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:30,Status set by bulk loader,,,,,,,,,,,
24-0418-A0001,Todd L. Cherry,Research to examine the optimal control of feral swine,Animal and Plant Health Inspection Service/Department of Agriculture,,,9/16/2023,9/15/2024,Economics,46872.03,24-0418,46872.03,,In Closeout,10/2/2023 11:24,,,Economics,0,Original Award,,,Basic Research,3.00E+14,,400ed2f7-bf68-4cc6-8f11-ef8fc6201743,,Business,42610.94,42610.94,4261.09,Research to examine the optimal control of feral swine,Award Created,Tashina Lemons,10/2/2023 11:24,,,,Other,Work agreement between NWRC and Dept of Economics,,,,,U.S. Federal Government,,46872.03
24-0418-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Tashina Lemons,10/2/2023 11:32,,,,,,,,,,,,
24-0418-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assigned to SP Award Administrator: John Ruess,Inna Willis,8/19/2024 12:25,,,,,,,,,,,,
24-0418-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,1/16/2025 14:06,"The award end date has passed as of 12/31/2024.
 ",,,,,,,,,,,
23-1383-A0001,Brian Daniel Young,IMPACT 307 Goshen County Start-Up Challenge WBC Sponsorship,Wyoming Business Council,Wyoming Business Council,,11/8/2022,3/30/2023,IMPACT 307,25000,23-1383,,,In Closeout,4/24/2023 19:37,,,IMPACT 307,0,Original Award,,,Other Sponsored Activity,3.00E+14,,402c660d-0f8d-4d7c-a6cd-692f8eaadd72,,,,,,IMPACT 307 Goshen County Start-Up Challenge WBC Sponsorship,Award Created,Legacy Loader,4/24/2023 19:37,,,07-WBC,,,,,,,,,
23-1383-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:37,Status set by bulk loader,,,,,,,,,,,
23-1383-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/6/2023 15:44,Award End date has passed.,,,,,,,,,,,
