"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"23-0777-P0001","CDPHE JPL Coordinated Campaign (C3)",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0777","4/27/2023 07:18:46 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:18:46 PM > 4/27/2023 07:18:49 PM","Status set by bulk loader",NA,"094d81e4-82fd-454d-a8cf-8f7f3e2dfec1","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230777A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1268-P0001","CESU GP Winwarda's goldenweed (Ericameria winwardii) Survey",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-1268","4/27/2023 07:53:10 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:53:10 PM > 4/27/2023 07:53:14 PM","Status set by bulk loader",NA,"48faa431-9c65-4587-a0f8-78b8cdbdadbd","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231268A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0088-P0001","CESU Master Agreements","Farrell Jean Rapp","VP for Research & Economic Development Office","Funded","National Park Service/Department of the Interior",NA,"Office of Preaward Services","7/19/2023","7/19/2028","Other","24-0088","7/21/2023 03:00:15 PM","0","7/11/2023 12:00:00 AM",NA,NA,"NPS: CESU Master Agreement","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Farrell Rapp","7/21/2023 03:00:15 PM > 7/21/2023 03:06:34 PM > 7/21/2023 03:06:49 PM","No funding. Submitted 07/11/2023. > Master Agreement received.",NA,"e1231496-8e6a-49d2-bab1-82079d0cd371",NA,NA,"7/21/2023 03:05:58 PM","Cancelled > Not Yet Active",NA,"0","0","0",NA,"Yes",2023-07-21 15:06:34,"2023-07-21 15:06:49","0","0","0","0","FY2024","240088A0001",NA,NA,"Research & Economic Development",0,1,0,0,0,0,0,0,0,1
"23-1263-P0001","CESU Pollination of Sessileflower Indian Parsley",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1263","4/27/2023 07:52:48 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:52:48 PM > 4/27/2023 07:52:52 PM","Status set by bulk loader",NA,"9a6575b9-a641-48f8-a1d1-4b33d80f50af","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231263A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0089-P0001","CH4 conversion","Maohong Fan","Energy & Petroleum Engineering","Funded","ADD NEW","National Energy Technology Laboratory/U.S. Department of Energy","Energy & Petroleum Engineering","1/1/2024","12/31/2025","New","24-0089","7/21/2023 03:57:42 PM","180000","7/31/2023 12:00:00 AM",NA,"North Carolina Agricultural & Tech. State University","Plasma-assisted conversion of CO2 into value added chemicals","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Maohong Fan > Tashina Lemons > Hertanto Adidharma > Farrell Jean Rapp > Kristi Hargis Stockdale","7/21/2023 03:57:42 PM > 7/25/2023 07:47:55 AM > 7/25/2023 10:06:38 AM > 7/25/2023 02:54:19 PM > 7/27/2023 03:22:19 PM > 7/27/2023 04:02:49 PM > 8/2/2023 10:55:22 AM > 8/3/2023 09:45:12 AM > 8/4/2023 02:48:04 PM > 7/18/2024 09:34:38 AM","revisions to budgets needed > Submitted to sponsor > Funded.",NA,"fd1c00dc-a85c-4178-a192-81a26ce719fb",NA,"Please add Megan Barber for WyoCloud access > approved, routing needed to finalize NCAT subrecipient monitoring form.","8/3/2023 09:45:12 AM > 8/2/2023 08:15:02 PM > 8/2/2023 12:45:47 PM > 8/2/2023 12:45:41 PM > 8/2/2023 10:55:22 AM > 7/27/2023 04:02:49 PM > 7/27/2023 03:23:01 PM","Approved > Certified",NA,"131268","48732","180002","A Subrecipient","No",2023-08-04 14:48:04,"2024-07-18 09:34:38","180000","131268","48732","180002","FY2024","240089A0001",90000,"445MTDC1","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"24-0628-P0001","CHARM","Amy Catherine Banic","Electrical Engineering & Computer Science","Submitted to Sponsor","ADD NEW","Defense Advanced Research Projects Agency/Department of Defense","Electrical Engineering & Computer Science","7/1/2024","6/30/2027","New","24-0628","12/8/2023 11:28:27 AM","283083","12/15/2023 12:00:00 AM",NA,"Kestrel","Charm: Cognitive High Assurance Representations for Mixed-reality","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Amy Catherine Banic > Bryce William Howard > Tashina Lemons > Farrell Jean Rapp","12/8/2023 11:28:27 AM > 12/8/2023 01:10:34 PM > 12/13/2023 04:05:10 PM > 12/15/2023 10:06:56 AM > 12/15/2023 11:35:03 AM > 12/15/2023 11:35:53 AM > 12/15/2023 12:11:35 PM > 12/15/2023 01:50:47 PM > 12/18/2023 03:38:58 PM","I clicked this on Thursday 12/14 at 6:30am but it did not go through. I am doing this process again. > Routing chain is showing pre-award twice, pulling out of routing to reset > Submitted to Sponsor 12/15/23",NA,"eca4c881-91c5-4147-86ca-470533bc7b84",NA,"I clicked this on Thursday 12/14 at 6:30am but it did not go through. I am doing this process again.","12/15/2023 01:50:48 PM > 12/15/2023 12:51:31 PM > 12/15/2023 12:20:00 PM > 12/15/2023 12:11:35 PM > 12/15/2023 11:36:02 AM > 12/15/2023 10:06:56 AM > 12/13/2023 04:08:31 PM","Approved > Certified",NA,"214405","75593","289492","A Subrecipient","No",2023-12-18 15:38:58,NA,"283083","214405","75593","289492","FY2024","240628A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"24-0590-P0001","CHIPOLATA - Climate change and harvesting impacts on the pelagic fish community of Lake Tanganyika","Catherine E. Wagner","Botany","Funded","ADD NEW","ADD NEW","Botany Department","1/30/2024","12/31/2027","Other","24-0590","11/17/2023 03:36:12 PM","28470.96","1/30/2024 12:00:00 AM",NA,"The Norwegian Research Council","CHIPOLATA - Climate change and harvesting impacts on the pelagic fish community of Lake Tanganyika","Proposal Created > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to In Development > Status was changed from: Under Review to Approved > Status was changed from: Approved to In Development > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Catherine E. Wagner > Bryce William Howard > Kasi Smart > Victoria Boyles > Farrell Jean Rapp","11/17/2023 03:36:12 PM > 11/21/2023 01:56:09 PM > 1/25/2024 08:26:24 AM > 1/26/2024 09:32:33 AM > 1/26/2024 09:34:53 AM > 1/26/2024 09:38:28 AM > 1/31/2024 08:27:25 AM > 1/31/2024 08:34:13 AM > 1/31/2024 08:46:55 AM > 1/31/2024 08:52:34 AM > 1/31/2024 09:14:41 AM > 1/31/2024 09:16:10 AM > 1/31/2024 09:16:27 AM > 2/8/2024 09:03:23 AM > 2/12/2024 12:15:20 PM","Correcting sponsor spelling? Maybe? > correcting sponsor > Correcting sponsor name > Name correction > submitted > Funded.",NA,"620c5f7f-9c3f-4402-a5c8-87924a7a562f",NA,"Please correct the Sponsor name. It's only showing a 'c' > Please double check the spelling of the sponsor organization","1/31/2024 09:15:34 AM > 1/31/2024 08:52:35 AM > 1/31/2024 08:48:27 AM > 1/31/2024 08:48:23 AM > 1/31/2024 08:46:55 AM > 1/31/2024 08:34:24 AM > 1/26/2024 09:34:54 AM > 1/26/2024 09:32:33 AM > 1/25/2024 08:27:01 AM","Cancelled > Approved > Certified > Declined > Not Completed",NA,"22596","5874.96","28470.96","A Subrecipient","No",2024-02-08 09:03:23,"2024-02-12 12:15:20","28470.96","22596","5874.96","28470.96","FY2024","240590A0001",28470.96,"26MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-0519-P0001","CHS: Small: Guiding future design of affect-aware cyber-human systems through the investigation of human reactions to machine errors",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0519","4/27/2023 07:00:54 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:00:54 PM > 4/27/2023 07:00:57 PM","Status set by bulk loader",NA,"adf2fd63-534a-49ee-b06c-aabac64f4d30","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230519A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0953-P0001","CIVIC-PG Track B Enhancing Mobility in Teton County: Integrating Smart Technology and Community Engagement for Efficient Transportation","Chen Xu","Wyoming Geographic Information Science Center","Submitted to Sponsor","National Science Foundation",NA,"School of Computing","9/1/2024","2/28/2025","New","24-0953","4/17/2024 11:02:33 AM","74934.48","5/1/2024 12:00:00 AM",NA,NA,"SCC-CIVIC-PG Track B Enhancing Mobility in Teton County: Integrating Smart Technology and Community Engagement for Efficient Transportation and Mobility Equality","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Chen Xu > Tashina Lemons > Milan Zlatkovic > Yu Song > Jian Gong > Daniel Phipps McCoy > Yun Liang > Farrell Jean Rapp > Thomas Abraham Lentner","4/17/2024 11:02:32 AM > 4/17/2024 04:39:09 PM > 4/26/2024 10:59:25 AM > 4/26/2024 04:11:45 PM > 4/26/2024 04:14:37 PM > 4/26/2024 06:06:57 PM > 4/27/2024 07:47:58 AM > 4/27/2024 01:46:32 PM > 4/29/2024 10:51:45 PM > 4/30/2024 10:05:35 AM > 4/30/2024 10:06:57 AM > 5/1/2024 01:23:58 PM > 7/29/2024 08:09:53 AM","Submitted on 05/01/2024 at 1:20pm MT > Per Sponsor notification 7/27/2024",NA,"5e0304c1-6d6e-4b93-ae4c-51b5f9e9be59","Not Funded","Phase I planning grant.  $75,000 - 6 month project period.  Priority for engagement with civic organizations in Teton County.  Passed all pre-award checks.  Ready for review and approval. Project narrative may change somewhat prior to submission.  Attached is near-final draft","4/26/2024 04:10:51 PM > 4/29/2024 10:51:45 PM > 4/27/2024 01:46:32 PM > 4/27/2024 07:47:58 AM > 4/26/2024 06:06:57 PM > 4/26/2024 04:14:37 PM > 4/26/2024 04:11:45 PM > 4/30/2024 09:13:50 AM > 4/30/2024 07:54:30 AM > 4/30/2024 07:15:09 AM > 4/30/2024 07:15:04 AM > 4/29/2024 11:32:19 PM > 4/29/2024 11:32:07 PM > 4/29/2024 11:31:54 PM > 4/30/2024 10:06:57 AM","Approved > Certified",NA,"51857.77","23076.71","74934.48",NA,"Yes",NA,NA,"74934.48","51857.77","23076.71","74934.48",NA,"240953A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"24-0775-P0001","CLIMB Wyoming Quarterly Follow-up","Michael D. Dorssom","Wyoming Survey & Analysis Center","Closed","Climb Wyoming",NA,"Wyoming Survey & Analysis Center","3/1/2024","4/1/2025","Renewal","24-0775","1/31/2024 10:03:36 AM","7374","2/29/2024 12:00:00 AM",NA,NA,"CLIMB Wyoming Quarterly Follow-ups","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Michael D. Dorssom > Tashina Lemons","1/31/2024 10:03:35 AM > 1/31/2024 01:53:20 PM > 2/13/2024 01:55:31 PM > 3/1/2024 03:04:14 PM","updates to proposal form > PI is able to amend current agreement, RW proposal not needed",NA,"776754bc-d06d-4399-b602-8dcf9f5fc97e","Withdrawn",NA,NA,"Not Completed",NA,"6145","1229","7374",NA,"Yes",NA,NA,"7374","6145","1229","7374",NA,"240775A0001",NA,NA,"Research",1,0,0,0,0,0,0,0,0,0
"24-0672-P0001","CMS 2023","Dana Caulton","Atmospheric Science","Not Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Atmospheric Science","9/1/2024","8/31/2027","New","24-0672","1/3/2024 09:18:46 AM","320770","3/12/2024 12:00:00 AM",NA,NA,"Improving Seasonal Wetland Emission Validation through Satellite Analysis","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Dana Caulton > Tashina Lemons > John Ruess","1/3/2024 09:18:45 AM > 1/9/2024 04:30:59 PM > 3/8/2024 07:45:29 AM","Per email with PI",NA,"06935446-a8ac-4f43-b9f3-0de6edde39bd","PI Abandoned",NA,NA,"Not Completed",NA,"232049","88721","320770",NA,"Yes",NA,NA,"320770","232049","88721","320770",NA,"240672A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,0,0,0,0,0
"25-0569-P0001","CO-WY Engine 2025:  Wildfire Smoke Impacts","Melissa S. Bukovsky","Haub School of Environment & Natural Resources","In Development","Rocky Mountain Innovation Initiative","National Science Foundation","Haub School of Environment & Natural Resources",NA,NA,"New","25-0569","2/24/2025 03:26:20 PM",NA,"3/18/2025 12:00:00 AM",NA,NA,"Projecting Wildfire Smoke Impacts: Advancing Regional Smoke Prediction and Assessing Economic Outcomes for Recreation in Gateway Communities of Colorado and Wyoming","Proposal Created","Melissa S. Bukovsky","2/24/2025 03:26:19 PM",NA,NA,"5e9d053f-9984-4475-9a4e-15564628bfd4",NA,NA,NA,"Not Yet Active",NA,NA,NA,NA,"A Subrecipient","No",NA,NA,NA,NA,NA,NA,NA,"250569A0001",NA,NA,"Haub School of Environment & Natural Resources",0,0,0,0,1,0,0,0,0,0
"24-0765-P0001","CO2 Corrosion Testing","Soheil Saraji","Energy & Petroleum Engineering","Funded","ADD NEW",NA,"Energy & Petroleum Engineering","2/1/2024","4/1/2024","Other","24-0765","1/29/2024 02:21:59 PM","0","11/28/2023 12:00:00 AM",NA,"TSC Drill Pipe","CO2 Corrosion Testing - Proof of Concept","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded > Assigned to SP Proposal Administrator: John Ruess","Farrell Jean Rapp > Bryce William Howard","1/29/2024 02:21:59 PM > 1/29/2024 02:29:46 PM > 1/29/2024 02:30:01 PM > 1/30/2024 01:04:30 PM","Unfunded Collaboration. > Unfunded. But Agreement is PE.",NA,"970e8b35-f9c8-4419-ac64-aafb17deef8e",NA,NA,"1/29/2024 02:28:43 PM","Cancelled > Not Yet Active",NA,"0","0","0",NA,"Yes",2024-01-29 14:29:46,"2024-01-29 14:30:01","0","0","0","0","FY2024","240765A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"23-1898-P0001","CO2 Pipeline Siting Justice","Tara K. Righetti","School of Energy Resources Subdivision","Submitted to Sponsor","National Science Foundation",NA,"School of Energy Resources Directors Office","9/1/2023","8/31/2026","New","23-1898","6/29/2023 10:35:48 AM","423030","1/16/2023 12:00:00 AM",NA,NA,"Legal Mobilization of Conceptions of Justice in CO2 Pipeline Pass-Through Communities","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Tashina Lemons > John Ruess > Bryce William Howard","6/29/2023 10:35:48 AM > 3/28/2024 11:32:45 AM > 9/27/2024 03:29:48 PM","Legacy sub, see greensheet > This proposal has a declined status in Research.gov",NA,"61fa21f2-9672-4304-b656-fd40d8b7e44d","Not Funded",NA,NA,"Not Completed",NA,"299364","123666","423030",NA,"Yes",NA,NA,"423030","299364","123666","423030",NA,"231898A0001",NA,NA,NA,0,0,0,1,0,0,0,0,0,1
"23-1600-P0001","CO2 capture","Maohong Fan","Energy & Petroleum Engineering","Funded","ADD NEW","National Science Foundation","Energy & Petroleum Engineering","6/1/2022","6/1/2023","New","23-1600","6/8/2023 03:26:45 PM","50000","1/20/2022 12:00:00 AM",NA,"Carbon Solutions LLC","CO2NCORD: Identifying CO2 Capture Opportunities for the Nation’s Energy Transition","Proposal Created > Assigned to SP Proposal Administrator: Ashley Schnell > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Bryce Howard > Ashley Schnell","6/8/2023 03:26:44 PM > 6/12/2023 11:23:43 AM > 6/15/2023 11:54:42 AM > 6/15/2023 11:55:32 AM","Legacy, submitted to sponsor around 1/20/2022. > Award received 3/15/2023",NA,"7cca547f-74dd-481f-82e1-b3ff907f4ce6",NA,NA,"6/15/2023 11:52:49 AM","Cancelled > Not Yet Active",NA,"37000","13000","50000","A Subrecipient","No",2023-06-15 11:54:42,"2023-06-15 11:55:32","50000","37000","13000","50000","FY2023","231600A0001",50000,"445MTDC1","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"23-1691-P0001","CO2 to NaHCO3 Using Geo-Brine from CO2 Injection Site","Jonathan A. Brant","Civil & Architectural Engineering & Construction Management","Submitted to Sponsor","University of Kentucky","U.S. Department of Energy","Civil & Architectural Engineering & Construction Management","3/8/2023","3/7/2025","New","23-1691","6/20/2023 11:26:40 AM","201132","7/13/2022 12:00:00 AM",NA,NA,"CO2 to NaHCO3 Using Geo-Brine from CO2 Injection Site","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Tashina Lemons > Farrell Jean Rapp","6/20/2023 11:26:40 AM > 6/26/2023 03:02:03 PM > 12/23/2024 09:44:29 AM","Legacy data from FY23, submitted to sponsor 7/22/22 > Assuming not funded. More than 12 months have passed since submission.",NA,"ff95418d-dd67-47c1-ac01-b683749cac77","Not Funded",NA,"6/26/2023 02:59:29 PM","Cancelled > Not Completed","245529","142199","58933","1472710","A Subrecipient","No",NA,NA,"201132","142199","58933","1472710",NA,"231691A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"24-0669-P0002","COBRE | Center of Reproductive and Regenerative Biology","James K. Pru","Animal Science","Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",NA,"Animal Science","12/1/2025","11/30/2030","New","24-0669","10/18/2024 10:39:37 AM","10505760","1/30/2025 12:00:00 AM",NA,NA,"Center of Reproductive and Regenerative Biology","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Form was edited in 'Under Review' status > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Farrell Jean Rapp > Janissa Marie Analissia Martinez > John Ruess > Thomas Abraham Lentner > Bledar Bisha > Daniel L. Levy > Danielle R Bruns > Christopher Jeremy Block > Jennifer F Pinello > David S. Fay > Brian David Cherrington > James K. Pru > Yun Li","10/18/2024 10:39:37 AM > 10/21/2024 09:52:41 AM > 1/29/2025 09:37:12 AM > 1/29/2025 09:41:10 AM > 1/29/2025 09:45:47 AM > 1/29/2025 11:06:09 AM > 1/29/2025 11:07:16 AM > 1/29/2025 11:09:20 AM > 1/29/2025 11:10:00 AM > 1/29/2025 11:27:17 AM > 1/29/2025 12:53:13 PM > 1/29/2025 01:21:24 PM > 1/29/2025 01:57:34 PM > 1/30/2025 08:27:49 AM > 1/30/2025 08:29:24 AM > 1/30/2025 11:18:25 AM > 1/30/2025 02:43:51 PM > 1/30/2025 03:25:16 PM > 1/30/2025 04:10:26 PM","edit > Submitted 3:30pm on 01/30/2025",NA,"3591a099-2062-4090-8692-d1e819f5bc5b",NA,"Passes pre-award checks.  See additional information notes for more info on IDC distribution > At the end of the budget justification it states: ""Indirect costs: The University of Wyoming’s federally negotiated rate is 44.5% of the modified total direct cost. Total indirect costs for 5 years is $?,???,???. 

Total Requested: $?,???,???"" I assume this will be filled in.
 > Parag letter commits $215K per year and Pru provide an email that confirms IDC at 42% will be provided.","1/29/2025 11:08:09 AM > 1/30/2025 11:18:25 AM > 1/30/2025 08:29:24 AM > 1/30/2025 08:27:49 AM > 1/29/2025 01:57:34 PM > 1/29/2025 01:21:24 PM > 1/29/2025 12:53:13 PM > 1/29/2025 11:27:17 AM > 1/29/2025 11:10:00 AM > 1/29/2025 11:09:20 AM > 1/30/2025 02:05:04 PM > 1/30/2025 12:33:52 PM > 1/30/2025 12:33:46 PM > 1/30/2025 12:05:38 PM > 1/30/2025 11:45:47 AM > 1/30/2025 11:39:54 AM > 1/30/2025 11:30:25 AM > 1/30/2025 11:30:16 AM > 1/30/2025 03:25:16 PM","Approved > Certified",NA,"7500000","3005760",NA,NA,"Yes",2025-01-30 16:10:26,NA,"10505760","7500000","3005760",NA,"FY2025","240669A0002",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,0,1
"23-0492-P0001","COLLABORATIVE RESEARCH: Paleomagnetism and Geochronology of Mafic Dikes in Morocco, Reconstructing West Africa in Proterozoic Supercontinents",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0492","4/27/2023 06:59:00 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:59:00 PM > 4/27/2023 06:59:04 PM","Status set by bulk loader",NA,"fa5c5e7d-7ed6-421b-8e5d-9006fbccace8","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230492A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0878-P0001","COM/MAPP/CSI (Multi-program): Improving climate understanding and information for marine sanctuary management planning","Kelly Heber Dunning","Haub School of Environment & Natural Resources","Transfer","Auburn University","National Oceanic and Atmospheric Administration/Department of Commerce","Haub School of Environment & Natural Resources","4/1/2024","6/1/2025","Transfer","24-0878","3/6/2024 10:36:24 AM","68111.67","3/25/2024 12:00:00 AM",NA,NA,"COM/MAPP/CSI (Multi-program): Improving climate understanding and information for marine sanctuary management planning","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Kelly Heber Dunning > Tashina Lemons > Farrell Jean Rapp > Ericka Sue Smith","3/6/2024 10:36:24 AM > 3/6/2024 12:17:57 PM > 3/20/2024 03:47:00 PM > 3/22/2024 09:24:25 AM > 3/22/2024 03:56:49 PM > 11/18/2024 02:32:50 PM","Items provided to Auburn University for transfer. Email correspondence attached for confirmation 3/22/24 > funded",NA,"f23b0992-bdca-4ed9-9a95-cc3301d21a2e",NA,NA,"3/20/2024 03:47:12 PM > 3/21/2024 01:49:46 PM > 3/21/2024 01:49:40 PM > 3/22/2024 09:24:26 AM","Approved > Not Completed",NA,"47136.05","20975.54","68111.67","A Subrecipient","No",2024-03-22 15:56:49,"2024-11-18 14:32:50","68111.67","47136.05","20975.54","68111.67","FY2024","240878A0001",68110,"445MTDC1","Haub School of Environment & Natural Resources",0,0,0,0,0,0,1,0,0,0
"23-1438-P0001","CONFIDENTIAL MATERIALS TRIAL - Statement of Work 2022-01",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1438","4/27/2023 08:05:07 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:05:07 PM > 4/27/2023 08:05:10 PM","Status set by bulk loader",NA,"1fa8c059-e9b4-4761-98f2-ed8bc0759a4e","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231438A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-1053-P0001","CORE CM Phase II, Region V: Developing a Regional Evaluation and Assessment of Critical Minerals - Gulf Coast & Permian Basin (DREAM-GCPB)","Davin A. Bagdonas","School of Energy Resources Directors Office","Under Consideration","University of Texas, Austin","U.S. Department of Energy","School of Energy Resources Directors Office","4/1/2025","3/31/2028","New","24-1053","5/28/2024 01:23:28 PM","34975","6/24/2024 12:00:00 AM",NA,NA,"CORE CM Phase II, Region V: Developing a Regional Evaluation and Assessment of Critical Minerals - Gulf Coast & Permian Basin (DREAM-GCPB)","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Form was edited in 'Approved' status > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration","Martha D. Reisch > Thomas Abraham Lentner > Selena Rose Gerace > Davin A. Bagdonas > Farrell Jean Rapp","5/28/2024 01:23:27 PM > 6/11/2024 02:55:28 PM > 6/11/2024 03:30:58 PM > 6/11/2024 04:04:25 PM > 6/11/2024 04:25:24 PM > 6/11/2024 04:25:43 PM > 6/13/2024 07:22:21 AM > 1/30/2025 08:34:33 AM","Submitted subrecipient information on 06/11/2024 > Project team received notice from UT-Austin that project is under consideration for funding.  Completed pre-award information sheet on 01/30/2025",NA,"529c84d7-3721-4d93-806a-2ffeb95c3345",NA,"Passes pre-award check.  Requires 20% cost share on project - source is previously awarded WEA funds available to department, use is salary, fringe and IDC - see note from SQ in attachments.","6/11/2024 02:59:41 PM > 6/11/2024 04:04:25 PM > 6/11/2024 03:30:58 PM > 6/11/2024 04:19:13 PM > 6/11/2024 04:19:06 PM > 6/11/2024 04:15:38 PM > 6/11/2024 04:25:24 PM","Approved > Certified","8742","24204","10771","43717","A Subrecipient","No",2024-06-13 07:22:21,NA,"34975","24204","10771","43717","FY2024","241053A0001",NA,NA,"School of Energy Resources",0,0,0,0,0,1,0,0,0,1
