"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Under Review","Approved","Total_submitted_to_sponsor"
"23-1611-P0001","Laboratory capacity for wildlife-focused diagnostics","Bledar Bisha","Animal Science","Funded","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Animal Science","5/24/2023","5/23/2026","New","23-1611",2023-06-09 01:35:00,"6e+06","5/24/2023 12:00:00 AM",NA,NA,"Further development and continued support of laboratory capacity for wildlife-focused diagnostics","Proposal Created > Assigned to SP Proposal Administrator: Ashley Schnell > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Bryce Howard > Ashley Schnell","6/9/2023 01:35:50 PM > 6/12/2023 11:23:43 AM > 6/21/2023 09:22:52 AM > 6/21/2023 09:24:07 AM","Legacy, submitted to sponsor 5/24/2023 > Award received.",NA,"dd5a6ddc-bf88-4151-a7c7-e05e1a3a785f",NA,NA,"6/21/2023 09:22:07 AM","Cancelled > Not Yet Active",NA,"5454545.45","545454.55","6e+06",NA,"Yes","6000000","5454545.45","545454.55","6000000","FY2023","231611A0001",6e+06,"10TDC","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,1
"25-0414-P0001","MIRA","Nicole Lara Bedford","Zoology & Physiology","Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",NA,"Zoology & Physiology","1/1/2026","12/31/2030","New","25-0414",2025-01-08 04:48:00,"1750479","2/3/2025 12:00:00 AM",NA,NA,"Neuroprotection","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Form was edited in 'Approved' status > Status was changed from: Approved to Submitted to Sponsor","Nicole Lara Bedford > John Ruess > Farrell Jean Rapp > Thomas Abraham Lentner","1/8/2025 04:48:13 PM > 1/27/2025 09:53:41 AM > 2/3/2025 07:31:30 AM > 2/3/2025 07:49:10 AM > 2/3/2025 08:23:08 AM > 2/3/2025 11:57:54 AM > 2/3/2025 02:07:28 PM > 2/3/2025 02:10:37 PM > 2/3/2025 04:44:06 PM > 2/4/2025 08:52:18 AM","edits > Submitted 02/03/2025 via grants.gov due to NIH assist malfunction.",NA,"3e3a87a0-888b-4f64-87fb-e7a5d434e220",NA,"Passes pre-award checks","2/3/2025 08:14:35 AM > 2/3/2025 08:23:08 AM > 2/3/2025 08:54:20 AM > 2/3/2025 08:54:15 AM > 2/3/2025 11:57:55 AM","Approved > Certified",NA,"1250000","500478","1806250",NA,"Yes","1750479","1250000","500478","1806250","FY2025","250414A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"24-0956-P0002","MPSG Facilitation and Engagement","Melanie Armstrong","Haub School of Environment & Natural Resources","Funded","Forest Service/Department of Agriculture",NA,"Haub School of Environment & Natural Resources","9/6/2024","8/4/2029","New","24-0956",2024-08-26 02:38:00,"191300","9/6/2024 12:00:00 AM",NA,NA,"Mountain Planning Service Group (MPSG) Engagement and Facilitation 2024-2029","Proposal Created > Status was changed from: In Development to Under Review > Form was edited in 'Under Review' status > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Thomas Abraham Lentner > Melanie Armstrong > Farrell Jean Rapp > Kristi Hargis Stockdale","8/26/2024 02:38:15 PM > 8/26/2024 05:04:37 PM > 8/26/2024 05:05:09 PM > 8/27/2024 09:22:27 AM > 8/27/2024 01:12:20 PM > 8/28/2024 07:59:32 PM > 9/9/2024 11:29:48 AM","Submitted August 2024.  Forest Service issued a substantially different agreement than was first proposed.  This proposal entry is in response to the USFS draft agreement. > Funded.",NA,"55231d08-151c-47b3-8a5d-4f7810e5cf3a",NA,"Passes Pre-Award Checks.  Includes 20% cost share ($75,159) 17.5% IDC.  Please see notes for potentially un-funded components to scope of work.","8/26/2024 05:07:15 PM > 8/27/2024 09:22:27 AM > 8/27/2024 11:30:35 AM > 8/27/2024 11:30:29 AM > 8/27/2024 01:12:20 PM","Approved > Certified","75158.74","162808.51","28491.49","266458.74",NA,"Yes","191300","162808.51","28491.49","266458.74","FY2025","240956A0002",191300,"175MTDC1","Haub School of Environment & Natural Resources",0,1,0,0,0,0,0,0,1
"25-0283-P0001","Machine Learning-Guided Discovery of Mitochondrial-Targeted Therapeutics for Progressive Neurodegeneration","Khaled M. Elokely","School of Pharmacy","Submitted to Sponsor","ADD NEW","National Academy of Sciences","School of Pharmacy","5/1/2026","4/30/2028","New","25-0283",2024-10-31 10:07:00,"198777","12/3/2024 12:00:00 AM",NA,"Agency for International Development","Machine Learning-Guided Discovery of Mitochondrial-Targeted Therapeutics for Progressive Neurodegeneration","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Khaled M. Elokely > Farrell Jean Rapp > Marissa K. Gannon","10/31/2024 10:07:56 AM > 11/13/2024 10:27:55 AM > 11/15/2024 10:08:33 AM > 11/15/2024 01:20:56 PM > 12/4/2024 09:57:40 AM","Submitted 12/3/24","Non-Profit","f7ad4668-3af6-4205-bd75-a1012247fdfc",NA,"I approve this proposal.","11/15/2024 10:04:23 AM > 11/15/2024 10:08:33 AM > 11/15/2024 11:35:28 AM > 11/15/2024 10:51:55 AM > 11/15/2024 01:20:56 PM","Approved > Certified",NA,"145435","53341","198777","A Subrecipient","No","198777","145435","53341","198777","FY2025","250283A0001",NA,NA,"College of Health Sciences",0,0,0,1,0,0,0,0,1
"24-1093-P0002","Master Research Collaboration Agreement | Teton Raptor Center","Ellen Overton Aikens","School of Computing,School of Computing","In Development","University of Wyoming",NA,"Haub School of Environment & Natural Resources","4/1/2024","12/31/2029","Other","24-1093",2024-12-04 01:12:00,"0","12/31/2024 12:00:00 AM",NA,NA,"Lifetime Learning in Golden Eagles","Proposal Created","John Ruess","12/4/2024 01:12:36 PM",NA,NA,"028c0b5b-3238-427a-99f6-9bd23250f77b",NA,NA,NA,"Not Yet Active",NA,"0","0","47127",NA,"Yes","0","0","0","47127","FY2025","241093A0002",NA,NA,NA,0,0,0,0,1,0,0,0,0
"23-1584-P0001","Measurement of methane emissions from grazing sheep in western US rangelands","Paulo De Mello Tavares Lima","Animal Science","Submitted to Sponsor","ADD NEW",NA,"Animal Science","8/1/2023","6/15/2026","New","23-1584",2023-06-07 02:36:00,"270379","3/15/2023 12:00:00 AM",NA,"C-Lock Inc.","Measurement of methane emissions from grazing sheep in western US rangelands","Proposal Created > Assigned to SP Proposal Administrator: Shauna Bury > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Bryce Howard > Tashina Lemons > Farrell Jean Rapp","6/7/2023 02:36:48 PM > 6/12/2023 01:41:42 PM > 2/26/2024 01:58:50 PM > 12/23/2024 12:10:11 PM","Submitted to Sponsor. > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"28681cb5-2aa7-4273-817c-7c8a4b4c1df0","Not Funded",NA,NA,"Not Completed",NA,"270379","0","270379",NA,"Yes","270379","270379","0","270379","FY2023","231584A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"25-0354-P0001","Membrane proteins driving a cell-cell fusion reaction during fertilization","Jennifer F Pinello","Molecular Biology","Under Consideration","National Institutes of Health/Department of Health and Human Services",NA,"Molecular Biology","3/1/2025","3/1/2028","Transfer","25-0354",2024-12-04 04:06:00,"746994","12/6/2024 12:00:00 AM",NA,NA,"Membrane proteins driving a cell-cell fusion reaction during fertilization","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration","John Ruess > Jennifer F Pinello > Farrell Jean Rapp","12/4/2024 04:06:17 PM > 12/4/2024 04:39:53 PM > 12/4/2024 04:43:19 PM > 12/5/2024 08:21:45 AM > 12/6/2024 12:21:45 PM > 1/21/2025 11:28:54 AM","submitted > Under consideration by NIH. JIT information in progress.",NA,"2f50ee9a-fa13-4ba9-89d8-7f718d72e420",NA,NA,"12/4/2024 04:40:08 PM > 12/4/2024 04:43:19 PM > 12/5/2024 07:04:46 AM > 12/5/2024 06:14:49 AM > 12/5/2024 08:21:45 AM","Approved > Certified",NA,"529000","217994","746994",NA,"Yes","746994","529000","217994","746994","FY2025","250354A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,0,0,1,0,0,0
"25-0157-P0001","Morphological and Molecular Profiling of the Amygdala-Hippocampal Circuit in Sleep Dependent Memory Consolidation Processes","Rammohan Shukla","Zoology & Physiology","Submitted to Sponsor","ADD NEW","National Institutes of Health/Department of Health and Human Services","Zoology & Physiology","7/1/2025","6/30/2030","New","25-0157",2024-09-19 08:36:00,"312614.85","10/5/2024 12:00:00 AM",NA,"University of Mississippi Medical Center","Morphological and Molecular Profiling of the Amygdala-Hippocampal Circuit in Sleep Dependent Memory Consolidation Processes","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Rammohan Shukla > John Ruess > Farrell Jean Rapp","9/19/2024 08:36:35 AM > 9/19/2024 09:03:17 AM > 9/19/2024 09:46:29 AM > 9/20/2024 08:19:54 AM > 9/23/2024 09:02:37 AM","submitted 9-23",NA,"f6a834f2-94de-48b0-b1b0-09bfd64d2345",NA,NA,"9/19/2024 09:03:50 AM > 9/19/2024 09:46:29 AM > 9/19/2024 09:47:31 AM > 9/19/2024 09:47:26 AM > 9/20/2024 08:19:54 AM","Approved > Certified",NA,"216467.04","96147.81","312614.85","A Subrecipient","No","312614.85","216467.04","96147.81","312614.85","FY2025","250157A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"25-0335-P0001","Multi-Scale Modeling of Wood Degradation for Civil Infrastructure","Garrett Andrew Tatum","Civil & Architectural Engineering & Construction Management","Submitted to Sponsor","The Ohio State University","National Science Foundation","Civil & Architectural Engineering & Construction Management","8/13/2024","8/12/2027","New","25-0335",2024-11-21 11:05:00,"93079","12/13/2024 12:00:00 AM",NA,NA,"Multi-Scale Modeling of Wood Degradation for Civil Infrastructure","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Garrett Andrew Tatum > Marissa K. Gannon > Kayleigh Ann Edgar > Thomas Abraham Lentner > Farrell Jean Rapp","11/21/2024 11:04:59 AM > 11/26/2024 08:59:53 AM > 12/5/2024 12:09:38 PM > 12/6/2024 08:46:58 AM > 12/9/2024 04:26:39 PM > 12/11/2024 10:32:11 AM > 12/11/2024 10:36:16 AM > 12/11/2024 11:53:18 AM > 12/11/2024 11:57:55 AM > 12/11/2024 12:02:41 PM > 12/11/2024 04:42:35 PM > 12/16/2024 10:46:01 AM","Updating fields > Updating form fields
 > Subaward documents sent to Ohio State 12/13/24",NA,"c7f58af0-db2b-47a2-889b-c295c8f752d2",NA,"NSF subaward via OSU.  Passes preaward checks","12/11/2024 11:58:19 AM > 12/11/2024 12:02:41 PM > 12/11/2024 04:26:01 PM > 12/11/2024 12:46:59 PM > 12/11/2024 04:42:35 PM","Approved > Certified",NA,"68850","24229","93079","A Subrecipient","No","93079","68850","24229","93079","FY2025","250335A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0178-P0001","Multifunctional Coatings for Vascular Grafts: Preventing Thrombosis, Infection, and Enhancing Endothelialization","Roberta Maia Sabino","Chemical & Biomedical Engineering","Submitted to Sponsor","ADD NEW","National Institutes of Health/Department of Health and Human Services","Chemical & Biomedical Engineering","7/1/2025","6/30/2028","New","25-0178",2024-09-27 03:05:00,"181943","10/11/2024 12:00:00 AM",NA,"Pittsburg State University","Multifunctional Coatings for Vascular Grafts: Preventing Thrombosis, Infection, and Enhancing Endothelialization","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Roberta Maia Sabino > John Ruess > Farrell Jean Rapp > Thomas Abraham Lentner","9/27/2024 03:05:27 PM > 9/27/2024 04:00:47 PM > 10/3/2024 03:12:31 PM > 10/5/2024 03:13:21 PM > 10/7/2024 07:53:44 AM > 10/7/2024 08:01:28 AM > 10/7/2024 10:11:31 AM > 10/8/2024 02:26:03 PM > 11/13/2024 08:29:19 AM","PI Requested > edits to hierarchy
 > Submitted in October.  Some confusion regarding subrecipient documents.",NA,"8ff34632-7752-472a-9335-706770f09ce3",NA,NA,"10/7/2024 08:01:37 AM > 10/7/2024 10:11:31 AM > 10/8/2024 01:16:03 PM > 10/7/2024 01:00:05 PM > 10/8/2024 02:26:03 PM","Approved > Certified",NA,"133919","48024","181943","A Subrecipient","No","181943","133919","48024","181943","FY2025","250178A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0211-P0001","Multimodal Large Language Models for Long-Form Visual Question Answering in Controlled Environment Agriculture","Shivanand Venkanna Sheshappanavar","Electrical Engineering & Computer Science","Not Submitted to Sponsor","National Science Foundation",NA,"Electrical Engineering & Computer Science","7/1/2025","5/30/2028","New","25-0211",2024-10-09 08:52:00,"594708","10/23/2024 12:00:00 AM",NA,NA,"Multimodal Large Language Models for Long-Form Visual Question Answering in Controlled Environment Agriculture","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Shivanand Venkanna Sheshappanavar > Janissa Marie Analissia Martinez > John Ruess","10/9/2024 08:52:53 AM > 10/9/2024 09:11:27 AM > 10/9/2024 12:02:00 PM > 10/9/2024 12:02:35 PM > 10/21/2024 09:25:41 AM","new proposal > Not submitting",NA,"b7e8e65f-7189-4a2c-8ed4-be96c6c75b1e","PI Abandoned",NA,NA,"Not Completed",NA,"476512","118196","594708",NA,"Yes","594708","476512","118196","594708","FY2025","250211A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,0,0,0,0
"25-0281-P0001","Multimodal Sensing System for Enhanced Plant Monitoring and Sustainable Resource Management in Greenhouse Environments","Yaqoob Majeed","Electrical Engineering & Computer Science","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"Electrical Engineering & Computer Science","8/1/2025","7/31/2027","New","25-0281",2024-10-30 04:44:00,"255746","11/14/2024 12:00:00 AM",NA,NA,"Multimodal Sensing System for Enhanced Plant Monitoring and Sustainable Resource Management in Greenhouse Environments","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Yaqoob Majeed > Janissa Marie Analissia Martinez > John Ruess > Liping Wang > Farrell Jean Rapp","10/30/2024 04:44:32 PM > 10/31/2024 09:32:01 AM > 11/12/2024 09:11:17 AM > 11/12/2024 11:02:33 AM > 11/12/2024 11:02:59 AM > 11/12/2024 11:04:03 AM > 11/12/2024 01:29:10 PM > 11/14/2024 09:06:41 AM > 11/14/2024 09:10:26 AM > 11/14/2024 09:11:32 AM > 11/14/2024 09:12:01 AM > 11/15/2024 08:17:32 AM","edits > Approved",NA,"bdee5578-e7a9-4664-bbdb-f47f16cddd1d",NA,NA,"11/12/2024 11:03:12 AM > 11/12/2024 01:29:10 PM > 11/12/2024 11:04:03 AM > 11/14/2024 07:46:06 AM > 11/12/2024 04:18:21 PM > 11/12/2024 03:29:55 PM > 11/14/2024 09:12:02 AM","Approved > Certified",NA,"188689","67057","255746",NA,"Yes","255746","188689","67057","255746","FY2025","250281A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"24-0161-P0001","Multiscale Anomaly Detection in Spatio-Temporal Multilayer Networks Encoding Human Mobility","Dane Robert Taylor","School of Computing","Funded","National Science Foundation",NA,"School of Computing","9/1/2023","8/31/2026","Transfer","24-0161",2023-08-13 03:58:00,"250000","9/1/2023 12:00:00 AM",NA,NA,"ATD: Multiscale Anomaly Detection in Spatio-Temporal Multilayer Networks Encoding Human Mobility","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Farrell Jean Rapp > Dane Robert Taylor > John Ruess","8/13/2023 03:58:14 PM > 8/13/2023 04:06:58 PM > 8/16/2023 10:46:02 AM > 8/17/2023 04:50:23 PM > 8/17/2023 04:52:28 PM > 8/18/2023 11:34:01 AM > 8/18/2023 01:17:16 PM > 8/18/2023 04:34:00 PM > 2/7/2024 09:27:35 AM","Submitted 8-18 > Funded.",NA,"65195686-92d5-409c-a5fa-6f8e97a19fec",NA,"8-17-23 > see email","8/18/2023 01:17:16 PM > 8/18/2023 12:30:23 PM > 8/18/2023 12:22:07 PM > 8/18/2023 11:34:01 AM > 8/17/2023 04:52:49 PM > 8/17/2023 04:50:23 PM","Approved > Certified > Declined",NA,"196090","53910","250000",NA,"Yes","250000","196090","53910","250000","FY2024","240161A0001",250000,"445MTDC1","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,1
"25-0535-P0001","Multiscale Heterogeneous Crystalline Materials for Next-Generation Battery Applications","Juhyeon Ahn","Chemical & Biomedical Engineering","In Development","Office of Science/U.S. Department of Energy",NA,"Chemical & Biomedical Engineering",NA,NA,"Pre-proposal","25-0535",2025-02-11 03:43:00,NA,"4/22/2025 12:00:00 AM",NA,NA,"Multiscale Heterogeneous Crystalline Materials for Next-Generation Battery Applications","Proposal Created","Richard Wayne Matlock","2/11/2025 03:43:58 PM",NA,NA,"7776ad15-c919-4761-8dcd-4f5470a462ac",NA,NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"FY2025","250535A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,0,1,0,0,0,0
"24-0653-P0001","Multisectoral Partnerships to Chronicle and Assess the Impact of Climate Change Disaster Events on Affordable Housing and Mental Health Outcomes in Underserved Communities","Lauren Rose Gilbert","Kinesiology & Health","Funded","University of Houston","ADD NEW","Kinesiology & Health","10/1/2023","8/31/2025","New","24-0653",2023-12-15 04:10:00,"80392","2/13/2024 12:00:00 AM",NA,"National Academy of Sciences, Engineering and Medicine","Multisectoral Partnerships to Chronicle and Assess the Impact of Climate Change Disaster Events on Affordable Housing and Mental Health Outcomes in Underserved Communities","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to In Development > Status was changed from: In Development to Submitted to Sponsor > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Submitted to Sponsor to Funded","Lauren Rose Gilbert > Kasi Smart > Farrell Jean Rapp > Inna Willis","12/15/2023 04:10:55 PM > 2/7/2024 10:54:42 AM > 2/7/2024 11:22:18 AM > 2/8/2024 08:31:42 AM > 2/13/2024 09:42:09 AM > 2/13/2024 09:42:46 AM > 7/12/2024 03:16:07 PM > 11/1/2024 03:34:54 PM","fixing submission field > submitted material to University of Houston > Funded.",NA,"bcd8585b-314c-4e84-bc89-fa90607ad773",NA,"This is money from the PI's previous institution that is being reallocated as a sub-award for her at University of Wyoming.","2/8/2024 08:31:43 AM > 2/8/2024 07:44:20 AM > 2/8/2024 07:06:41 AM > 2/7/2024 11:22:18 AM > 2/7/2024 10:54:52 AM","Approved > Certified > Not Completed",NA,"51866","28526","80392","A Subrecipient","No","80392","51866","28526","80392","FY2024","240653A0001",36920,"445MTDC1","College of Health Sciences",0,1,0,0,0,0,0,0,1
"25-0235-P0001","NASA EPSCoR Implementation","Koen Jasper Groot","Mechanical Engineering","Not Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Mechanical Engineering",NA,NA,"New","25-0235",2024-10-18 10:13:00,NA,"1/27/2025 12:00:00 AM",NA,NA,NA,"Proposal Created > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Farrell Jean Rapp > Janissa Marie Analissia Martinez","10/18/2024 10:13:20 AM > 12/13/2024 08:35:51 AM","Not chosen to go forward by EPSCOR",NA,"86df2b43-9e92-4d80-a058-29694e9e2d1a","PI Abandoned",NA,NA,"Not Completed",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"FY2025","250235A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,0,0,0,0
"24-1012-P0001","NASA MAP 2024","Masanori Saito","Atmospheric Science","Submitted to Sponsor","National Aeronautics and Space Administration","National Aeronautics and Space Administration","Atmospheric Science","1/1/2025","12/31/2028","New","24-1012",2024-05-08 09:52:00,"30330","6/8/2024 12:00:00 AM",NA,NA,"Characterizing the Variability of Dust Mineralogy, Dust-borne Nutrients and Direct Radiative Effect Over the Past Two Decades","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Masanori Saito > Thomas Abraham Lentner > John Ruess > Farrell Jean Rapp","5/8/2024 09:52:54 AM > 5/8/2024 04:04:45 PM > 6/4/2024 09:09:38 AM > 6/4/2024 10:00:56 AM > 6/4/2024 10:01:33 AM > 6/4/2024 10:01:49 AM > 6/4/2024 10:01:57 AM > 6/4/2024 10:04:56 AM > 6/4/2024 01:32:20 PM > 6/10/2024 01:59:10 PM","edits > submitted",NA,"0dad3e5a-47ad-40e7-afd9-bfdc002e37e4",NA,NA,"6/4/2024 10:02:06 AM > 6/4/2024 10:04:56 AM > 6/4/2024 10:53:30 AM > 6/4/2024 10:42:23 AM > 6/4/2024 01:32:20 PM","Approved > Certified",NA,"20990","9340","30330","A Subrecipient","No","30330","20990","9340","30330","FY2024","241012A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0349-P0001","NASA PACE 2024","Masanori Saito","Atmospheric Science","Submitted to Sponsor","University of Michigan","National Aeronautics and Space Administration","Atmospheric Science","9/1/2025","8/31/2028","New","25-0349",2024-12-03 08:43:00,"248914","1/9/2025 12:00:00 AM",NA,NA,"Space-based characterization of airborne pollen aerosols with PACE retrievals","Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Masanori Saito > Marissa K. Gannon > John Ruess > Farrell Jean Rapp","12/3/2024 08:43:32 AM > 12/4/2024 10:47:35 AM > 1/6/2025 08:50:20 AM > 1/6/2025 08:51:08 AM > 1/6/2025 08:51:42 AM > 1/6/2025 08:59:04 AM > 1/6/2025 04:47:36 PM > 1/7/2025 07:42:10 AM","edit > submitted",NA,"06e249ef-ac52-441b-b767-401482d597b2",NA,NA,"1/6/2025 08:50:30 AM > 1/6/2025 08:51:50 AM > 1/6/2025 08:59:04 AM > 1/6/2025 04:25:44 PM > 1/6/2025 09:07:04 AM > 1/6/2025 04:47:36 PM","Approved > Certified",NA,"183795","65119","248914","A Subrecipient","No","248914","183795","65119","248914","FY2025","250349A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0319-P0001","NASA PMMCCST 2024","Masanori Saito","Atmospheric Science","Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Atmospheric Science","5/20/2025","5/19/2028","New","25-0319",2024-11-17 08:07:00,"504231","11/20/2024 12:00:00 AM",NA,NA,"Characterizing 3D Climatology of Liquid, Ice, and Mixed-Phase Cloud Properties Using CALIPSO-CloudSat Measurements and Bridging Toward The EarthCARE and AOS Missions","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Masanori Saito > John Ruess > Farrell Jean Rapp > Janissa Marie Analissia Martinez","11/17/2024 08:07:15 PM > 11/19/2024 01:15:15 AM > 11/19/2024 08:24:05 AM > 11/19/2024 08:25:34 AM > 11/19/2024 11:47:59 AM > 11/19/2024 02:23:16 PM > 11/20/2024 04:51:11 PM","edit > Submitted 11/20/2024.  24-PMMCCST24-0112",NA,"c11a34b2-451e-461f-9c28-18f1e76ae797",NA,NA,"11/19/2024 08:25:42 AM > 11/19/2024 11:47:59 AM > 11/19/2024 02:14:49 PM > 11/19/2024 12:39:56 PM > 11/19/2024 02:23:16 PM","Approved > Certified",NA,"360485","143746","504231",NA,"Yes","504231","360485","143746","504231","FY2025","250319A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"24-0148-P0001","NASA ROSES-2023 A.39 ECIPES","Masanori Saito","Atmospheric Science","Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Atmospheric Science","2/11/2024","2/10/2027","New","24-0148",2023-08-08 02:51:00,"289285","8/11/2023 12:00:00 AM",NA,NA,"Improving the cloud and precipitating hydrometeor type classification using the A-Train active sensor observations with a physics-based approach","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Masanori Saito > John Ruess > Farrell Jean Rapp > Tashina Lemons","8/8/2023 02:51:00 PM > 8/8/2023 03:19:04 PM > 8/8/2023 03:31:13 PM > 8/8/2023 03:57:37 PM > 8/8/2023 06:02:58 PM > 8/9/2023 09:49:19 AM > 8/11/2023 11:02:49 AM > 9/23/2024 03:09:08 PM","Submitted to sponsor 8/11/23 > NPSIRES is showing a proposal status of declined.",NA,"bfdf8a72-4fe1-4910-aff2-ac7a8f1c69df","Not Funded","5-8-23 > making edits","8/9/2023 09:49:19 AM > 8/9/2023 08:35:22 AM > 8/8/2023 06:33:22 PM > 8/8/2023 06:02:58 PM > 8/8/2023 04:00:29 PM > 8/8/2023 03:31:13 PM","Approved > Certified > Declined",NA,"210656","78629","289285",NA,"Yes","289285","210656","78629","289285","FY2024","240148A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
