"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Status","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Submitted to Sponsor","Under Consideration","Not Funded","Transfer","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date","Matched_Pattern","Project Manager","Joining Date","Total Start Up Funds","Months_to_submit_first_proposal","Months_to_submit_first_federal_grant"
"25-0005-P0001","Co-Developing and Prototyping A Multi-Agent System for Designing Personalized Learning Experiences for Students with Disabilities","Ling Zhang","Submitted to Sponsor","Department of Education",NA,"Counseling Leadership Advocacy & Design","3/1/2025","2/28/2026","New",NA,"25-0005","Counseling Leadership Advocacy & Design","U.S. Federal Government",NA,"7/5/2024 12:37:49 pm","499936","8/15/2024","Human-AI Teaming for Designing Multifaceted Personalized Learning: Prototyping an LLM-Powered Multi-Agent System","Proposal Created","Thomas Abraham Lentner","7/5/2024 12:37:48 pm",NA,NA,NA,"Passes pre-award checks.  Ready for review and approval","8/13/2024 12:09:44 pm","Approved",NA,"380468","119468",499936,NA,"Yes",2024-08-20 15:39:03,NA,"FY2025","250005A0001",NA,NA,NA,NA,0,1,0,0,0,1,2024-07-01,2024-08-20,"Ling.*Zhang","Ling Zhang",2024-08-20,"  12905.00",-1.7,0
"25-0079-P0001","Collaborative Research: HCC: Small: Robot-Rooms: Giving Form to Domestic Activity, On the Go","Ian Walker","Transfer","National Science Foundation",NA,"Electrical Engineering & Computer Science","8/15/2024","9/30/2025","Transfer",NA,"25-0079","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"8/22/2024 02:07:35 pm","89131","8/22/2024","Collaborative Research: HCC: Small: Robot-Rooms: Giving Form to Domestic Activity, On the Go","Proposal Created","John Ruess","8/22/2024 02:07:34 pm",NA,NA,NA,NA,"8/22/2024 02:33:48 pm","Approved",NA,"65198","23933",89131,NA,"Yes",2024-09-12 16:40:55,2024-09-12 10:41:04,"FY2025","250079A0001","ACTIVE",89131,"445MTDC1","College of Engineering & Physical Sciences",0,0,0,0,1,0,2024-09-12,2024-09-12,"Ian.*Walker","Ian Walker",2024-08-20," 108047.31",0.8,0.8
"25-0278-P0001","Collaborative Research: Plant-Inspired Growing Robots Operating in Multiple Time Scales","Ian Walker","Transfer","National Science Foundation",NA,"Electrical Engineering & Computer Science","11/1/2024","8/31/2027","Transfer",NA,"25-0278","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"10/30/2024 01:25:41 pm","297551","11/15/2024","Collaborative Research: Plant-Inspired Growing Robots Operating in Multiple Time Scales","Proposal Created","John Ruess","10/30/2024 01:25:40 pm",NA,NA,NA,NA,"10/31/2024 10:57:59 am","Approved",NA,"217966","79585",297551,"A collaborative proposal","No",2024-11-04 17:32:40,2024-11-26 09:27:49,"FY2025","250278A0001","ACTIVE",297551,"445MTDC1","College of Engineering & Physical Sciences",0,0,0,0,1,0,2024-09-12,2024-09-12,"Ian.*Walker","Ian Walker",2024-08-20," 108047.31",0.8,0.8
"24-0030-P0001","Collaborative Research: RAPID: A novel magnetometer network to capture the ongoing inflationary episode at Askja volcano, Iceland","Joseph Biasi","Funded","National Science Foundation",NA,"Geology & Geophysics","7/1/2023","7/31/2024","New",NA,"24-0030","Geology & Geophysics","U.S. Federal Government",NA,"7/11/2023 01:52:58 pm","17632","6/6/2023","Collaborative Research: RAPID: A novel magnetometer network to capture the ongoing inflationary episode at Askja volcano, Iceland","Proposal Created","Bryce Howard","7/11/2023 01:52:57 pm",NA,NA,NA,NA,"8/7/2023 11:38:07 am","Approved",NA,"13994","3638",17632,NA,"Yes",2023-08-08 20:30:36,2023-08-08 14:30:52,"FY2024","240030A0001",NA,17632,NA,"College of Engineering & Physical Sciences",1,0,0,0,0,1,2023-08-08,2023-08-08,"Joseph.*Biasi","Joseph Biasi",2023-08-22,"1015000.00",-0.5,-0.5
"24-0393-P0001","Combatting Foodborne Pathogens: Unraveling the pathogenic response to food safety efforts","Dana Kristen Dittoe","Not Funded","ADD NEW",NA,"Animal Science","6/1/2024","5/31/2027","New",NA,"24-0393","Animal Science","Non-Profit Organizations",NA,"9/12/2023 03:12:56 pm","300000","9/29/2023","Combatting Foodborne Pathogens: Unraveling the pathogenic response to food safety efforts","Proposal Created","Dana Kristen Dittoe","9/12/2023 03:12:55 pm",NA,NA,"Not Funded",NA,"9/29/2023 08:05:02 am","Approved",NA,"300000","0",3e+05,NA,"Yes",2023-09-29 15:31:13,NA,"FY2024","240393A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,1,2023-06-14,2023-08-09,"Dana.*Dittoe","Dana Dittoe",2023-01-13," 175000.00",5.1,6.9
"24-0476-P0001","Combining data streams across scales to investigate threats to caribou in a rapidly changing Arctic","Ellen Overton Aikens","Not Funded","National Science Foundation",NA,"School of Computing","9/1/2024","8/31/2029","New",NA,"24-0476","School of Computing","U.S. Federal Government",NA,"10/10/2023 04:15:06 pm","396871","12/5/2023","Combining data streams across scales to investigate threats to caribou in a rapidly changing Artctic","Proposal Created","Ellen Aikens","10/10/2023 04:15:06 pm",NA,NA,"Not Funded",NA,"12/5/2023 02:08:49 pm","Approved",NA,"292775","104096",396871,"A collaborative proposal","No",2023-12-08 21:33:22,NA,"FY2024","240476A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,1,2023-12-08,2023-12-08,"Ellen.*Aikens","Ellen Aikens",2023-08-22," 475000.00",3.6,3.6
"25-0128-P0001","Complexity building strategy through tandem ring-opening / ring-closing / cross metathesis for total synthesis of millipede indolizidine alkaloids and biological studies","Takashi L. Suyama","Submitted to Sponsor","National Science Foundation",NA,"Chemistry","1/1/2026","12/31/2028","New",NA,"25-0128","Chemistry","U.S. Federal Government",NA,"9/11/2024 09:06:02 am","350589","9/30/2024","Complexity building strategy through tandem ring-opening / ring-closing / cross metathesis for total synthesis of millipede indolizidine alkaloids and biological studies","Proposal Created","Takashi L. Suyama","9/11/2024 09:06:01 am",NA,NA,NA,"Passes pre-award checks.","9/25/2024 02:07:22 am","Approved",NA,"258853","91736",350589,NA,"Yes",2024-09-30 18:09:17,NA,"FY2025","250128A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-09-30,2024-09-30,"Takashi.*Suyama","Takashi Suyama",2024-08-20," 300000.00",1.4,1.4
"25-0470-P0001","Conserving behavioral performance under physiological challenge: lessons from a facultative hibernator","Nicole Lara Bedford","Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Zoology & Physiology","9/1/2025","8/31/2026","New",NA,"25-0470","Zoology & Physiology","U.S. Federal Government",NA,"1/21/2025 04:46:49 pm","124981.6","2/26/2025","Conserving behavioral performance under physiological challenge: lessons from a facultative hibernator","Proposal Created","Nicholas A. Giraldo","1/21/2025 04:46:48 pm",NA,NA,NA,"Passes pre-award checks.","2/24/2025 10:24:43 am","Approved",NA,"90352.1","34629.5",124981.6,NA,"Yes",2025-02-26 22:04:55,NA,"FY2025","250470A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2023-12-13,2023-12-13,"Nicole.*Bedford","Nicole Bedford",2021-08-17," 314926.00",28.3,28.3
"25-0533-P0001","DOE ASR FY2025","Masanori Saito","Submitted to Sponsor","U.S. Department of Energy",NA,"Atmospheric Science","9/1/2025","8/31/2028","New",NA,"25-0533","Atmospheric Science","U.S. Federal Government",NA,"2/11/2025 11:34:31 am","647869","2/27/2025","Elucidating the impact of spatial heterogeneity on cloud glaciation in Arctic mixed-phase clouds using ARM remote sensing observations and high-resolution simulations","Proposal Created","Masanori Saito","2/11/2025 11:34:31 am",NA,NA,NA,"Passes pre-award checks","2/25/2025 08:23:46 am","Approved",NA,"533301","114568",647869,NA,"Yes",2025-02-27 16:58:58,NA,"FY2025","250533A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2023-08-11,2023-08-11,"Masanori.*Saito","Masanori Saito",2023-08-22," 129393.92",-0.4,-0.4
"25-0316-P0001","DOE BNF: DE-FOA-0003420","Masanori Saito","Submitted to Sponsor","U.S. Department of Energy",NA,"Atmospheric Science","9/1/2025","8/31/2028","New",NA,"25-0316","Atmospheric Science","U.S. Federal Government",NA,"11/15/2024 02:56:25 pm","718833","11/21/2024","Improving E3SM by ARM-derived Observational Constraints of Convective Clouds and Precipitation in the Southeastern U.S.","Proposal Created","Masanori Saito","11/15/2024 02:56:25 pm",NA,NA,NA,NA,"11/18/2024 09:47:57 am","Approved",NA,"508998","209835",718833,NA,"Yes",2024-11-22 01:36:51,NA,"FY2025","250316A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2023-08-11,2023-08-11,"Masanori.*Saito","Masanori Saito",2023-08-22," 129393.92",-0.4,-0.4
"25-0276-P0001","DOE US-Danish wind energy project","Ankit Saxena","Submitted to Sponsor","U.S. Department of Energy",NA,"Mechanical Engineering","8/1/2025","7/31/2027","New",NA,"25-0276","Mechanical Engineering","U.S. Federal Government",NA,"10/30/2024 07:08:34 am","499937","1/14/2025","Optimized anchor systems for floating offshore wind: from manufacturing to design and maritime spatial planning","Proposal Created","Ankit Saxena","10/30/2024 07:08:34 am",NA,NA,NA,"Passes pre-award checks.","1/8/2025 05:03:00 pm","Approved",NA,"430686","69251",499937,NA,"Yes",2025-01-15 20:25:02,NA,"FY2025","250276A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-07,2024-10-07,"Ankit.*Saxena","Ankit Saxena",2024-08-20," 205783.00",1.6,1.6
"24-1099-P0001","Designing an automated machine learning method for large  scale aerial pronghorn monitoring","Benjamin Bryan Koger","Funded","ADD NEW",NA,"School of Computing","1/1/2025","12/31/2025","New",NA,"24-1099","School of Computing","U.S. Federal Government",NA,"6/21/2024 04:08:46 pm","264344","10/4/2024","Designing an automated machine learning method for large  scale aerial pronghorn monitoring","Proposal Created","Thomas Abraham Lentner","6/21/2024 04:08:46 pm",NA,NA,NA,NA,"10/3/2024 10:05:34 am","Approved",NA,"182937","81407",264344,NA,"Yes",2024-10-04 17:13:36,2024-12-18 12:26:58,"FY2025","241099A0001","ACTIVE",263334.66,"445MTDC1","College of Engineering & Physical Sciences",1,0,0,0,0,1,2024-10-04,2024-10-04,"Benjamin.*Koger","Benjamin Koger",2023-08-22," 225000.00",13.6,13.6
"25-0181-P0001","Developing novel artificial intelligence algorithms to generate critically appraised topics for evidence-based medical practice","Raphael Victor Vanderstichel","Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",NA,"Veterinary Science","8/1/2025","7/31/2027","New",NA,"25-0181","Wyoming State Veterinary Laboratory","U.S. Federal Government",NA,"9/30/2024 10:09:57 am","375669.63","10/16/2024","Enhancing Evidence-Based Medicine through AI-Driven Generation of Critically Appraised Topics","Proposal Created","Thomas Abraham Lentner","9/30/2024 10:09:56 am",NA,NA,NA,"Passes pre-award checks.  Uses modular NIH budget.","10/9/2024 02:32:33 pm","Approved",NA,"275000","100669.63",375669.63,NA,"Yes",2025-01-02 18:46:47,NA,"FY2025","250181A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2025-01-02,2025-01-02,"Raphael.*Vanderstichel","Raphael Vanderstichel",2024-04-15,"  10000.00",8.7,8.7
"25-0508-P0001","Development of Efficient & Durable Mass Timber Composite Panels","Garrett Andrew Tatum","Submitted to Sponsor","ADD NEW",NA,"Civil & Architectural Engineering & Construction Management","8/4/2025","8/3/2027","Pre-proposal",NA,"25-0508","Civil & Architectural Engineering & Construction Management","U.S. Federal Government",NA,"1/31/2025 10:00:27 am","385631","5/1/2025","Development of Efficient & Durable Mass Timber Composite Panels","Proposal Created","Garrett Andrew Tatum","1/31/2025 10:00:26 am",NA,NA,NA,NA,NA,"Not Completed",NA,"283343","102288",385631,NA,"Yes",2025-03-10 21:55:26,NA,"FY2025","250508A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-09,2024-10-09,"Garrett.*Tatum","Garrett Tatum",2024-08-20," 200000.00",1.7,1.7
"25-0126-P0001","Development of SERS-Active Coatings on Titanium Surfaces","Roberta Maia Sabino","Submitted to Sponsor","Massachusetts Institute of Technology","National Institutes of Health/Department of Health and Human Services","Chemical & Biomedical Engineering","8/1/2025","7/31/2029","New",NA,"25-0126","Chemical & Biomedical Engineering","Institutions of Higher Education",NA,"9/10/2024 02:53:06 pm","548045","9/23/2024","Development of SERS-Active Coatings on Titanium Surfaces: Toward a Sensing Platform for Real-Time Monitoring of Tissue Responses in Dental Implants","Proposal Created","Roberta Maia Sabino","9/10/2024 02:53:06 pm",NA,NA,NA,NA,"9/20/2024 04:13:30 pm","Approved",NA,"399725","148320",548045,"A Subrecipient","No",2024-10-03 21:55:33,NA,"FY2025","250126A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2023-10-05,2023-10-05,"Roberta.*Maia","Roberta Maia",2023-08-22," 256000.00",1.5,1.5
"25-0356-P0001","Development of Zwitterionic Tannin-Derived Biopolymer-based Coatings on Mechanical Heart Valves to Prevent Thrombosis","Roberta Maia Sabino","Submitted to Sponsor","American Heart Association",NA,"Chemical & Biomedical Engineering","7/1/2025","6/30/2027","New",NA,"25-0356","Chemical & Biomedical Engineering","Non-Profit Organizations",NA,"12/5/2024 08:39:42 am","200000","3/6/2025","Development of Zwitterionic Tannin-Derived Biopolymer-based Coatings on Mechanical Heart Valves to Prevent Thrombosis","Proposal Created","Roberta Maia Sabino","12/5/2024 08:39:41 am",NA,NA,NA,"Passes pre-award checks.  IDC limit approved","3/4/2025 10:29:16 am","Approved",NA,"$188353","$11647",2e+05,NA,"Yes",2025-03-06 17:11:50,NA,"FY2025","250356A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2023-10-05,2023-10-05,"Roberta.*Maia","Roberta Maia",2023-08-22," 256000.00",1.5,1.5
"23-1615-P0001","Development, validation, and implementation of diagnostic tests for SARS-CoV-2 and other pathogenic microorganisms of wildlife","Bledar Bisha","Funded","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Animal Science","5/18/2023","5/18/2026","New",NA,"23-1615","Animal Science","U.S. Federal Government",NA,"6/9/2023 04:55:00 pm","6276250","5/18/2023","Cooperative Agreement with Univ. Wyoming to develop and validate diagnostic tests for SARS-CoV-2 and other coronaviruses in wildlife.","Proposal Created","Bryce Howard","6/9/2023 04:54:59 pm",NA,NA,NA,NA,"6/21/2023 09:11:47 am","Cancelled",NA,"5705681.82","570568.18",6276250,NA,"Yes",2023-06-21 15:13:39,2023-06-21 09:13:50,"FY2023","231615A0001","ACTIVE",6276250,"10TDC","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,0,1,2023-06-21,2023-06-21,"Bledar.*Bisha","Bledar Bisha",2013-08-20,"  67500.00",119.7,119.7
"24-0845-P0001","Developmental pyrethroid exposure in the prairie vole as a model of environmental risk for autism","Rammohan Shukla","Submitted to Sponsor","ADD NEW","National Institutes of Health/Department of Health and Human Services","Zoology & Physiology","12/1/2026","11/30/2028","New",NA,"24-0845","Zoology & Physiology","Institutions of Higher Education",NA,"2/22/2024 01:07:20 pm","109253.91","2/27/2024","Developmental pyrethroid exposure in the prairie vole as a model of environmental risk for autism","Proposal Created","Tashina Lemons","2/22/2024 01:07:20 pm",NA,NA,NA,"Please correct end date.","2/23/2024 09:57:54 am","Approved",NA,"75608.24","33645.67",109253.91,"A Subrecipient","No",2024-02-23 21:24:56,2024-02-23 14:22:22,"FY2024","240845A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-23,2024-07-05,"Rammohan.*Shukla","Rammohan Shukla",2023-08-22," 407500.00",6.2,10.6
"25-0057-P0001","Discovering the Most Metal-poor Stars in our Milky Way Galaxy","Maxwell Cassady Moe","Submitted to Sponsor","National Aeronautics and Space Administration",NA,"Physics & Astronomy","5/1/2025","4/30/2027","New",NA,"25-0057","Physics & Astronomy","U.S. Federal Government",NA,"8/8/2024 03:05:41 pm","300000","8/15/2024","Discovering the Most Metal-poor Stars in our Milky Way Galaxy","Proposal Created","Maxwell Cassady Moe","8/8/2024 03:05:40 pm",NA,NA,NA,"Passes pre-award checks.  Ready for review and approval","8/13/2024 04:07:42 pm","Approved",NA,"218699","81301",3e+05,NA,"Yes",2024-08-15 21:01:15,NA,"FY2025","250057A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-03-15,2024-03-15,"Maxwell.*Moe","Maxwell Moe",2022-08-16," 113000.00",19.2,19.2
"25-0437-P0001","Discovery of novel anti-fungal metabolites protecting tardigrades during prolonged biostasis","Takashi L. Suyama","Submitted to Sponsor","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services",NA,"Chemistry","1/1/2026","12/31/2030","New",NA,"25-0437","Chemistry","U.S. Federal Government",NA,"1/14/2025 01:18:05 pm","1644892","1/28/2025","Discovery of novel anti-fungal metabolites protecting tardigrades during prolonged biostasis","Proposal Created","Takashi L. Suyama","1/14/2025 01:18:04 pm",NA,NA,NA,"Passes pre-award checks.","1/24/2025 02:54:39 pm","Approved",NA,"1175000","469892",1644892,NA,"Yes",2025-01-28 16:48:25,NA,"FY2025","250437A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-09-30,2024-09-30,"Takashi.*Suyama","Takashi Suyama",2024-08-20," 300000.00",1.4,1.4
"24-0085-P0001","Dittoe USDA SEED","Dana Kristen Dittoe","Funded","National Institute of Food and Agriculture/Department of Agriculture",NA,"Animal Science","4/1/2024","3/31/2025","New",NA,"24-0085","Animal Science","U.S. Federal Government",NA,"7/21/2023 11:21:33 am","299980","8/10/2023","Pre-Harvest Heat Stress: Disruption of Microbial Ecology and Subsequent Shelf-Life of Raw Poultry Products","Proposal Created","Dana Dittoe","7/21/2023 11:21:32 am",NA,NA,NA,NA,"8/9/2023 10:38:29 am","Approved",NA,"243552","56428",299980,NA,"Yes",2023-08-09 21:55:45,2024-07-03 14:42:31,"FY2024","240085A0001","ACTIVE",188114,"42857TDC","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,0,1,2023-06-14,2023-08-09,"Dana.*Dittoe","Dana Dittoe",2023-01-13," 175000.00",5.1,6.9
"24-0345-P0001","Diurnal Molecular Profiling of the Amygdala-Hippocampal Circuit and Involvement in Memory Consolidation","Rammohan Shukla","Not Funded","ADD NEW","National Institutes of Health/Department of Health and Human Services","Zoology & Physiology","7/1/2024","6/30/2029","Resubmission",NA,"24-0345","Zoology & Physiology","Institutions of Higher Education",NA,"8/25/2023 08:00:45 pm","312614.85","10/25/2023","Diurnal Molecular Profiling of the Amygdala-Hippocampal Circuit and Involvement in Memory Consolidation","Proposal Created","Rammohan Shukla","8/25/2023 08:00:45 pm",NA,NA,"Not Funded",NA,"10/25/2023 03:21:18 pm","Cancelled",NA,"216467.04","96147.81",312614.85,"A Subrecipient","No",2025-01-02 23:51:24,NA,"FY2025","240345A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,1,2024-02-23,2024-07-05,"Rammohan.*Shukla","Rammohan Shukla",2023-08-22," 407500.00",6.2,10.6
"25-0166-P0001","Diversity, structure, and post-transcriptional regulation of the Arginine Deiminase operon among oral bacteria and its implications for probiotic development","Allison E. Mann","Submitted to Sponsor","ADD NEW",NA,"Anthropology","7/1/2025","6/30/2027","New",NA,"25-0166","Anthropology","U.S. Federal Government",NA,"9/24/2024 04:13:42 pm","179332","10/16/2024","Diversity, structure, and post-transcriptional regulation of the Arginine Deiminase operon among oral bacteria and its implications for probiotic development","Proposal Created","Allison E. Mann","9/24/2024 04:13:41 pm",NA,NA,NA,"Passes pre-award checks.","10/11/2024 04:06:33 pm","Approved",NA,"131979","47353",179332,NA,"Yes",2024-10-16 18:20:56,NA,"FY2025","250166A0001",NA,NA,NA,"College of Arts & Sciences",0,1,0,0,0,1,2024-10-16,2024-10-16,"Allison.*Mann","Allison Mann",2024-08-20," 300000.00",1.9,1.9
"25-0227-P0001","Does Invasion Beget Invasion? Mechanisms and Consequences of Ecotype Transitions in  Rocky Mountain Forests","Sara J. Germain","Submitted to Sponsor","Forest Service/Department of Agriculture",NA,"Botany","1/1/2025","12/31/2028","New",NA,"25-0227","Botany","U.S. Federal Government",NA,"10/15/2024 01:20:03 pm","199910","11/1/2024","Does Invasion Beget Invasion? Mechanisms and Consequences of Ecotype Transitions in  Rocky Mountain Subalpine Forests","Proposal Created","Sara J. Germain","10/15/2024 01:20:02 pm",NA,NA,NA,NA,"11/1/2024 12:23:46 pm","Approved",199913,"162336","37574",399823,NA,"Yes",2024-11-01 20:23:30,NA,"FY2025","250227A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-09-12,2024-09-12,"Sara.*Germain","Sara Germain",2023-08-22,"  97500.00",12.9,12.9
"25-0464-P0001","EAGER: A study on the CQC conjecture - An information exclusion relation with applications in quantum information processing","Hasan Iqbal","Submitted to Sponsor","National Science Foundation",NA,"Electrical Engineering & Computer Science","3/1/2025","3/1/2027","New",NA,"25-0464","Electrical Engineering & Computer Science","U.S. Federal Government",NA,"1/21/2025 02:10:20 pm","180990","1/27/2025","EAGER: A study on the CQC conjecture - An information exclusion relation with applications in quantum information processing","Proposal Created","Hasan Iqbal","1/21/2025 02:10:20 pm",NA,NA,NA,"Passes pre-award checks with budget update","1/30/2025 02:14:29 pm","Approved",NA,"132763","48227",180990,NA,"Yes",2025-02-05 22:40:01,NA,"FY2025","250464A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2025-02-05,2025-02-05,"Hasan.*Iqbal","Hasan Iqbal",2024-08-20," 137000.00",5.6,5.6
"24-1037-P0001","EIDU Personalisation Research Proposal","Ling Zhang","Funded","EIDU GmbH","Bill and Melinda Gates Foundation","School of Teacher Education","7/1/2024","12/30/2024","New",NA,"24-1037","Counseling Leadership Advocacy & Design","Non-Profit Organizations","Foreign Industry","5/22/2024 04:16:27 pm","50000","6/14/2024","EIDU Personalization Research Proposal (Ling Zhang, PI)","Proposal Created","Thomas Abraham Lentner","5/22/2024 04:16:26 pm",NA,NA,NA,NA,NA,"Not Completed",NA,"45455","4545",50000,"A Subrecipient","No",2024-07-01 15:37:11,2025-01-14 13:30:14,"FY2025","241037A0001","ACTIVE",50000,"10TDC",NA,1,0,0,0,0,1,2024-07-01,2024-08-20,"Ling.*Zhang","Ling Zhang",2024-08-20,"  12905.00",-1.7,0
"25-0114-P0001","ERI","Juhyeon Ahn","Not Funded","National Science Foundation",NA,"Chemical & Biomedical Engineering","6/1/2025","5/31/2027","New",NA,"25-0114","Chemical & Biomedical Engineering","U.S. Federal Government",NA,"9/6/2024 02:37:27 pm","199713","10/9/2024","ERI: : Exploring Electrochemical Performance Mechanisms for High  Energy Density Batteries through Structurally Complex Materials","Proposal Created","Juhyeon Ahn","9/6/2024 02:37:26 pm",NA,NA,"Not Funded","Passes pre-award checks.  Ready for approval.","10/4/2024 02:52:07 pm","Approved",NA,"145720","53993",199713,NA,"Yes",2024-10-09 22:57:18,NA,"FY2025","250114A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,1,2024-10-09,2024-10-09,"Juhyeon.*Ahn","Juhyeon Ahn",2024-08-20," 297600.00",1.7,1.7
"25-0148-P0001","ERI: Improving the Vat Photopolymerization 3D-Printing of Soft Elastomers Through a Deeper  Understanding of Process Dynamics","Daniel Andrew Rau","Submitted to Sponsor","National Science Foundation",NA,"Mechanical Engineering","7/1/2025","7/1/2027","New",NA,"25-0148","Mechanical Engineering","U.S. Federal Government",NA,"9/17/2024 04:53:56 pm","198932","10/9/2024","ERI: Improving the Vat Photopolymerization 3D-Printing of Soft Elastomers Through a Deeper Understanding of Process Dynamics","Proposal Created","Daniel Andrew Rau","9/17/2024 04:53:56 pm",NA,NA,NA,"Passes pre-award checks.","10/4/2024 04:14:39 pm","Approved",NA,"148931","50002",198932,NA,"Yes",2024-10-09 21:34:50,NA,"FY2025","250148A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-09,2024-10-09,"Daniel.*Rau","Daniel Rau",2024-08-20," 234500.00",1.7,1.7
"25-0125-P0001","ERI: Quantifying Community-Level Damage Risk to Hazard-Induced Wood Rot","Garrett Andrew Tatum","Submitted to Sponsor","National Science Foundation",NA,"Civil & Architectural Engineering & Construction Management","8/4/2025","8/3/2027","New",NA,"25-0125","Civil & Architectural Engineering & Construction Management","U.S. Federal Government",NA,"9/10/2024 02:29:38 pm","199932","10/9/2024","ERI: Hazard Fragility Models for Decayed Wood-Framed Structural Assemblies","Proposal Created","Garrett Andrew Tatum","9/10/2024 02:29:38 pm",NA,NA,NA,"Passes pre-award checks.  Ready for approval.","10/3/2024 05:22:10 pm","Approved",NA,"145829","54103",199916,NA,"Yes",2024-10-09 21:20:12,NA,"FY2025","250125A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,0,1,2024-10-09,2024-10-09,"Garrett.*Tatum","Garrett Tatum",2024-08-20," 200000.00",1.7,1.7
"25-0143-P0001","Enabling Sustainable Greenhouses Through Robotic Harvesting Of Leafy Greens","Yaqoob Majeed","Submitted to Sponsor","Texas A&M University","National Institute of Food and Agriculture/Department of Agriculture","Electrical Engineering & Computer Science","8/1/2025","7/31/2029","New",NA,"25-0143","Engineering & Physical Sciences Deans Office","Institutions of Higher Education",NA,"9/13/2024 04:15:40 pm","299705","9/25/2024","Enabling Sustainable Greenhouses Through Robotic Harvesting Of Leafy Greens","Proposal Created","Yaqoob Majeed","9/13/2024 04:15:40 pm",NA,NA,NA,"Subaward on NIFA project.  IDC limited to 30% TFFA.  Passes pre-award checks","9/20/2024 09:51:01 am","Approved",NA,"222190","77515",299705,"A Subrecipient","No",2024-09-20 21:05:03,NA,"FY2025","250143A0001",NA,NA,NA,NA,0,1,0,0,0,1,2024-09-20,2024-11-06,"Yaqoob.*Majeed","Yaqoob Majeed",2024-08-20," 461700.00",1,2.6
"24-0648-P0001","Evaluating Telemedicine Related Opioid Use Disorder (OUD) Services in  Underserved Populations: A Comparison of Waiver and Post waiver Periods.","Lauren Rose Gilbert","Transfer","University of Houston","National Cancer Institute/National Institutes of Health/Department of Health and Human Services","Kinesiology & Health","8/28/2023","5/1/2025","Transfer",NA,"24-0648","Kinesiology & Health","Institutions of Higher Education","Institution of Higher Education - State","12/15/2023 08:59:00 am","$7704","3/22/2024","Evaluating Telemedicine Related Opioid Use Disorder (OUD) Services in  Underserved Populations: A Comparison of Waiver and Post waiver Periods.","Proposal Created","Lauren Rose Gilbert","12/15/2023 08:59:00 am",NA,NA,NA,NA,"4/2/2024 10:55:16 am","Approved",NA,"$5332","2373",7704,"A Subrecipient","No",2024-04-11 18:35:40,2024-09-13 15:37:53,"FY2024","240648A0001","ACTIVE",12532,"445MTDC1","College of Health Sciences",0,0,0,0,1,0,2023-11-14,2023-11-14,"Lauren.*Gilbert","Lauren Gilbert",2023-08-22,"  73331.50",2.8,2.8
