"Award #","PI","Project Title","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Increment Amount","PI Unit","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Amount","Award Id","Award Notice Received","Award Title","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","History Comment","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","nifa capacity grant","Prime Sponsor Org Type","Prime Sponsor Primary Code","project location","proposal type","Resolution","Routing Comment","Routing Date","Routing Status","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-1400-A0001-5","Eric P Webster","Hatch-Regular Capacity FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",1367659.51,"23-1400",1367659.51,NA,"In Closeout","3/24/2025 01:31:18 PM",NA,NA,"Agricultural Experiment Station",5,"Administrative Change","3/24/2025","Farrell Jean Rapp","Other Sponsored Activity",300000007170680,NA,"26679c7b-24ee-4f5d-beac-a61ad486f8c8","3/19/2025",NA,"9/30/2024","10/1/2022","10.203",NA,NA,1367659.51,NA,"NI23HFPXXXXXG039","Award Created","Legacy Loader","4/24/2023 07:38:36 PM",NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23HFPXXXXXG039",NA,"01-USDANIFA","U.S. Federal Government","1,367,659.51","2,735,319.02"
"23-1424-A0001-0","Eric P Webster","Animal Health and Disease Research Capacity, FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",4432,"23-1424",NA,NA,"Active","4/24/2023 07:40:01 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Basic Research",300000007170680,NA,"2816184b-1e7a-4bb9-ba51-0dc6f63da964",NA,NA,"9/30/2024","10/1/2022","10.207",NA,NA,NA,NA,"NI23AHDRXXXXG063",NA,NA,NA,NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI23AHDRXXXXG063",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-1424-A0001-1","Eric P Webster","Animal Health and Disease Research Capacity, FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/30/2022","9/29/2024","Agricultural Experiment Station",20385,"23-1424",20385,NA,"Active","6/28/2023 09:24:59 AM",NA,NA,"Agricultural Experiment Station",1,"New Funding Increment","6/28/2023","Kristi Stockdale","Basic Research",300000007170680,NA,"2816184b-1e7a-4bb9-ba51-0dc6f63da964",NA,NA,"9/30/2024","10/1/2022","10.207","Agricultural Experiment Station",300000007170680,20385,NA,"NI23AHDRXXXXG063",NA,NA,NA,NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23AHDRXXXXG063",NA,"01-USDANIFA","U.S. Federal Government",NA,"20,385.00"
"23-1424-A0001-2","Eric P Webster","Animal Health and Disease Research Capacity, FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",20385,"23-1424",20385,NA,"Active","6/30/2023 10:19:17 AM",NA,NA,"Agricultural Experiment Station",2,"Administrative Change","6/30/2023","Kristi Stockdale","Basic Research",300000007170680,NA,"2816184b-1e7a-4bb9-ba51-0dc6f63da964",NA,NA,"9/30/2024","10/1/2022","10.207","Agricultural Experiment Station",300000007170680,20385,NA,"NI23AHDRXXXXG063",NA,NA,NA,NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23AHDRXXXXG063",NA,"01-USDANIFA","U.S. Federal Government",NA,"20,385.00"
"23-1424-A0001-3","Eric P Webster","Animal Health and Disease Research Capacity, FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","Agricultural Experiment Station",20385,"23-1424",20385,NA,"In Closeout","9/7/2023 08:16:57 AM",NA,NA,"Agricultural Experiment Station",3,"Other Modifications","9/7/2023","Kristi Stockdale","Basic Research",300000007170680,NA,"2816184b-1e7a-4bb9-ba51-0dc6f63da964",NA,NA,"9/30/2024","10/1/2022","10.207","Agricultural Experiment Station",300000007170680,20385,NA,"NI23AHDRXXXXG063","Award Created","Legacy Loader","4/24/2023 07:40:01 PM",NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI23AHDRXXXXG063",NA,"01-USDANIFA","U.S. Federal Government",NA,"20,385.00"
"23-0885-A0001-0","Daniel Charles Laughlin","Applying trait-based approaches to understand the causes and consequences of invasion","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"6/15/2021","6/14/2023","Botany",164210,"23-0885",NA,NA,"Active","4/24/2023 07:09:11 PM",NA,NA,"Botany",0,"Original Award",NA,NA,"Basic Research",300000007170631,NA,"28cee420-ec81-4dea-95a3-c76aa714bf69",NA,NA,"6/14/2023","6/15/2021","10.310",NA,NA,NA,NA,"20216703435000",NA,NA,NA,NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35000",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0885-A0001-1","Magda Garbowski","Applying trait-based approaches to understand the causes and consequences of invasion","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"6/15/2021","6/14/2024","Botany",164210,"23-0885",NA,NA,"Active","7/17/2023 10:55:12 AM",NA,NA,"Botany",1,"Sponsor Approved No Cost Extension","7/17/2023","Kasi Smart","Basic Research",300000007170631,NA,"28cee420-ec81-4dea-95a3-c76aa714bf69",NA,NA,"6/14/2024","6/15/2021","10.310",NA,NA,NA,NA,"20216703435000",NA,NA,NA,NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35000",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0885-A0001-2","Magda Garbowski","Applying trait-based approaches to understand the causes and consequences of invasion","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"6/15/2021","6/14/2024","Botany",164210,"23-0885",NA,NA,"In Closeout","8/9/2023 03:30:21 PM",NA,NA,"Botany",2,"Scope Change","8/9/2023","Kasi Smart","Basic Research",300000007170631,NA,"28cee420-ec81-4dea-95a3-c76aa714bf69",NA,NA,"6/14/2024","6/15/2021","10.310",NA,NA,164210,NA,"20216703435000",NA,NA,NA,NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35000",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0885-A0001-3","Magda Garbowski","Applying trait-based approaches to understand the causes and consequences of invasion","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"6/15/2021","6/14/2025","Botany",164210,"23-0885",NA,NA,"Active","3/29/2024 01:17:34 PM",NA,NA,"Botany",3,"Sponsor Approved No Cost Extension","3/29/2024","Tashina Lemons","Basic Research",300000007170631,NA,"28cee420-ec81-4dea-95a3-c76aa714bf69",NA,NA,"6/14/2025","6/15/2021","10.310",NA,NA,164210,NA,"20216703435000","Award Created","Legacy Loader","4/24/2023 07:09:11 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-67034-35000",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0512-A0001","Eric P Webster","Hatch-Multistate Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2019","9/30/2022","Agriculture & Applied Economics",753146,"23-0512",NA,NA,"Closed","4/24/2023 06:48:24 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,NA,300000007170651,NA,"2ed4622c-55fa-44a1-8a11-3d7ac8027916","5/12/2020",NA,"9/30/2022","10/1/2019","10.203",NA,NA,NA,NA,"NI20HMFPXXXXG040","Award Created","Legacy Loader","4/24/2023 06:48:24 PM",NA,NA,"Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI20HMFPXXXXG040",NA,"01-USDANIFA",NA,NA,NA
"25-0133-A0001-0","Amanda Sue Marney","Special Needs Capacity Grant (SLSN)","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2029","UW Extension",9781,"25-0133",87902,NA,"Active","1/16/2025 09:13:40 AM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170503,NA,"2fb001ed-c0a0-452d-92ea-37b2b7417244","12/6/2024",NA,"9/30/2029","10/1/2024","10.511","UW Extension",300000007170503,9781,"No","NI25SLSNXXXXG008",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25SLSNXXXXG008",NA,"01-USDANIFA","U.S. Federal Government","9,781.00","87,902.00"
"25-0133-A0001-1","Amanda Sue Marney","Special Needs Capacity Grant (SLSN)","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2029","UW Extension",20094,"25-0133",87902,NA,"Active","3/27/2025 10:54:15 AM",NA,NA,"UW Extension",1,"New Funding Increment","3/27/2025","Evelyn Renee Kelley","Other Sponsored Activity",300000007170503,NA,"2fb001ed-c0a0-452d-92ea-37b2b7417244","3/24/2025",NA,"9/30/2029","10/1/2024","10.511","UW Extension",300000007170503,20094,"No","NI25SLSNXXXXG008-0001",NA,NA,NA,NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25SLSNXXXXG008-0001",NA,"01-USDANIFA","U.S. Federal Government","20,094.00","87,902.00"
"25-0133-A0001-2","Amanda Sue Marney","Special Needs Capacity Grant (SLSN)","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,"10/1/2024","9/30/2029","UW Extension",32964,"25-0133",87902,NA,"Active","5/21/2025 02:04:33 PM",NA,NA,"UW Extension",2,"New Funding Increment","5/21/2025","Evelyn Renee Kelley","Other Sponsored Activity",300000007170503,NA,"2fb001ed-c0a0-452d-92ea-37b2b7417244","5/21/2025",NA,"9/30/2029","10/1/2024","10.511","UW Extension",300000007170503,32964,"No","NI25SLSNXXXXG008","Award Created","Farrell Jean Rapp","1/16/2025 09:13:39 AM",NA,"Yes","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,NA,"On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25SLSNXXXXG008-0002",NA,"01-USDANIFA","U.S. Federal Government","32,964.00","87,902.00"
"23-0585-A0001-0","Jill Fabricius Keith","Growing Season: Native Student Pathways to Food System and Sovereignty Studies","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2020","8/31/2024","Family & Consumer Sciences",288986,"23-0585",NA,NA,"Active","4/24/2023 06:52:25 PM",NA,NA,"Family & Consumer Sciences",0,"Original Award",NA,NA,NA,300000007170164,NA,"3264adb2-ceb6-4bfc-91a0-c4a2f116cb32",NA,NA,"8/31/2024","9/1/2020","10.527",NA,NA,NA,NA,"20207041132776",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,"34% MTDC",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2020-70411-32776",NA,"01-USDANIFA",NA,NA,NA
"23-0585-A0001-1","Jill Fabricius Keith","Growing Season: Native Student Pathways to Food System and Sovereignty Studies","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2020","8/31/2025","Family & Consumer Sciences",288986,"23-0585",288986,NA,"Active","8/21/2024 08:21:40 AM",NA,NA,"Family & Consumer Sciences",1,"Sponsor Approved No Cost Extension","8/21/2024","Kristi Hargis Stockdale","Basic Research",300000007170164,NA,"3264adb2-ceb6-4bfc-91a0-c4a2f116cb32",NA,NA,"8/31/2025","9/1/2020","10.527","Family & Consumer Sciences",300000007170164,231895.26,NA,"20207041132776","Award Created","Legacy Loader","4/24/2023 06:52:25 PM",NA,"No","Other Sponsored Activities",NA,"34% MTDC",57091,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"2020-70411-32776",NA,"01-USDANIFA","U.S. Federal Government","290,703.70","288,989.00"
"23-0120-A0001","Scott P. Schell","UW-IPM Extension Team Crop Protection and Pest Management-Extension Implementation Program Projects","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2017","8/31/2022","Ecosystem Science & Management",670166.54,"23-0120",NA,NA,"Closed","4/24/2023 06:24:38 PM",NA,NA,"Ecosystem Science & Management",0,"Original Award",NA,NA,NA,300000007170672,NA,"342a8c9a-6075-4806-8254-be9e0db8b173","9/15/2017",NA,"8/31/2022","9/1/2017","10.329",NA,NA,NA,NA,"2017700627281","Award Created","Legacy Loader","4/24/2023 06:24:38 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"2017-70006-27281",NA,"01-USDANIFA",NA,NA,NA
"24-0485-A0001-0","Eric P Webster","Hatch-Multistate Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2023","9/30/2025","Agricultural Experiment Station",308604,"24-0485",308604,NA,"Active","2/21/2024 07:28:53 AM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170680,NA,"35632771-41d6-4f2b-8d09-9f8467d2556f","2/20/2024",NA,"9/30/2025","10/1/2023","10.203","Agricultural Experiment Station",300000007170680,308604,NA,"NI24HMFPXXXXG055",NA,NA,NA,NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI24HMFPXXXXG055",NA,"01-USDANIFA","U.S. Federal Government","308,604.00","617,208.00"
"24-0485-A0001-1","Eric P Webster","Hatch-Multistate Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2023","9/30/2025","Agricultural Experiment Station",774148,"24-0485",774148,NA,"Active","6/5/2024 07:12:59 PM",NA,NA,"Agricultural Experiment Station",1,"New Funding Increment","6/5/2024","Kristi Hargis Stockdale","Other Sponsored Activity",300000007170680,NA,"35632771-41d6-4f2b-8d09-9f8467d2556f","2/20/2024",NA,"9/30/2025","10/1/2023","10.203","Agricultural Experiment Station",300000007170680,774148,NA,"NI24HMFPXXXXG055",NA,NA,NA,NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI24HMFPXXXXG055",NA,"01-USDANIFA","U.S. Federal Government","308,604.00","617,208.00"
"24-0485-A0001-2","Eric P Webster","Hatch-Multistate Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2023","9/30/2025","Agricultural Experiment Station",774148,"24-0485",774148,NA,"Active","7/17/2024 05:01:10 PM",NA,NA,"Agricultural Experiment Station",2,"Other Modifications","7/17/2024","Kristi Hargis Stockdale","Basic Research",300000007170680,NA,"35632771-41d6-4f2b-8d09-9f8467d2556f","2/20/2024",NA,"9/30/2025","10/1/2023","10.203","Agricultural Experiment Station",300000007170680,774148,NA,"NI24HMFPXXXXG055","Award Created","Courtney Peatross","2/21/2024 07:28:53 AM",NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI24HMFPXXXXG055",NA,"01-USDANIFA","U.S. Federal Government","308,604.00","617,208.00"
"24-0184-A0001",NA,"McIntire-Stennis Capacity FY23 - Plant Science","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,NA,NA,NA,0,"24-0184",NA,NA,"Active","8/18/2023 02:52:59 PM",NA,NA,NA,0,"Original Award",NA,NA,NA,NA,NA,"3c1bfd6d-e295-4630-ae13-c8c70d30b2d4",NA,NA,NA,NA,"10.202",NA,NA,NA,NA,"NI23MSCFRXXXG066","Award Created","Legacy Loader","8/18/2023 02:52:58 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI23MSCFRXXXG066",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"24-0219-A0001",NA,"FFY19 Smith Lever 3(b) & (c) (2018-2023)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2019","UW Extension",1747739,"24-0219",NA,NA,"Closed","8/18/2023 02:55:09 PM",NA,NA,NA,0,"Original Award",NA,NA,NA,300000007170503,NA,"42c53d54-f5b6-4c43-88b9-0773b8480c26",NA,NA,"9/30/2019","10/1/2018","10.511",NA,NA,NA,NA,NA,"Award Created","Legacy Loader","8/18/2023 02:55:08 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Complete",NA,NA,NA,"NI19SLBCXXXXG048",NA,"01-USDANIFA",NA,NA,NA
"24-0085-A0001","Dana Kristen Dittoe","Dittoe USDA SEED","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"7/1/2024","6/30/2026","Animal Science",3e+05,"24-0085",3e+05,NA,"Active","7/3/2024 02:16:20 PM",NA,NA,"Animal Science",0,"Original Award",NA,NA,"Applied Research",300000007169996,NA,"44c3c486-6a4c-4db2-aef3-d2a342790f34","5/23/2024",NA,"6/30/2026","7/1/2024","10.310","Animal Science",300000007169996,243552,NA,"20246701642386","Award Created","Kristi Hargis Stockdale","7/3/2024 02:16:20 PM",NA,"No","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",56448,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"2024-67016-42386",NA,"01-USDANIFA","U.S. Federal Government",NA,"299,980.00"
"24-0482-A0001-0","Eric P Webster","McIntire-Stennis Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2023","9/30/2025","Agricultural Experiment Station",102570,"24-0482",102570,NA,"Active","2/22/2024 02:44:09 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170680,NA,"50449342-8851-418e-96af-5682ca873522","2/22/2024",NA,"9/30/2025","10/1/2023","10.202","Agricultural Experiment Station Department",300000029794623,102570,NA,"NI24MSCFRXXXG079",NA,NA,NA,NA,"No","Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New",NA,NA,NA,NA,"NI24MSCFRXXXG079",NA,"01-USDANIFA","U.S. Federal Government","102,570.00","205,140.00"
"24-0482-A0001-1","Eric P Webster","McIntire-Stennis Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2023","9/30/2025","Agricultural Experiment Station",102570,"24-0482",102570,NA,"Closed","3/8/2024 12:53:18 PM",NA,NA,"Agricultural Experiment Station",1,"Internal Change ONLY","3/8/2024","Courtney Peatross","Basic Research",300000007170680,NA,"50449342-8851-418e-96af-5682ca873522","2/22/2024",NA,"9/30/2025","10/1/2023","10.202","Agricultural Experiment Station Department",300000029794623,102570,NA,"NI24MSCFRXXXG079","Award Created","Kristi Hargis Stockdale","2/22/2024 02:44:08 PM",NA,"No","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","New","Admin Closed",NA,NA,NA,"NI24MSCFRXXXG079",NA,"01-USDANIFA","U.S. Federal Government","102,570.00","205,140.00"
"23-0121-A0001","Amanda Renee Hitshew-Small","Wind River Federally Recognized Tribes Extension Program","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2017","8/31/2022","UW Extension",453210.76,"23-0121",NA,NA,"Closed","4/24/2023 06:24:42 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"552bb511-010c-465e-9b78-4573b4aea80f","7/14/2017",NA,"8/31/2022","9/1/2017","10.500",NA,NA,NA,NA,"20174158026918","Award Created","Legacy Loader","4/24/2023 06:24:42 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"2017-41580-26918",NA,"01-USDANIFA",NA,NA,NA
"23-0275-A0001","Kelly Keith Crane","University of Wyoming Extension - EFNEP (2018-2023) - Paraprofessional Account","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2023","UW Extension",277063,"23-0275",NA,NA,"Closed","4/24/2023 06:33:43 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"55a523c9-b5c0-4e77-9712-30a534c0a9e8","2/7/2019",NA,"9/30/2023","10/1/2018","10.514",NA,NA,NA,NA,"NI19EFNEPXXXG027","Award Created","Legacy Loader","4/24/2023 06:33:43 PM",NA,NA,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,"Complete",NA,NA,NA,"NI19EFNEPXXXG027",NA,"01-USDANIFA",NA,NA,NA
"23-1001-A0001-0","John P. Hewlett","New Proposal Growing Beginning Farmers and Ranchers in Wyoming                                               Growing Beginning Farmers and Ranchers in Wyoming","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2024","Agriculture & Applied Economics",750000,"23-1001",NA,NA,"Active","4/24/2023 07:15:35 PM",NA,NA,"Agriculture & Applied Economics",0,"Original Award",NA,NA,"Experimental Development",300000007170651,NA,"57624b1b-5f84-4353-8da3-a48b82bc9761","9/8/2021",NA,"8/31/2024","9/1/2021","10.311",NA,NA,NA,NA,"20214940035594",NA,NA,NA,NA,NA,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-49400-35594",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-1001-A0001-1","John P. Hewlett","New Proposal Growing Beginning Farmers and Ranchers in Wyoming                                               Growing Beginning Farmers and Ranchers in Wyoming","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2025","Agriculture & Applied Economics",750000,"23-1001",750000,NA,"Active","8/15/2024 01:49:00 PM",NA,NA,"Agriculture & Applied Economics",1,"Grantee Approved No Cost Extension","8/15/2024","Inna Willis","Experimental Development",300000007170651,NA,"57624b1b-5f84-4353-8da3-a48b82bc9761","9/8/2021",NA,"8/31/2025","9/1/2021","10.311",NA,NA,NA,NA,"20214940035594","Award Created","Legacy Loader","4/24/2023 07:15:34 PM",NA,NA,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"2021-49400-35594",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0457-A0001","Kelly Keith Crane","University of Wyoming Smith-Lever RREA","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2019","9/30/2022","UW Extension",50794,"23-0457",NA,NA,"Closed","4/24/2023 06:45:02 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"5867f169-7d90-41a6-b1e2-cc2203053161","4/22/2020",NA,"9/30/2022","10/1/2019","10.515",NA,NA,NA,NA,"NI20RREAFXXXG043","Award Created","Legacy Loader","4/24/2023 06:45:02 PM",NA,NA,"Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,"Admin Closed",NA,NA,NA,"NI20RREAFXXXG043",NA,"01-USDANIFA",NA,NA,NA
"23-1397-A0001-0","Kelly Keith Crane","University of Wyoming Smith-Lever RREA FY23","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2022","9/30/2024","UW Extension",10058,"23-1397",NA,NA,"Active","4/24/2023 07:38:27 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,"Other Sponsored Activity",300000007170503,NA,"5f9e9e33-7fdc-442d-aa3b-650a5221cf2b","11/22/2022",NA,"9/30/2024","10/1/2022","10.515",NA,NA,NA,NA,"NI23RREAFXXXG023",NA,NA,NA,NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI23RREAFXXXG023",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
