"Award #","PI","PI Unit","Admin Unit","Project Title","Sponsor","Prime Sponsor","Award Start Date","Award End Date","Obligated Amount","Project #","Total Expected Amount","Status","Created Date","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Id","Award Notice Received","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","Prime Sponsor Primary Code","project location","proposal type","Resolution","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-0634-A0001","Linda T.A. van Diepen","Ecosystem Science & Management","Ecosystem Science & Management","Nitrogen Limitation in High-Elevation Hay Meadows: Understanding Processes for Improved Agroecosystem Health, Function, and Management","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","1/1/2021","12/31/2024",499985,"23-0634",,"Closed","4/24/2023 06:55:10 PM",0,"Original Award",,,,300000007170672,"f020a1c3-f095-4592-9eed-2b0ea9013c95",,"12/31/2024","1/1/2021","10.310",,,,,"20216702033422","Award Created","Legacy Loader","4/24/2023 06:55:09 PM",,"Research",,"44.5% MTDC",,"01-USDANIFA","On Campus",,"Complete","2021-67020-33422",,"01-USDANIFA",,,
"23-0642-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Smith-Lever Special Needs (FY21)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2025",43951,"23-0642",,"Active","4/24/2023 06:55:38 PM",0,"Original Award",,,,300000007170503,"1dd44a48-0169-495a-a6b5-f9f26237f9e7","12/7/2020","9/30/2025","10/1/2020","10.511",,,,,"NI21SLSNXXXXG006",,,,,"Other Sponsored Activities",,,,"01-USDANIFA","Off Campus",,,"NI21SLSNXXXXG006",,"01-USDANIFA",,,
"23-0653-A0001","Eric P Webster","Agricultural Experiment Station","Agriculture & Applied Economics","Hatch-Regular Capacity FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2022",1353035,"23-0653",,"Closed","4/24/2023 06:56:15 PM",0,"Original Award",,,,300000007170651,"f8bcf168-2920-488f-a24c-8d816936a8ba","12/15/2020","9/30/2022","10/1/2020","10.203",,,,,"NI21HFPXXXXXG026","Award Created","Legacy Loader","4/24/2023 06:56:15 PM",,"Research",,,,"01-USDANIFA","Off Campus",,"Admin Closed","NI21HFPXXXXXG026",,"01-USDANIFA",,,
"23-0657-A0001","Eric P Webster","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources Deans Office","Hatch-Multistate Capacity FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2022",763482,"23-0657",,"Closed","4/24/2023 06:56:28 PM",0,"Original Award",,,,300000006254272,"0d9491eb-c8c0-4e29-987b-d1e757fbdf9e","11/10/2020","9/30/2022","10/1/2020","10.203",,,,,"NI21HMFPXXXXG049","Award Created","Legacy Loader","4/24/2023 06:56:28 PM",,"Other Sponsored Activities",,,,"01-USDANIFA","Off Campus",,"Admin Closed","NI21HMFPXXXXG049",,"01-USDANIFA",,,
"23-0659-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Smith-Lever RREA FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2022",47897,"23-0659",,"Closed","4/24/2023 06:56:34 PM",0,"Original Award",,,,300000007170503,"ddc1bc6b-414d-40de-93ea-8845198ea6ac",,"9/30/2022","10/1/2020","10.515",,,,,"NI21RRREAFXXXG067","Award Created","Legacy Loader","4/24/2023 06:56:34 PM",,"Other Sponsored Activities",,,,"01-USDANIFA","Off Campus",,"Admin Closed","NI21RREAFXXXG067",,"01-USDANIFA",,,
"23-0661-A0001","Melinda Denise Meuli","UW Extension","UW Extension","University of Wyoming Extension - EFNEP (FY21)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2025",278135,"23-0661",,"Active","4/24/2023 06:56:41 PM",0,"Original Award",,,,300000007170503,"ade0592d-9465-43e4-b632-65b27e79e0a1",,"9/30/2025","10/1/2020","10.514",,,,,"NI21EFNEPXXXG050","Award Created","Legacy Loader","4/24/2023 06:56:41 PM",,"Other Sponsored Activities",,,,"01-USDANIFA","Off Campus",,,"NI21EFNEPXXXG050",,"01-USDANIFA",,,
"23-0664-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2025",1738325,"23-0664",,"Active","4/24/2023 06:56:51 PM",0,"Original Award",,,,300000007170503,"1f95941c-1171-4e67-b5ff-5124731edf2f",,"9/30/2025","10/1/2020","10.511",,,,,"NI21SLBCXXXXG040",,,,,"Research",,,,"01-USDANIFA","Off Campus",,,"NI21SLBCXXXXG040",,"01-USDANIFA",,,
"23-0665-A0001","Eric P Webster","Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources Deans Office","McIntire-Stennis Capacity FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2022",243617,"23-0665",,"Closed","4/24/2023 06:56:55 PM",0,"Original Award",,,,300000006254272,"e4523e33-2d85-473b-a599-fb167ff6e47d",,"9/30/2022","10/1/2020","10.202",,,,,"NI21MSCFRXXXG058","Award Created","Legacy Loader","4/24/2023 06:56:54 PM",,"Other Sponsored Activities",,,,"01-USDANIFA","Off Campus",,"Admin Closed","NI21MSCFRXXXG058",,"01-USDANIFA",,,
"23-0676-A0001","Caitlin Price Youngquist","UW Extension","UW Extension","Western SARE State Implementation Grant 2020 for Wyoming (PDP Funds)","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","10/1/2019","6/30/2022",28636,"23-0676",,"Closed","4/24/2023 06:57:31 PM",0,"Original Award",,,"Basic Research",300000007170503,"189fc41a-7c3a-489a-ae0c-16e4b6c9a0a6",,"6/30/2022","10/1/2019","10.215",,,,,"20193864029880","Award Created","Legacy Loader","4/24/2023 06:57:31 PM",,"Research",,,,"01-USDANIFA","Off Campus",,"Admin Closed","G114-21-W7905",,"06-MTSU",,,
"23-0738-A0001","Barbara Ann Rasco","College of Agriculture, Life Sciences & Natural Resources Deans Office","College of Agriculture, Life Sciences & Natural Resources Deans Office","Animal Health and Disease Research Capacity, FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2020","9/30/2022",22060,"23-0738",,"Closed","4/24/2023 07:00:57 PM",0,"Original Award",,,,300000006254272,"9c49d029-a519-44bf-872a-8784f0233486","4/7/2021","9/30/2022","10/1/2020","10.207",,,,,"NI21AHDRXXXXG019","Award Created","Legacy Loader","4/24/2023 07:00:56 PM",,"Other Sponsored Activities",,,,"01-USDANIFA","Off Campus",,"Admin Closed","NI21AHDRXXXXG019",,"01-USDANIFA",,,
"23-0832-A0001-0","Christopher Jeremy Block","Animal Science","Animal Science","Reproductive Biotechnology Concentration at University of Florida","University of Florida","National Institute of Food and Agriculture/Department of Agriculture","1/15/2021","1/14/2025",41000,"23-0832",,"Active","4/24/2023 07:06:14 PM",0,"Original Award",,,"Instruction",300000007169996,"af7c2636-65ac-4662-b376-23111d873a69","6/4/2021","1/14/2025","1/15/2021","10.210",,,,,"20213842034067",,,,,"Instruction",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"SUB00002671",,"06-UFLOR","Institutions of Higher Education",,
"23-0869-A0001","Chhaya M. Werner","EPSCoR/IDEA Office","EPSCoR/IDEA Office","Using the past to manage the future: lagged species effects on forage in variable climates","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2023",165000,"23-0869",,"In Closeout","4/24/2023 07:08:18 PM",0,"Original Award",,,"Basic Research",300000007170131,"92773b9b-ec36-4f3b-a20f-45d4ef3e6f17","6/13/2021","8/31/2023","9/1/2021","10.310",,,,,"2021-67034-35231","Award Created","Legacy Loader","4/24/2023 07:08:18 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"2021-67034-35231",,"01-USDANIFA","U.S. Federal Government",,
"23-0884-A0001-0","Hilary Joy Flint","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Incentivizing working lands conservation through evidence-based program design","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2023",165000,"23-0884",,"Active","4/24/2023 07:09:08 PM",0,"Original Award",,,"Basic Research",300000007170093,"74e035a4-3844-49cd-8ae0-18caf26eb5b8",,"8/31/2023","9/1/2021","10.310",,,,,"20216703435005",,,,,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"2021-67034-35005",,"01-USDANIFA","U.S. Federal Government",,
"23-0885-A0001-0","Magda Garbowski","Botany","Botany","Applying trait-based approaches to understand the causes and consequences of invasion","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","6/15/2021","6/14/2023",164210,"23-0885",,"Active","4/24/2023 07:09:11 PM",0,"Original Award",,,"Basic Research",300000007170631,"28cee420-ec81-4dea-95a3-c76aa714bf69",,"6/14/2023","6/15/2021","10.310",,,,,"20216703435000",,,,,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"2021-67034-35000",,"01-USDANIFA","U.S. Federal Government",,
"23-0939-A0001","William L. Stump","Plant Sciences","Plant Sciences","Great Plains Plant Diagnostic Network 2021-2022","Kansas State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2023",15000,"23-0939",,"In Closeout","4/24/2023 07:12:11 PM",0,"Original Award",,,"Applied Research",300000007170664,"96cf6c08-0947-43c0-8744-1996f89efbe6","9/2/2021","8/31/2023","9/1/2021","10.304",,,,,"2021-37621-35790","Award Created","Legacy Loader","4/24/2023 07:12:11 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"A22-0145-S007",,"06-KSUNI","Institutions of Higher Education",,
"23-0971-A0001-0","Cody Lynn Gifford","Animal Science","Animal Science","Rancher to Consumer Meat Connection","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","5/1/2021","1/31/2023",75648,"23-0971",,"In Closeout","4/24/2023 07:13:56 PM",0,"Original Award",,,"Experimental Development",300000007169996,"e7a60928-24e3-4ef6-963f-4fd6fba4423d","8/12/2021","1/31/2023","5/1/2021","10.215",,,,,"20193864029880",,,,,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"G214-22-W7903",,"06-MTSU","Institutions of Higher Education",,
"23-0986-A0001-0","Scott P. Schell","Ecosystem Science & Management","Ecosystem Science & Management","University of Wyoming Extension Implementation Program Team Plan","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2023",254735,"23-0986",,"Active","4/24/2023 07:14:45 PM",0,"Original Award",,,"Basic Research",300000007170672,"1927c93e-544d-4683-89c5-4ac4b4662454",,"8/31/2023","9/1/2021","10.329",,,,,"20217000635482",,,,,"Research",,,,"01-USDANIFA","Off Campus",,,"20217000635482",,"01-USDANIFA","U.S. Federal Government",,
"23-0986-A0001-1","Scott P. Schell","Ecosystem Science & Management","Ecosystem Science & Management","University of Wyoming Extension Implementation Program Team Plan","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2024",362104,"23-0986",362104,"Active","9/27/2023 02:12:51 PM",1,"New Funding Increment","9/27/2023","Kristi Stockdale","Basic Research",300000007170672,"1927c93e-544d-4683-89c5-4ac4b4662454",,"8/31/2024","9/1/2021","10.329","Ecosystem Science & Management",300000007170672,362104,,"20217000635482",,,,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,0,"01-USDANIFA","[Off Campus]","New",,"20217000635482",,"01-USDANIFA","U.S. Federal Government",,"362,104.00"
"23-0997-A0001-0","Cody Lynn Gifford","Animal Science","Animal Science","Strengthening Opportunities Along the Meat Supply Chain to Promote Sustainable Agriculture in Intermountain States","Colorado State University","National Institute of Food and Agriculture/Department of Agriculture","4/1/2021","3/25/2024",29920,"23-0997",,"Active","4/24/2023 07:15:22 PM",0,"Original Award",,,"Other Sponsored Activity",300000007169996,"474ba9e8-c00f-4c12-a330-c6c83f204a12",,"3/25/2024","4/1/2021","10.215",,,,,"2020-38640-31523",,,,,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"G-07002-03",,"06-CSU","Institutions of Higher Education",,
"23-1001-A0001-0","John P. Hewlett","Agriculture & Applied Economics","Agriculture & Applied Economics","New Proposal Growing Beginning Farmers and Ranchers in Wyoming                                               Growing Beginning Farmers and Ranchers in Wyoming","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2024",750000,"23-1001",,"Active","4/24/2023 07:15:35 PM",0,"Original Award",,,"Experimental Development",300000007170651,"57624b1b-5f84-4353-8da3-a48b82bc9761","9/8/2021","8/31/2024","9/1/2021","10.311",,,,,"20214940035594",,,,,"Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"2021-49400-35594",,"01-USDANIFA","U.S. Federal Government",,
"23-1008-A0001","Md Anowarul Islam","Plant Sciences","Plant Sciences","Fostering Resilience and Ecosystem Services in Landscapes by Integrating Diverse Perennial Circular Systems","University of Wisconsin, Madison","National Institute of Food and Agriculture/Department of Agriculture","9/1/2021","8/31/2026",307134,"23-1008",,"Active","4/24/2023 07:16:02 PM",0,"Original Award",,,"Applied Research",300000007170664,"399c173b-45de-40b3-86fa-6652aa34efe0","10/27/2021","8/31/2026","9/1/2021","10.310",,,,,"20216801235917","Award Created","Legacy Loader","4/24/2023 07:16:02 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"0000001787",,"06-UWMAD","Institutions of Higher Education",,
"23-1019-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Smith-Lever Special Needs","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2026",43951,"23-1019",,"Active","4/24/2023 07:16:41 PM",0,"Original Award",,,"Experimental Development",300000007170503,"7bc390a2-474e-4588-a96f-bdaf736a4d36","11/19/2021","9/30/2026","10/1/2021","10.511",,,,,"NI22SLSNXXXXG005",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22SLSNXXXXG005",,"01-USDANIFA","U.S. Federal Government",,
"23-1027-A0001-0","Amanda Sue Marney","UW Extension","UW Extension","University of Wyoming Extension Smith-Lever 3(b) & 3(c) FY2022","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2026",1770791,"23-1027",,"Active","4/24/2023 07:17:08 PM",0,"Original Award",,,"Experimental Development",300000007170503,"c4d6141c-2993-4a79-80af-046cd5c2fe50","11/26/2021","9/30/2026","10/1/2021","10.511",,,,,"NI22SLBCXXXXG038","Award Created","Legacy Loader","4/24/2023 07:17:08 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22SLBCXXXXG038",,"01-USDANIFA","U.S. Federal Government",,
"23-1029-A0001","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Multistate Capacity FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2023",767988.3,"23-1029",,"In Closeout","4/24/2023 07:17:15 PM",0,"Original Award",,,,300000007170680,"ada1c14a-6c36-4fc4-87c0-eb6aef9a174c","12/1/2021","9/30/2023","10/1/2021","10.203",,,,,"NI22HMFPXXXXG056","Award Created","Legacy Loader","4/24/2023 07:17:15 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22HMFPXXXXG056",,"01-USDANIFA","U.S. Federal Government",,
"23-1032-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Smith-Lever RREA FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2023",47897,"23-1032",,"In Closeout","4/24/2023 07:17:32 PM",0,"Original Award",,,,300000007170503,"def3bc61-a445-4a24-bd9b-3ab668cce1b8","12/3/2021","9/30/2023","10/1/2021","10.515",,,,,"NI22RREAFXXXG034","Award Created","Legacy Loader","4/24/2023 07:17:31 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22RREAFXXXG034",,"01-USDANIFA","U.S. Federal Government",,
"23-1033-A0001","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Animal Health and Disease Research Capacity, FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2023",21105,"23-1033",,"In Closeout","4/24/2023 07:17:38 PM",0,"Original Award",,,"Experimental Development",300000007170680,"c1231ab6-4469-4a0c-a489-6265d776a8e9","12/3/2021","9/30/2023","10/1/2021","10.207",,,,,"NI22AHDRXXXXG035","Award Created","Legacy Loader","4/24/2023 07:17:38 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22AHDRXXXXG035",,"01-USDANIFA","U.S. Federal Government",,
"23-1034-A0001","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","Hatch-Regular Capacity FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2023",1353873,"23-1034",,"Closed","4/24/2023 07:17:44 PM",0,"Original Award",,,"Basic Research",300000007170680,"d9359639-4966-4d83-abfd-7988c42c376e","12/6/2021","9/30/2023","10/1/2021","10.203",,,,,"NI22HFPXXXXXG057","Award Created","Legacy Loader","4/24/2023 07:17:44 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Complete","NI22HFPXXXXXG057",,"01-USDANIFA","U.S. Federal Government",,
"23-1055-A0001","Melinda Denise Meuli","UW Extension","UW Extension","University of Wyoming Extension - Expanded Food and Nutrition Education (EFNEP) FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2026",278135,"23-1055",,"Active","4/24/2023 07:19:03 PM",0,"Original Award",,,,300000007170503,"21f6922c-b395-44c7-8640-e6fd8d85e376",,"9/30/2026","10/1/2021","10.514",,,,,"NI22EFNEPXXXG050","Award Created","Legacy Loader","4/24/2023 07:19:03 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22EFNEPXXXG050",,"01-USDANIFA","U.S. Federal Government",,
"23-1083-A0001","Carmela Rosaria Guadagno","Botany","Botany","NIFA AG2PI Collaborative: Seeding the Future of Agricultural Genome to Phenome Research for Crops and Livestock","Iowa State University","National Institute of Food and Agriculture/Department of Agriculture","12/1/2021","2/28/2023",19879,"23-1083",,"In Closeout","4/24/2023 07:20:36 PM",0,"Original Award",,,"Experimental Development",300000007170631,"baf322f6-80f3-47c5-86de-c9cd1ce8c3bb","11/29/2021","2/28/2023","12/1/2021","10.332",,,,,"20217041235233","Award Created","Legacy Loader","4/24/2023 07:20:36 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"024256E",,"06-IOWAST","Institutions of Higher Education",,
"23-1106-A0001","Dawn Marie Sanchez","UW Extension","UW Extension","Wyoming 4-H - Warren Air Force Base 4-H Military Partnership Outreach and Support Project Grant","Kansas State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2022","8/31/2022",6500,"23-1106",,"Closed","4/24/2023 07:21:53 PM",0,"Original Award",,,"Experimental Development",300000007170503,"c49f6ba5-3cbf-4757-8ffc-4aa684a8e6cd","11/22/2022","8/31/2022","1/1/2022","10.500",,,,,"2022-48696-36671","Award Created","Legacy Loader","4/24/2023 07:21:53 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","A22-0394-S021",,"06-KSUNI","Institutions of Higher Education",,
"23-1120-A0001","Eric P Webster","Agricultural Experiment Station","Agricultural Experiment Station","McIntire-Stennis Capacity FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2021","9/30/2023",244361,"23-1120",,"In Closeout","4/24/2023 07:22:39 PM",0,"Original Award",,,"Experimental Development",300000007170680,"0d8262db-ed80-4555-81f5-a192dbc72ff2","1/25/2022","9/30/2023","10/1/2021","10.202",,,,,"NI22MSCFRXXXG030","Award Created","Legacy Loader","4/24/2023 07:22:39 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"NI22MSCFRXXXG030",,"01-USDANIFA","U.S. Federal Government",,
"23-1165-A0001","Jenna Meeks","UW Extension","UW Extension","Western SARE Professional Development Program Administrative Subaward","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2022","12/31/2023",313369,"23-1165",,"In Closeout","4/24/2023 07:25:13 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"80514aa5-3ce7-440b-9488-1e86ebb2873e",,"12/31/2023","1/1/2022","10.215",,,,,"2019-38640-29880","Award Created","Legacy Loader","4/24/2023 07:25:13 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"G330-22-W7898",,"06-MTSU","Institutions of Higher Education",,
"23-1165-A0002-0","Jenna Meeks","UW Extension","UW Extension","Western SARE Professional Development Program Administrative Subaward","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2023","11/30/2023",120814,"23-1165",120814,"Active","9/1/2023 03:44:35 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"1131e168-cb32-4a6c-924b-67dd7d05547b",,"11/30/2023","1/1/2023","10.215","UW Extension",300000007170503,109831,,"20213864034695",,,,"No","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",10983,"01-USDANIFA","[On Campus]","Non-Competing Continuation",,"PREAWARD",,"06-MTSU","Institutions of Higher Education",,"348,128.00"
"23-1165-A0003","Jenna Meeks","UW Extension","UW Extension","Western SARE Professional Development Program Administrative Subaward","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2024","12/31/2025",348128,"23-1165",348128,"Active","4/11/2024 01:04:36 PM",0,"Original Award",,,"Basic Research",300000007170503,"bdc712e9-733e-4e11-82b0-1997866283cd",,"12/31/2025","1/1/2024","10.215","UW Extension",300000007170503,316480,,"2022-38640-37490","Award Created","Tashina Lemons","4/11/2024 01:04:35 PM","No","Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,31648,"01-USDANIFA","Off Campus","Non-Competing Continuation",,"G238-24-W9980",,"06-MTSU","Institutions of Higher Education",,"348,128.00"
"23-1165-A0004-0","Jenna Meeks","UW Extension","UW Extension","Western SARE Professional Development Program Administrative Subaward","Montana State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2025","12/31/2026",75000,"23-1165",555571,"Active","4/1/2025 04:10:22 PM",0,"Original Award",,,"Basic Research",300000007170503,"50c3848a-1a49-4f12-89f7-01868cb03567",,"6/30/2025","1/1/2025","10.215","UW Extension",300000007170503,68182,"No","20233864039571",,,,"No","Other Sponsored Activities","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,6818,"01-USDANIFA","Off Campus","Non-Competing Continuation",,"PRE-AWARD (G179-25-WA497)",,"06-MTSU","Institutions of Higher Education",,"555,571.00"
"23-1317-A0001-0","Matthew Dolan Helie","UW Extension","UW Extension","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2022","8/31/2023",87220,"23-1317",,"Active","4/24/2023 07:33:45 PM",0,"Original Award",,,"Other Sponsored Activity",300000007170503,"60df25ce-0662-4257-9dfe-6da036f7ae19",,"8/31/2023","9/1/2022","10.500",,,,,"20224158037964",,,,,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,,"2022-41580-37964",,"01-USDANIFA","U.S. Federal Government",,
"23-1317-A0001-1","Matthew Dolan Helie","UW Extension","UW Extension","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2022","8/31/2023",194940,"23-1317",,"Active","8/29/2023 12:36:29 PM",1,"New Funding Increment","8/29/2023","Tashina Lemons","Other Sponsored Activity",300000007170503,"60df25ce-0662-4257-9dfe-6da036f7ae19",,"8/31/2024","9/1/2022","10.500",,,194940,,"20224158037964",,,,"No","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus",,,"2022-41580-37964",,"01-USDANIFA","U.S. Federal Government",,"194,940.00"
"23-1317-A0001-3","Matthew Dolan Helie","UW Extension","UW Extension","Wind River Federally Recognized Tribe Extension Program 2022-2026","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2022","8/31/2025",295985,"23-1317",295985,"Active","7/30/2024 03:13:42 PM",3,"New Funding Increment","7/30/2024","Inna Willis","Other Sponsored Activity",300000007170503,"60df25ce-0662-4257-9dfe-6da036f7ae19",,"8/31/2025","9/1/2022","10.500",,,295985,,"20224158037964",,,,"Yes","Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,"01-USDANIFA","On Campus",,,"2022-41580-37964",,"01-USDANIFA","U.S. Federal Government",,"295,985.00"
